Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	0	0	0
mitochondrial-Ath-AsnGTT-183766	10243	2876	10919
mitochondrial-Ath-AspGTC-171828	4648	1994	6275
mitochondrial-Ath-CysGCA-171829	8269	5779	11284
mitochondrial-Ath-GlnTTG-171830	252	149	462
mitochondrial-Ath-GluTTC-171831	1033	1042	4301
mitochondrial-Ath-GlyGCC-171832	2740	1257	4219
mitochondrial-Ath-HisGTG-171833	2262	1378	4120
mitochondrial-Ath-IleCAT-171837	170	168	911
mitochondrial-Ath-LysTTT-171834	276	257	1708
mitochondrial-Ath-ProTGG-171838	569	178	724
mitochondrial-Ath-SerGCT-171840	903	295	1461
mitochondrial-Ath-SerGGA-171839	110	32	110
mitochondrial-Ath-SerTGA-171841	774	297	658
mitochondrial-Ath-TrpCCA-171842	14353	9482	26808
mitochondrial-Ath-TyrGTA-171843	0	14	41
mitochondrial-Ath-TyrGTA-171844	975	736	3943
mitochondrial-Ath-eMetCAT-171836	226	154	235
mitochondrial-Ath-iMetCAT-171835	224	71	161
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-309033	0	10	33
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	1
mitochondrial-Ath-stemloop-c116660	0	10	126
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	17717	20069	138471
nuclear-Ath-AlaAGC-171749	37708	46052	355814
nuclear-Ath-AlaAGC-183743	21016	26597	152721
nuclear-Ath-AlaCGC-171750	6240	7157	59823
nuclear-Ath-AlaCGC-171752	9302	9929	74627
nuclear-Ath-AlaCGC-183744	5870	5878	36200
nuclear-Ath-AlaTGC-171747	37327	43469	342336
nuclear-Ath-AlaTGC-171751	5822	7555	56853
nuclear-Ath-ArgACG-171679	1699	1331	3787
nuclear-Ath-ArgACG-171680	10116	7362	22429
nuclear-Ath-ArgACG-171681	5437	4660	9195
nuclear-Ath-ArgACG-171682	12779	10357	23830
nuclear-Ath-ArgACG-171683	5665	5230	18893
nuclear-Ath-ArgACG-171772	3826	3316	12019
nuclear-Ath-ArgCCG-171678	51848	28336	62879
nuclear-Ath-ArgCCG-171686	979	773	3508
nuclear-Ath-ArgCCG-183763	551	437	1483
nuclear-Ath-ArgCCT-171715	2204	1935	5199
nuclear-Ath-ArgCCT-171716	37149	29443	89208
nuclear-Ath-ArgCCT-171719	8262	7781	30608
nuclear-Ath-ArgTCG-171676	45592	46333	148057
nuclear-Ath-ArgTCG-171677	18006	15384	42157
nuclear-Ath-ArgTCT-171693	4681	2765	19157
nuclear-Ath-ArgTCT-171694	14457	7648	66337
nuclear-Ath-ArgTCT-171695	6632	3009	19652
nuclear-Ath-ArgTCT-171696	1988	937	6123
nuclear-Ath-ArgTCT-171714	3636	1661	5985
nuclear-Ath-ArgTCT-171717	4402	2536	10104
nuclear-Ath-ArgTCT-183731	23	7	64
nuclear-Ath-AsnGTT-171725	1531	1095	5441
nuclear-Ath-AsnGTT-171727	13211	9107	47306
nuclear-Ath-AsnGTT-171729	14981	10709	56326
nuclear-Ath-AsnGTT-183736	2518	1537	6920
nuclear-Ath-AsnGTT-183737	0	1	2
nuclear-Ath-AsnGTT-183738	4242	2992	14388
nuclear-Ath-AsnGTT-183739	2606	1950	10405
nuclear-Ath-AspGTC-171804	125964	79333	216637
nuclear-Ath-AspGTC-183754	77	20	53
nuclear-Ath-AspGTC-183755	15	5	30
nuclear-Ath-AspGTC-183756	37	23	31912
nuclear-Ath-AspGTC-183757	46	30	2668
nuclear-Ath-CysGCA-171684	2370	1175	2294
nuclear-Ath-CysGCA-171742	607	356	936
nuclear-Ath-CysGCA-171756	834	427	2659
nuclear-Ath-CysGCA-171757	668	268	985
nuclear-Ath-CysGCA-171758	3514	2012	5918
nuclear-Ath-CysGCA-171759	1129	536	1406
nuclear-Ath-CysGCA-171762	394	203	668
nuclear-Ath-CysGCA-183716	0	0	125
nuclear-Ath-CysGCA-183742	1561	902	1778
nuclear-Ath-CysGCA-183745	373	179	408
nuclear-Ath-GlnCTG-171763	4312	2699	6474
nuclear-Ath-GlnCTG-171765	1246	1142	3082
nuclear-Ath-GlnCTG-171773	2422	1785	4333
nuclear-Ath-GlnCTG-171774	2128	1677	3832
nuclear-Ath-GlnCTG-171775	9263	6569	17367
nuclear-Ath-GlnTTG-171777	9340	9126	35324
nuclear-Ath-GlnTTG-183749	5687	5338	14013
nuclear-Ath-GluCTC-171821	3795	1413	4851
nuclear-Ath-GluCTC-171824	8442	3357	10958
nuclear-Ath-GluCTC-171825	1502	504	1658
nuclear-Ath-GluCTC-183765	49	14	653
nuclear-Ath-GluTTC-171820	22228	10734	44457
nuclear-Ath-GluTTC-171822	3497	1442	6509
nuclear-Ath-GluTTC-171826	1348	632	2883
nuclear-Ath-GluTTC-183764	918	421	2799
nuclear-Ath-GlyCCC-171713	34844	32080	126432
nuclear-Ath-GlyGCC-171688	3468	2295	7729
nuclear-Ath-GlyGCC-171690	7805	4165	18821
nuclear-Ath-GlyGCC-171691	93118	60960	242897
nuclear-Ath-GlyGCC-171692	2161	968	2836
nuclear-Ath-GlyGCC-183730	18	66	300
nuclear-Ath-GlyTCC-171720	9938	10845	63701
nuclear-Ath-HisGTG-171768	9334	10936	39411
nuclear-Ath-HisGTG-171770	3130	3422	7207
nuclear-Ath-HisGTG-183747	3471	3928	10372
nuclear-Ath-HisGTG-183748	1187	1514	4585
nuclear-Ath-IleAAT-171735	23511	26845	174750
nuclear-Ath-IleAAT-171736	30962	39622	257476
nuclear-Ath-IleTAT-171721	1137	978	4468
nuclear-Ath-IleTAT-171764	1910	1818	7906
nuclear-Ath-LeuAAG-171816	28828	20187	91631
nuclear-Ath-LeuAAG-171817	28635	20818	92041
nuclear-Ath-LeuCAA-171786	4881	4547	16422
nuclear-Ath-LeuCAA-171787	3270	2368	10263
nuclear-Ath-LeuCAA-171789	7121	5005	21673
nuclear-Ath-LeuCAA-171790	6766	4625	18450
nuclear-Ath-LeuCAA-183751	521	491	1808
nuclear-Ath-LeuCAG-171781	15388	12647	43690
nuclear-Ath-LeuTAA-171698	4833	3075	8956
nuclear-Ath-LeuTAA-171699	4942	3390	9822
nuclear-Ath-LeuTAA-171791	3294	3314	7799
nuclear-Ath-LeuTAG-171673	15012	16367	121641
nuclear-Ath-LeuTAG-171675	15440	17108	99209
nuclear-Ath-LeuTAG-171685	13824	15264	93382
nuclear-Ath-LysCTT-171703	7418	3710	14387
nuclear-Ath-LysCTT-171704	76279	36995	102898
nuclear-Ath-LysCTT-183733	1907	837	2201
nuclear-Ath-LysTTT-171707	34902	13557	28348
nuclear-Ath-LysTTT-171712	4386	1870	4299
nuclear-Ath-LysTTT-183734	33912	13611	26978
nuclear-Ath-LysTTT-183735	4	2	28
nuclear-Ath-PheGAA-171718	48715	47659	167848
nuclear-Ath-ProAGG-171737	6033	2523	9449
nuclear-Ath-ProAGG-171738	1517	547	2208
nuclear-Ath-ProAGG-171743	3657	1482	5417
nuclear-Ath-ProCGG-171739	60	22	220
nuclear-Ath-ProCGG-171760	3275	1754	12531
nuclear-Ath-ProCGG-171761	4781	2579	18110
nuclear-Ath-ProTGG-171741	3498	1701	9944
nuclear-Ath-ProTGG-171744	8440	4738	24355
nuclear-Ath-ProTGG-183741	12	3	575
nuclear-Ath-SerAGA-171812	2306	2308	38000
nuclear-Ath-SerAGA-171813	10432	8192	91836
nuclear-Ath-SerAGA-171814	100	113	653
nuclear-Ath-SerAGA-171815	150	118	802
nuclear-Ath-SerAGA-183750	3060	1946	5972
nuclear-Ath-SerAGA-183759	3404	2801	28349
nuclear-Ath-SerAGA-183760	0	0	3
nuclear-Ath-SerAGA-183761	0	0	5
nuclear-Ath-SerAGA-183762	1012	612	4199
nuclear-Ath-SerCGA-171782	1194	1468	6833
nuclear-Ath-SerCGA-171785	3768	3814	15700
nuclear-Ath-SerCGA-171794	3064	3089	11064
nuclear-Ath-SerGCT-171796	2926	2115	5311
nuclear-Ath-SerGCT-171797	14046	10393	29649
nuclear-Ath-SerGCT-171798	13592	8333	18494
nuclear-Ath-SerGCT-171800	1891	911	2423
nuclear-Ath-SerGCT-183728	1515	678	2162
nuclear-Ath-SerGCT-183752	1755	1164	3410
nuclear-Ath-SerGCT-183753	24	10	21
