Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	0	0	0
mitochondrial-Ath-AsnGTT-183766	215	19069	56155
mitochondrial-Ath-AspGTC-171828	1502	12793	39832
mitochondrial-Ath-CysGCA-171829	2089	19400	24542
mitochondrial-Ath-GlnTTG-171830	114	1075	2674
mitochondrial-Ath-GluTTC-171831	291	8848	36573
mitochondrial-Ath-GlyGCC-171832	300	3600	8828
mitochondrial-Ath-HisGTG-171833	2716	8224	19221
mitochondrial-Ath-IleCAT-171837	318	380	2334
mitochondrial-Ath-LysTTT-171834	123	1274	11014
mitochondrial-Ath-ProTGG-171838	5	1867	11897
mitochondrial-Ath-SerGCT-171840	846	1948	4014
mitochondrial-Ath-SerGGA-171839	213	534	2027
mitochondrial-Ath-SerTGA-171841	1053	2377	3813
mitochondrial-Ath-TrpCCA-171842	9741	52533	144703
mitochondrial-Ath-TyrGTA-171843	0	65	252
mitochondrial-Ath-TyrGTA-171844	756	2601	18424
mitochondrial-Ath-eMetCAT-171836	133	1214	1895
mitochondrial-Ath-iMetCAT-171835	98	873	2246
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	3
mitochondrial-Ath-stemloop-309033	0	47	217
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	3
mitochondrial-Ath-stemloop-c116660	3	61	430
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	232	34617	363781
nuclear-Ath-AlaAGC-171749	580	78610	950825
nuclear-Ath-AlaAGC-183743	371	39824	356099
nuclear-Ath-AlaCGC-171750	102	17053	222897
nuclear-Ath-AlaCGC-171752	197	30789	345422
nuclear-Ath-AlaCGC-183744	86	13835	126078
nuclear-Ath-AlaTGC-171747	611	84358	1075130
nuclear-Ath-AlaTGC-171751	128	14136	172917
nuclear-Ath-ArgACG-171679	104	1831	9297
nuclear-Ath-ArgACG-171680	560	10199	53421
nuclear-Ath-ArgACG-171681	414	7721	20753
nuclear-Ath-ArgACG-171682	973	17092	52339
nuclear-Ath-ArgACG-171683	337	6403	44126
