Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	0	0	0
mitochondrial-Ath-AsnGTT-183766	46235	13996	39867
mitochondrial-Ath-AspGTC-171828	6164	4352	15599
mitochondrial-Ath-CysGCA-171829	25872	17896	34626
mitochondrial-Ath-GlnTTG-171830	1561	714	1961
mitochondrial-Ath-GluTTC-171831	4443	5962	22042
mitochondrial-Ath-GlyGCC-171832	9246	4375	12979
mitochondrial-Ath-HisGTG-171833	13966	8126	18732
mitochondrial-Ath-IleCAT-171837	951	574	3299
mitochondrial-Ath-LysTTT-171834	1601	1371	10132
mitochondrial-Ath-ProTGG-171838	2105	779	2622
mitochondrial-Ath-SerGCT-171840	4294	1356	4343
mitochondrial-Ath-SerGGA-171839	508	186	716
mitochondrial-Ath-SerTGA-171841	5369	1915	3979
mitochondrial-Ath-TrpCCA-171842	231	196	665
mitochondrial-Ath-TyrGTA-171843	2	43	259
mitochondrial-Ath-TyrGTA-171844	5932	3710	21123
mitochondrial-Ath-eMetCAT-171836	1672	1051	1601
mitochondrial-Ath-iMetCAT-171835	909	200	642
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	6	4
mitochondrial-Ath-stemloop-309033	0	59	218
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-49221	0	1	0
mitochondrial-Ath-stemloop-c116660	1	44	381
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	50066	61954	452205
nuclear-Ath-AlaAGC-171749	61413	82527	862641
nuclear-Ath-AlaAGC-183743	6641	8836	96925
nuclear-Ath-AlaCGC-171750	20833	25788	240807
nuclear-Ath-AlaCGC-171752	34944	42552	382028
nuclear-Ath-AlaCGC-183744	14784	17722	133483
nuclear-Ath-AlaTGC-171747	117631	149159	1313858
nuclear-Ath-AlaTGC-171751	18900	27731	231341
nuclear-Ath-ArgACG-171679	7037	5685	14355
nuclear-Ath-ArgACG-171680	40419	32169	86099
nuclear-Ath-ArgACG-171681	21630	18973	36362
nuclear-Ath-ArgACG-171682	53852	45298	96012
nuclear-Ath-ArgACG-171683	22466	21501	73203
nuclear-Ath-ArgACG-171772	13559	13509	48008
nuclear-Ath-ArgCCG-171678	167523	98945	196555
nuclear-Ath-ArgCCG-171686	4740	3753	16200
nuclear-Ath-ArgCCG-183763	1450	1551	4414
nuclear-Ath-ArgCCT-171715	8540	7599	20359
nuclear-Ath-ArgCCT-171716	131685	117072	328917
nuclear-Ath-ArgCCT-171719	22029	23494	87410
nuclear-Ath-ArgTCG-171676	107799	124218	341833
nuclear-Ath-ArgTCG-171677	76369	76546	171216
nuclear-Ath-ArgTCT-171693	14716	8724	53605
nuclear-Ath-ArgTCT-171694	54816	27456	228490
nuclear-Ath-ArgTCT-171695	39328	17123	111368
nuclear-Ath-ArgTCT-171696	11579	5395	34287
nuclear-Ath-ArgTCT-171714	24184	10980	37969
nuclear-Ath-ArgTCT-171717	13095	7337	29624
nuclear-Ath-ArgTCT-183731	9	6	27
nuclear-Ath-AsnGTT-171725	5143	4080	17035
nuclear-Ath-AsnGTT-171727	64087	50592	224694
nuclear-Ath-AsnGTT-171729	79744	62248	281972
nuclear-Ath-AsnGTT-183736	10039	7012	25535
nuclear-Ath-AsnGTT-183737	9	0	23
nuclear-Ath-AsnGTT-183738	16567	13576	55894
nuclear-Ath-AsnGTT-183739	13695	10929	52407
nuclear-Ath-AspGTC-171804	704352	487882	891382
nuclear-Ath-AspGTC-183754	7	6	11
nuclear-Ath-AspGTC-183755	0	0	16
nuclear-Ath-AspGTC-183756	40	29	200
nuclear-Ath-AspGTC-183757	141	109	292
nuclear-Ath-CysGCA-171684	10410	5569	9003
nuclear-Ath-CysGCA-171742	1844	914	2598
nuclear-Ath-CysGCA-171756	2177	1347	6395
nuclear-Ath-CysGCA-171757	1889	900	2684
nuclear-Ath-CysGCA-171758	16406	9723	24317
nuclear-Ath-CysGCA-171759	4708	2228	4694
nuclear-Ath-CysGCA-171762	224	142	604
nuclear-Ath-CysGCA-183716	0	0	120
nuclear-Ath-CysGCA-183742	5615	3130	5561
nuclear-Ath-CysGCA-183745	19	30	108
nuclear-Ath-GlnCTG-171763	21546	13753	27748
nuclear-Ath-GlnCTG-171765	6800	6080	12792
nuclear-Ath-GlnCTG-171773	14719	10838	22483
nuclear-Ath-GlnCTG-171774	11114	8824	17241
nuclear-Ath-GlnCTG-171775	120580	85934	165758
nuclear-Ath-GlnTTG-171777	67312	79999	250027
nuclear-Ath-GlnTTG-183749	31337	32398	76266
nuclear-Ath-GluCTC-171821	32406	12133	34592
nuclear-Ath-GluCTC-171824	74570	30493	77694
nuclear-Ath-GluCTC-171825	11269	4347	10920
nuclear-Ath-GluCTC-183765	41	10	83
nuclear-Ath-GluTTC-171820	150232	80606	261955
nuclear-Ath-GluTTC-171822	22868	10716	37239
nuclear-Ath-GluTTC-171826	7990	4083	14235
nuclear-Ath-GluTTC-183764	5946	3084	14984
nuclear-Ath-GlyCCC-171713	105685	95051	322692
nuclear-Ath-GlyGCC-171688	14564	8918	27847
nuclear-Ath-GlyGCC-171690	14303	8174	29708
nuclear-Ath-GlyGCC-171691	414942	262319	1015467
nuclear-Ath-GlyGCC-171692	1233	493	1645
nuclear-Ath-GlyGCC-183730	70	166	495
nuclear-Ath-GlyTCC-171720	74571	88781	426715
nuclear-Ath-HisGTG-171768	31761	37170	126716
nuclear-Ath-HisGTG-171770	4182	5143	13949
nuclear-Ath-HisGTG-183747	12923	14591	38009
nuclear-Ath-HisGTG-183748	5583	6938	24352
nuclear-Ath-IleAAT-171735	105779	124586	817343
nuclear-Ath-IleAAT-171736	108355	145236	1000207
nuclear-Ath-IleTAT-171721	5305	5446	23228
nuclear-Ath-IleTAT-171764	9089	8974	40632
nuclear-Ath-LeuAAG-171816	2696	2587	10717
nuclear-Ath-LeuAAG-171817	4393	3899	13609
nuclear-Ath-LeuCAA-171786	26887	26566	90477
nuclear-Ath-LeuCAA-171787	20744	16693	68576
nuclear-Ath-LeuCAA-171789	34647	26113	112192
nuclear-Ath-LeuCAA-171790	32993	24384	96581
nuclear-Ath-LeuCAA-183751	2612	2502	8521
nuclear-Ath-LeuCAG-171781	54616	44838	154622
nuclear-Ath-LeuTAA-171698	6303	5097	10771
nuclear-Ath-LeuTAA-171699	8283	6206	15497
nuclear-Ath-LeuTAA-171791	12611	14485	32505
nuclear-Ath-LeuTAG-171673	69012	81128	594697
nuclear-Ath-LeuTAG-171675	10053	13797	43477
nuclear-Ath-LeuTAG-171685	1190	1755	10432
nuclear-Ath-LysCTT-171703	15728	9735	30577
nuclear-Ath-LysCTT-171704	370508	229911	496914
nuclear-Ath-LysCTT-183733	1304	674	1284
nuclear-Ath-LysTTT-171707	91	63	255
nuclear-Ath-LysTTT-171712	8567	4012	8902
nuclear-Ath-LysTTT-183734	67	50	131
nuclear-Ath-LysTTT-183735	0	5	52
nuclear-Ath-PheGAA-171718	128726	131869	459896
nuclear-Ath-ProAGG-171737	60143	21611	69520
nuclear-Ath-ProAGG-171738	16894	5355	16108
nuclear-Ath-ProAGG-171743	45919	18889	49011
nuclear-Ath-ProCGG-171739	352	126	598
nuclear-Ath-ProCGG-171760	23625	11693	69042
nuclear-Ath-ProCGG-171761	34865	17345	104343
nuclear-Ath-ProTGG-171741	26789	11657	53463
nuclear-Ath-ProTGG-171744	87455	44454	170642
nuclear-Ath-ProTGG-183741	4	2	3
nuclear-Ath-SerAGA-171812	6839	8509	131317
nuclear-Ath-SerAGA-171813	23942	23385	271108
nuclear-Ath-SerAGA-171814	152	288	705
nuclear-Ath-SerAGA-171815	438	338	3005
nuclear-Ath-SerAGA-183750	9975	7875	21850
nuclear-Ath-SerAGA-183759	3	2	72
nuclear-Ath-SerAGA-183760	0	0	1
nuclear-Ath-SerAGA-183761	0	0	0
nuclear-Ath-SerAGA-183762	329	243	1646
nuclear-Ath-SerCGA-171782	3362	4605	22241
nuclear-Ath-SerCGA-171785	14273	16136	66913
nuclear-Ath-SerCGA-171794	11427	13527	46462
nuclear-Ath-SerGCT-171796	12273	9040	23133
nuclear-Ath-SerGCT-171797	40261	33157	87795
nuclear-Ath-SerGCT-171798	55262	40629	87425
nuclear-Ath-SerGCT-171800	12462	8680	20736
nuclear-Ath-SerGCT-183728	11658	6312	18275
nuclear-Ath-SerGCT-183752	7604	6725	16815
nuclear-Ath-SerGCT-183753	0	0	10
nuclear-Ath-SerTGA-171783	4613	7224	23094
nuclear-Ath-SerTGA-171784	3566	4489	15828
nuclear-Ath-SerTGA-171792	11185	19409	67729
nuclear-Ath-SerTGA-171793	4586	6381	21703
nuclear-Ath-ThrAGT-171722	12861	14074	56495
nuclear-Ath-ThrAGT-171723	25386	21586	77031
nuclear-Ath-ThrAGT-171731	27000	23714	102515
nuclear-Ath-ThrCGT-171709	92577	88528	78095
nuclear-Ath-ThrCGT-171710	38767	36648	37363
nuclear-Ath-ThrCGT-171711	7904	8605	7668
nuclear-Ath-ThrTGT-171700	130535	114258	337162
nuclear-Ath-ThrTGT-171705	15155	13378	52599
nuclear-Ath-ThrTGT-183732	102	104	306
nuclear-Ath-TrpCCA-171732	16237	29649	318321
nuclear-Ath-TrpCCA-171734	627	1264	12595
nuclear-Ath-TrpCCA-183740	808	795	5107
nuclear-Ath-TyrGTA-171663	371759	149033	572188
nuclear-Ath-TyrGTA-171666	62	52	226
nuclear-Ath-TyrGTA-171668	0	0	0
nuclear-Ath-TyrGTA-183718	0	0	0
nuclear-Ath-TyrGTA-183719	18534	7137	26504
nuclear-Ath-TyrGTA-183720	0	1	33
