Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	0	0	0
mitochondrial-Ath-AsnGTT-183766	120	6195	18397
mitochondrial-Ath-AspGTC-171828	63	263	1029
mitochondrial-Ath-CysGCA-171829	1636	8647	9887
mitochondrial-Ath-GlnTTG-171830	33	179	664
mitochondrial-Ath-GluTTC-171831	98	2104	7236
mitochondrial-Ath-GlyGCC-171832	177	1624	3673
mitochondrial-Ath-HisGTG-171833	516	1062	3256
mitochondrial-Ath-IleCAT-171837	238	320	1305
mitochondrial-Ath-LysTTT-171834	24	244	1492
mitochondrial-Ath-ProTGG-171838	14	865	3981
mitochondrial-Ath-SerGCT-171840	229	356	1126
mitochondrial-Ath-SerGGA-171839	7	24	80
mitochondrial-Ath-SerTGA-171841	222	299	513
mitochondrial-Ath-TrpCCA-171842	4	5	56
mitochondrial-Ath-TyrGTA-171843	0	13	64
mitochondrial-Ath-TyrGTA-171844	311	776	4302
mitochondrial-Ath-eMetCAT-171836	28	322	373
mitochondrial-Ath-iMetCAT-171835	49	641	961
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-309033	0	14	32
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	0	16	123
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	226	21546	130558
nuclear-Ath-AlaAGC-171749	127	11877	135342
nuclear-Ath-AlaAGC-183743	7	989	12220
nuclear-Ath-AlaCGC-171750	76	6064	41887
nuclear-Ath-AlaCGC-171752	68	5666	43852
nuclear-Ath-AlaCGC-183744	36	4518	31072
nuclear-Ath-AlaTGC-171747	462	39919	298031
nuclear-Ath-AlaTGC-171751	60	7757	57319
nuclear-Ath-ArgACG-171679	92	721	3510
nuclear-Ath-ArgACG-171680	562	4319	23941
nuclear-Ath-ArgACG-171681	301	3717	9748
nuclear-Ath-ArgACG-171682	742	8643	24609
nuclear-Ath-ArgACG-171683	320	2926	17956
nuclear-Ath-ArgACG-171772	179	2102	11566
nuclear-Ath-ArgCCG-171678	2608	37841	74676
nuclear-Ath-ArgCCG-171686	24	736	2571
nuclear-Ath-ArgCCG-183763	18	386	1531
nuclear-Ath-ArgCCT-171715	9	1541	4523
nuclear-Ath-ArgCCT-171716	242	26901	76604
nuclear-Ath-ArgCCT-171719	294	7467	27384
nuclear-Ath-ArgTCG-171676	1923	47340	125557
nuclear-Ath-ArgTCG-171677	390	11777	26538
nuclear-Ath-ArgTCT-171693	178	2780	13745
nuclear-Ath-ArgTCT-171694	722	9680	62894
nuclear-Ath-ArgTCT-171695	196	4378	18772
nuclear-Ath-ArgTCT-171696	59	1172	5622
nuclear-Ath-ArgTCT-171714	115	2785	7536
nuclear-Ath-ArgTCT-171717	243	4392	14259
nuclear-Ath-ArgTCT-183731	0	0	3
nuclear-Ath-AsnGTT-171725	10	709	4689
nuclear-Ath-AsnGTT-171727	127	7294	47403
nuclear-Ath-AsnGTT-171729	178	7683	62774
nuclear-Ath-AsnGTT-183736	17	1272	7226
nuclear-Ath-AsnGTT-183737	0	3	13
nuclear-Ath-AsnGTT-183738	45	2418	15187
nuclear-Ath-AsnGTT-183739	31	1396	10848
nuclear-Ath-AspGTC-171804	11970	43654	138728
nuclear-Ath-AspGTC-183754	0	0	1
nuclear-Ath-AspGTC-183755	0	0	0
nuclear-Ath-AspGTC-183756	1	6	9
nuclear-Ath-AspGTC-183757	3	24	49
nuclear-Ath-CysGCA-171684	432	1620	2090
nuclear-Ath-CysGCA-171742	98	290	640
nuclear-Ath-CysGCA-171756	64	118	1137
nuclear-Ath-CysGCA-171757	89	178	644
nuclear-Ath-CysGCA-171758	645	2131	3591
nuclear-Ath-CysGCA-171759	227	395	817
nuclear-Ath-CysGCA-171762	4	18	127
nuclear-Ath-CysGCA-183716	0	0	31
nuclear-Ath-CysGCA-183742	237	694	1363
nuclear-Ath-CysGCA-183745	0	5	7
nuclear-Ath-GlnCTG-171763	584	4286	7217
nuclear-Ath-GlnCTG-171765	110	1383	3075
nuclear-Ath-GlnCTG-171773	295	2204	3766
nuclear-Ath-GlnCTG-171774	355	2509	4194
nuclear-Ath-GlnCTG-171775	853	7923	13578
nuclear-Ath-GlnTTG-171777	844	9281	24682
nuclear-Ath-GlnTTG-183749	540	7468	13107
nuclear-Ath-GluCTC-171821	214	1089	3152
nuclear-Ath-GluCTC-171824	489	2273	6531
nuclear-Ath-GluCTC-171825	48	369	1012
nuclear-Ath-GluCTC-183765	0	0	11
nuclear-Ath-GluTTC-171820	1705	7908	30228
nuclear-Ath-GluTTC-171822	229	1099	4282
nuclear-Ath-GluTTC-171826	83	495	1985
nuclear-Ath-GluTTC-183764	73	385	1878
nuclear-Ath-GlyCCC-171713	1166	32684	102193
nuclear-Ath-GlyGCC-171688	70	1373	4685
nuclear-Ath-GlyGCC-171690	57	1112	4802
nuclear-Ath-GlyGCC-171691	2536	50282	234617
nuclear-Ath-GlyGCC-171692	11	319	525
nuclear-Ath-GlyGCC-183730	0	60	146
nuclear-Ath-GlyTCC-171720	299	7955	39343
nuclear-Ath-HisGTG-171768	1697	10308	23595
nuclear-Ath-HisGTG-171770	230	1629	2648
nuclear-Ath-HisGTG-183747	1064	5733	8869
nuclear-Ath-HisGTG-183748	300	1714	3296
nuclear-Ath-IleAAT-171735	28231	43193	281099
