Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	0	0	0
mitochondrial-Ath-AsnGTT-183766	3693	385	874
mitochondrial-Ath-AspGTC-171828	374	86	144
mitochondrial-Ath-CysGCA-171829	31942	4891	4755
mitochondrial-Ath-GlnTTG-171830	125	27	41
mitochondrial-Ath-GluTTC-171831	2401	623	804
mitochondrial-Ath-GlyGCC-171832	3513	511	770
mitochondrial-Ath-HisGTG-171833	1917	234	436
mitochondrial-Ath-IleCAT-171837	886	178	336
mitochondrial-Ath-LysTTT-171834	457	124	467
mitochondrial-Ath-ProTGG-171838	1895	293	572
mitochondrial-Ath-SerGCT-171840	465	132	676
mitochondrial-Ath-SerGGA-171839	26	7	23
mitochondrial-Ath-SerTGA-171841	711	118	186
mitochondrial-Ath-TrpCCA-171842	72	17	16
mitochondrial-Ath-TyrGTA-171843	21	1	22
mitochondrial-Ath-TyrGTA-171844	3289	944	2101
mitochondrial-Ath-eMetCAT-171836	457	77	86
mitochondrial-Ath-iMetCAT-171835	485	29	89
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	1	0	0
mitochondrial-Ath-stemloop-309033	21	1	41
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	17	9	53
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c83962	0	1	7
nuclear-Ath-AlaAGC-171748	75100	29823	85958
nuclear-Ath-AlaAGC-171749	94312	36449	163429
nuclear-Ath-AlaAGC-183743	8209	3171	14396
nuclear-Ath-AlaCGC-171750	23829	7704	23365
nuclear-Ath-AlaCGC-171752	18585	5052	16021
nuclear-Ath-AlaCGC-183744	16080	5680	16290
nuclear-Ath-AlaTGC-171747	216860	83816	236601
nuclear-Ath-AlaTGC-171751	34462	15298	42683
nuclear-Ath-ArgACG-171679	6809	1737	1704
nuclear-Ath-ArgACG-171680	42750	8749	7846
nuclear-Ath-ArgACG-171681	16108	7116	3052
nuclear-Ath-ArgACG-171682	34836	13572	6712
nuclear-Ath-ArgACG-171683	23610	6501	6020
nuclear-Ath-ArgACG-171772	13286	3450	4691
nuclear-Ath-ArgCCG-171678	83787	18023	19672
nuclear-Ath-ArgCCG-171686	1642	480	1034
nuclear-Ath-ArgCCG-183763	1617	389	621
nuclear-Ath-ArgCCT-171715	3656	926	1253
nuclear-Ath-ArgCCT-171716	51657	12291	13787
nuclear-Ath-ArgCCT-171719	16386	4540	6694
nuclear-Ath-ArgTCG-171676	121733	34447	37311
nuclear-Ath-ArgTCG-171677	35377	9895	9941
nuclear-Ath-ArgTCT-171693	10554	1738	5731
nuclear-Ath-ArgTCT-171694	41119	5731	23696
nuclear-Ath-ArgTCT-171695	11188	1607	4607
nuclear-Ath-ArgTCT-171696	3540	525	1496
nuclear-Ath-ArgTCT-171714	4969	670	1263
nuclear-Ath-ArgTCT-171717	13990	2012	4105
nuclear-Ath-ArgTCT-183731	0	0	0
nuclear-Ath-AsnGTT-171725	1839	528	1089
nuclear-Ath-AsnGTT-171727	36967	7699	15755
nuclear-Ath-AsnGTT-171729	29032	5831	10700
nuclear-Ath-AsnGTT-183736	4884	999	1881
