Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	0	0	0
mitochondrial-Ath-AsnGTT-183766	6997	921	3495
mitochondrial-Ath-AspGTC-171828	3043	936	1577
mitochondrial-Ath-CysGCA-171829	34102	6357	6201
mitochondrial-Ath-GlnTTG-171830	1092	167	305
mitochondrial-Ath-GluTTC-171831	10396	3048	3660
mitochondrial-Ath-GlyGCC-171832	7219	1121	1670
mitochondrial-Ath-HisGTG-171833	6035	951	1272
mitochondrial-Ath-IleCAT-171837	1062	188	556
mitochondrial-Ath-LysTTT-171834	2321	886	3125
mitochondrial-Ath-ProTGG-171838	3829	748	1136
mitochondrial-Ath-SerGCT-171840	1964	625	1457
mitochondrial-Ath-SerGGA-171839	486	192	360
mitochondrial-Ath-SerTGA-171841	2168	452	520
mitochondrial-Ath-TrpCCA-171842	51232	9682	12452
mitochondrial-Ath-TyrGTA-171843	53	0	53
mitochondrial-Ath-TyrGTA-171844	5497	1731	4798
mitochondrial-Ath-eMetCAT-171836	1811	396	347
mitochondrial-Ath-iMetCAT-171835	1180	129	289
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-309033	19	13	87
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	82	27	173
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	84709	45715	159869
nuclear-Ath-AlaAGC-171749	238727	131868	493416
nuclear-Ath-AlaAGC-183743	95997	55892	152493
nuclear-Ath-AlaCGC-171750	36981	15833	60265
nuclear-Ath-AlaCGC-171752	54445	18680	57463
nuclear-Ath-AlaCGC-183744	26785	11351	32839
nuclear-Ath-AlaTGC-171747	272891	154501	546369
nuclear-Ath-AlaTGC-171751	40804	24582	80744
nuclear-Ath-ArgACG-171679	8365	3393	3479
nuclear-Ath-ArgACG-171680	53785	17443	14650
nuclear-Ath-ArgACG-171681	17541	10328	5102
nuclear-Ath-ArgACG-171682	36320	16763	10060
nuclear-Ath-ArgACG-171683	32400	12536	11760
