Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	0	0	0
mitochondrial-Ath-AsnGTT-183766	0	0	0
mitochondrial-Ath-AspGTC-171828	0	0	0
mitochondrial-Ath-CysGCA-171829	0	0	0
mitochondrial-Ath-GlnTTG-171830	0	0	0
mitochondrial-Ath-GluTTC-171831	0	0	0
mitochondrial-Ath-GlyGCC-171832	0	0	0
mitochondrial-Ath-HisGTG-171833	0	0	0
mitochondrial-Ath-IleCAT-171837	0	0	0
mitochondrial-Ath-LysTTT-171834	0	0	0
mitochondrial-Ath-ProTGG-171838	0	0	0
mitochondrial-Ath-SerGCT-171840	0	0	0
mitochondrial-Ath-SerGGA-171839	0	0	0
mitochondrial-Ath-SerTGA-171841	0	0	0
mitochondrial-Ath-TrpCCA-171842	0	0	0
mitochondrial-Ath-TyrGTA-171843	0	0	0
mitochondrial-Ath-TyrGTA-171844	0	0	0
mitochondrial-Ath-eMetCAT-171836	0	0	0
mitochondrial-Ath-iMetCAT-171835	0	0	0
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-309033	0	0	0
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	0	0	0
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	1	1	4
nuclear-Ath-AlaAGC-171749	1	0	7
nuclear-Ath-AlaAGC-183743	0	0	0
nuclear-Ath-AlaCGC-171750	0	1	0
nuclear-Ath-AlaCGC-171752	0	0	3
nuclear-Ath-AlaCGC-183744	0	0	1
nuclear-Ath-AlaTGC-171747	4	1	6
nuclear-Ath-AlaTGC-171751	0	0	7
nuclear-Ath-ArgACG-171679	0	0	0
nuclear-Ath-ArgACG-171680	0	0	1
nuclear-Ath-ArgACG-171681	0	0	0
nuclear-Ath-ArgACG-171682	1	0	3
nuclear-Ath-ArgACG-171683	0	0	0
nuclear-Ath-ArgACG-171772	0	0	1
nuclear-Ath-ArgCCG-171678	1	2	3
nuclear-Ath-ArgCCG-171686	0	0	0
nuclear-Ath-ArgCCG-183763	0	0	0
nuclear-Ath-ArgCCT-171715	0	0	0
nuclear-Ath-ArgCCT-171716	1	3	3
nuclear-Ath-ArgCCT-171719	0	0	1
nuclear-Ath-ArgTCG-171676	2	0	4
nuclear-Ath-ArgTCG-171677	1	1	2
nuclear-Ath-ArgTCT-171693	0	0	0
nuclear-Ath-ArgTCT-171694	0	0	3
nuclear-Ath-ArgTCT-171695	0	0	0
nuclear-Ath-ArgTCT-171696	0	0	0
nuclear-Ath-ArgTCT-171714	1	0	1
nuclear-Ath-ArgTCT-171717	0	0	0
nuclear-Ath-ArgTCT-183731	0	0	0
nuclear-Ath-AsnGTT-171725	0	0	1
nuclear-Ath-AsnGTT-171727	1	1	0
nuclear-Ath-AsnGTT-171729	2	0	0
nuclear-Ath-AsnGTT-183736	0	0	0
nuclear-Ath-AsnGTT-183737	0	0	0
nuclear-Ath-AsnGTT-183738	0	0	1
nuclear-Ath-AsnGTT-183739	0	0	0
nuclear-Ath-AspGTC-171804	3	3	5
nuclear-Ath-AspGTC-183754	0	0	0
nuclear-Ath-AspGTC-183755	0	0	0
nuclear-Ath-AspGTC-183756	0	0	0
nuclear-Ath-AspGTC-183757	0	0	0
nuclear-Ath-CysGCA-171684	0	0	0
nuclear-Ath-CysGCA-171742	0	0	0
nuclear-Ath-CysGCA-171756	0	0	0
nuclear-Ath-CysGCA-171757	0	0	0
nuclear-Ath-CysGCA-171758	0	0	1
nuclear-Ath-CysGCA-171759	0	0	0
nuclear-Ath-CysGCA-171762	0	0	0
nuclear-Ath-CysGCA-183716	0	0	0
nuclear-Ath-CysGCA-183742	0	0	0
nuclear-Ath-CysGCA-183745	0	0	0
nuclear-Ath-GlnCTG-171763	0	0	0
nuclear-Ath-GlnCTG-171765	0	0	0
nuclear-Ath-GlnCTG-171773	0	0	0
nuclear-Ath-GlnCTG-171774	0	0	0
nuclear-Ath-GlnCTG-171775	0	0	4
nuclear-Ath-GlnTTG-171777	0	0	2
nuclear-Ath-GlnTTG-183749	0	0	0
nuclear-Ath-GluCTC-171821	0	0	0
nuclear-Ath-GluCTC-171824	1	0	0
nuclear-Ath-GluCTC-171825	0	0	0
nuclear-Ath-GluCTC-183765	0	0	0
nuclear-Ath-GluTTC-171820	0	0	0
nuclear-Ath-GluTTC-171822	0	0	0
nuclear-Ath-GluTTC-171826	0	0	0
nuclear-Ath-GluTTC-183764	0	0	0
nuclear-Ath-GlyCCC-171713	0	0	4
nuclear-Ath-GlyGCC-171688	0	0	0
nuclear-Ath-GlyGCC-171690	0	0	0
nuclear-Ath-GlyGCC-171691	5	1	14
nuclear-Ath-GlyGCC-171692	0	0	0
nuclear-Ath-GlyGCC-183730	0	0	0
nuclear-Ath-GlyTCC-171720	2	1	1
nuclear-Ath-HisGTG-171768	0	1	1
nuclear-Ath-HisGTG-171770	1	0	0
nuclear-Ath-HisGTG-183747	0	1	1
nuclear-Ath-HisGTG-183748	0	0	1
nuclear-Ath-IleAAT-171735	1	1	6
nuclear-Ath-IleAAT-171736	0	0	9
nuclear-Ath-IleTAT-171721	0	0	0
nuclear-Ath-IleTAT-171764	0	1	0
nuclear-Ath-LeuAAG-171816	0	0	0
nuclear-Ath-LeuAAG-171817	0	0	0
nuclear-Ath-LeuCAA-171786	0	0	2
nuclear-Ath-LeuCAA-171787	0	0	3
nuclear-Ath-LeuCAA-171789	0	0	3
nuclear-Ath-LeuCAA-171790	0	0	1
nuclear-Ath-LeuCAA-183751	0	0	0
nuclear-Ath-LeuCAG-171781	0	0	0
nuclear-Ath-LeuTAA-171698	0	0	0
nuclear-Ath-LeuTAA-171699	0	0	1
nuclear-Ath-LeuTAA-171791	0	1	0
nuclear-Ath-LeuTAG-171673	0	0	4
nuclear-Ath-LeuTAG-171675	0	0	1
nuclear-Ath-LeuTAG-171685	0	0	0
nuclear-Ath-LysCTT-171703	1	0	0
nuclear-Ath-LysCTT-171704	6	4	2
nuclear-Ath-LysCTT-183733	0	0	0
nuclear-Ath-LysTTT-171707	0	0	0
nuclear-Ath-LysTTT-171712	1	0	0
nuclear-Ath-LysTTT-183734	0	0	0
nuclear-Ath-LysTTT-183735	0	0	0
nuclear-Ath-PheGAA-171718	2	3	2
nuclear-Ath-ProAGG-171737	0	0	1
nuclear-Ath-ProAGG-171738	0	0	0
nuclear-Ath-ProAGG-171743	1	0	0
nuclear-Ath-ProCGG-171739	0	0	0
nuclear-Ath-ProCGG-171760	0	0	0
nuclear-Ath-ProCGG-171761	0	0	1
nuclear-Ath-ProTGG-171741	1	0	1
nuclear-Ath-ProTGG-171744	0	1	1
nuclear-Ath-ProTGG-183741	0	0	0
nuclear-Ath-SerAGA-171812	0	0	2
nuclear-Ath-SerAGA-171813	0	1	0
nuclear-Ath-SerAGA-171814	0	0	0
nuclear-Ath-SerAGA-171815	0	0	0
nuclear-Ath-SerAGA-183750	0	0	0
nuclear-Ath-SerAGA-183759	0	0	0
nuclear-Ath-SerAGA-183760	0	0	0
nuclear-Ath-SerAGA-183761	0	0	0
nuclear-Ath-SerAGA-183762	0	0	0
nuclear-Ath-SerCGA-171782	0	0	0
nuclear-Ath-SerCGA-171785	0	0	0
nuclear-Ath-SerCGA-171794	0	0	0
nuclear-Ath-SerGCT-171796	0	0	1
nuclear-Ath-SerGCT-171797	0	1	1
nuclear-Ath-SerGCT-171798	0	0	0
nuclear-Ath-SerGCT-171800	0	0	0
nuclear-Ath-SerGCT-183728	0	0	0
nuclear-Ath-SerGCT-183752	0	0	0
nuclear-Ath-SerGCT-183753	0	0	0
nuclear-Ath-SerTGA-171783	0	0	0
nuclear-Ath-SerTGA-171784	0	0	1
nuclear-Ath-SerTGA-171792	0	0	0
nuclear-Ath-SerTGA-171793	0	0	0
nuclear-Ath-ThrAGT-171722	0	0	0
nuclear-Ath-ThrAGT-171723	0	0	2
nuclear-Ath-ThrAGT-171731	0	0	1
nuclear-Ath-ThrCGT-171709	0	1	0
nuclear-Ath-ThrCGT-171710	0	0	0
nuclear-Ath-ThrCGT-171711	0	0	0
nuclear-Ath-ThrTGT-171700	1	4	2
nuclear-Ath-ThrTGT-171705	0	0	1
nuclear-Ath-ThrTGT-183732	0	0	0
nuclear-Ath-TrpCCA-171732	0	0	5
nuclear-Ath-TrpCCA-171734	0	0	0
nuclear-Ath-TrpCCA-183740	0	0	0
nuclear-Ath-TyrGTA-171663	2	1	2
nuclear-Ath-TyrGTA-171666	0	0	0
nuclear-Ath-TyrGTA-171668	0	0	0
nuclear-Ath-TyrGTA-183718	0	0	0
nuclear-Ath-TyrGTA-183719	1	0	0
nuclear-Ath-TyrGTA-183720	0	0	0
nuclear-Ath-TyrGTA-183721	0	0	0
nuclear-Ath-TyrGTA-183722	0	0	0
nuclear-Ath-TyrGTA-183723	0	0	0
nuclear-Ath-TyrGTA-183724	0	0	0
nuclear-Ath-TyrGTA-183725	0	0	0
nuclear-Ath-TyrGTA-183726	0	0	0
nuclear-Ath-TyrGTA-183727	0	0	0
nuclear-Ath-ValAAC-171778	0	0	0
nuclear-Ath-ValAAC-171779	1	0	9
nuclear-Ath-ValCAC-171807	0	0	0
nuclear-Ath-ValCAC-183758	0	0	0
nuclear-Ath-ValTAC-171767	0	0	6
nuclear-Ath-ValTAC-183729	0	0	0
