Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	0	0	0
mitochondrial-Ath-AsnGTT-183766	28308	9694	33556
mitochondrial-Ath-AspGTC-171828	11754	10081	29582
mitochondrial-Ath-CysGCA-171829	11886	11546	22419
mitochondrial-Ath-GlnTTG-171830	993	568	1332
mitochondrial-Ath-GluTTC-171831	3167	5585	20726
mitochondrial-Ath-GlyGCC-171832	3381	2515	6953
mitochondrial-Ath-HisGTG-171833	7624	5792	13557
mitochondrial-Ath-IleCAT-171837	432	347	2230
mitochondrial-Ath-LysTTT-171834	1045	1050	8850
mitochondrial-Ath-ProTGG-171838	1136	430	1707
mitochondrial-Ath-SerGCT-171840	2174	770	2394
mitochondrial-Ath-SerGGA-171839	587	234	1037
mitochondrial-Ath-SerTGA-171841	2830	1194	2769
mitochondrial-Ath-TrpCCA-171842	29504	28691	80379
mitochondrial-Ath-TyrGTA-171843	3	8	112
mitochondrial-Ath-TyrGTA-171844	2999	2295	17540
mitochondrial-Ath-eMetCAT-171836	1174	734	1299
mitochondrial-Ath-iMetCAT-171835	578	189	458
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	1
mitochondrial-Ath-stemloop-286836	0	11	14
mitochondrial-Ath-stemloop-309033	0	35	104
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-32129	0	272	694
mitochondrial-Ath-stemloop-358842	1	7	59
mitochondrial-Ath-stemloop-36709	26	462	1064
mitochondrial-Ath-stemloop-49221	0	0	2
mitochondrial-Ath-stemloop-c116660	0	55	183
mitochondrial-Ath-stemloop-c1924	0	7	804
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c333147	0	34	544
mitochondrial-Ath-stemloop-c83962	0	0	12
nuclear-Ath-AlaAGC-171748	22512	38945	301702
nuclear-Ath-AlaAGC-171749	51984	96892	842089
nuclear-Ath-AlaAGC-183743	25017	45615	298774
nuclear-Ath-AlaCGC-171750	11170	20094	206157
nuclear-Ath-AlaCGC-171752	20800	36533	332410
nuclear-Ath-AlaCGC-183744	9340	14930	109285
nuclear-Ath-AlaTGC-171747	57465	107846	995445
