Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	0	0	0
mitochondrial-Ath-AsnGTT-183766	28074	9629	31117
mitochondrial-Ath-AspGTC-171828	4163	4640	15331
mitochondrial-Ath-CysGCA-171829	11886	11546	22419
mitochondrial-Ath-GlnTTG-171830	993	568	1332
mitochondrial-Ath-GluTTC-171831	3167	5585	20726
mitochondrial-Ath-GlyGCC-171832	3381	2515	6953
mitochondrial-Ath-HisGTG-171833	7624	5792	13555
mitochondrial-Ath-IleCAT-171837	432	347	2230
mitochondrial-Ath-LysTTT-171834	1045	1050	8850
mitochondrial-Ath-ProTGG-171838	1136	430	1707
mitochondrial-Ath-SerGCT-171840	2174	770	2394
mitochondrial-Ath-SerGGA-171839	483	203	956
mitochondrial-Ath-SerTGA-171841	2830	1194	2769
mitochondrial-Ath-TrpCCA-171842	155	120	487
mitochondrial-Ath-TyrGTA-171843	3	8	112
mitochondrial-Ath-TyrGTA-171844	2999	2295	17540
mitochondrial-Ath-eMetCAT-171836	1121	714	1250
mitochondrial-Ath-iMetCAT-171835	578	189	458
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	1
mitochondrial-Ath-stemloop-286836	0	11	14
mitochondrial-Ath-stemloop-309033	0	35	103
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-32129	0	272	694
mitochondrial-Ath-stemloop-358842	1	7	59
mitochondrial-Ath-stemloop-36709	26	462	1064
mitochondrial-Ath-stemloop-49221	0	0	2
mitochondrial-Ath-stemloop-c116660	0	55	183
mitochondrial-Ath-stemloop-c1924	0	7	804
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c333147	0	34	544
mitochondrial-Ath-stemloop-c83962	0	0	12
nuclear-Ath-AlaAGC-171748	22489	38900	301157
nuclear-Ath-AlaAGC-171749	30172	57944	614774
nuclear-Ath-AlaAGC-183743	3221	6416	72215
nuclear-Ath-AlaCGC-171750	10521	18811	194367
nuclear-Ath-AlaCGC-171752	18967	34993	326526
nuclear-Ath-AlaCGC-183744	7392	13201	103457
nuclear-Ath-AlaTGC-171747	56848	106553	983685
nuclear-Ath-AlaTGC-171751	10130	19147	154896
nuclear-Ath-ArgACG-171679	3143	3784	10481
nuclear-Ath-ArgACG-171680	17204	21047	55917
nuclear-Ath-ArgACG-171681	8966	11860	22483
nuclear-Ath-ArgACG-171682	21127	27373	56190
nuclear-Ath-ArgACG-171683	9371	13981	50644
nuclear-Ath-ArgACG-171772	6763	11094	38978
nuclear-Ath-ArgCCG-171678	64960	62711	125426
nuclear-Ath-ArgCCG-171686	2903	2932	13151
nuclear-Ath-ArgCCG-183763	668	1096	3319
nuclear-Ath-ArgCCT-171715	3299	5001	14074
nuclear-Ath-ArgCCT-171716	51484	77208	239679
nuclear-Ath-ArgCCT-171719	8064	15202	59641
nuclear-Ath-ArgTCG-171676	38158	76960	214571
nuclear-Ath-ArgTCG-171677	32553	54445	124791
nuclear-Ath-ArgTCT-171693	6713	5349	37183
nuclear-Ath-ArgTCT-171694	27027	18573	163805
nuclear-Ath-ArgTCT-171695	22880	12214	90371
nuclear-Ath-ArgTCT-171696	6607	3919	29724
nuclear-Ath-ArgTCT-171714	15231	8768	33990
nuclear-Ath-ArgTCT-171717	6384	4583	19734
nuclear-Ath-ArgTCT-183731	6	0	23
nuclear-Ath-AsnGTT-171725	1792	2301	9389
