Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	0	0	0
mitochondrial-Ath-AsnGTT-183766	292	14555	38042
mitochondrial-Ath-AspGTC-171828	1167	6167	16214
mitochondrial-Ath-CysGCA-171829	2193	14251	17543
mitochondrial-Ath-GlnTTG-171830	91	536	1541
mitochondrial-Ath-GluTTC-171831	256	5169	18286
mitochondrial-Ath-GlyGCC-171832	276	2193	5677
mitochondrial-Ath-HisGTG-171833	1771	4144	11290
mitochondrial-Ath-IleCAT-171837	386	325	1632
mitochondrial-Ath-LysTTT-171834	87	771	4648
mitochondrial-Ath-ProTGG-171838	20	2094	7055
mitochondrial-Ath-SerGCT-171840	654	1185	2315
mitochondrial-Ath-SerGGA-171839	108	209	598
mitochondrial-Ath-SerTGA-171841	586	990	1865
mitochondrial-Ath-TrpCCA-171842	11327	35160	97626
mitochondrial-Ath-TyrGTA-171843	0	25	115
mitochondrial-Ath-TyrGTA-171844	653	1566	9872
mitochondrial-Ath-eMetCAT-171836	120	815	1150
mitochondrial-Ath-iMetCAT-171835	122	865	1952
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-286836	0	1	27
mitochondrial-Ath-stemloop-309033	2	13	73
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-32129	4	349	762
mitochondrial-Ath-stemloop-358842	0	2	15
mitochondrial-Ath-stemloop-36709	3	400	575
mitochondrial-Ath-stemloop-49221	0	0	1
mitochondrial-Ath-stemloop-c116660	2	26	164
mitochondrial-Ath-stemloop-c1924	0	29	622
mitochondrial-Ath-stemloop-c219906	0	0	2
mitochondrial-Ath-stemloop-c333147	0	34	364
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	341	27443	229634
nuclear-Ath-AlaAGC-171749	732	62547	614633
nuclear-Ath-AlaAGC-183743	341	33301	239617
nuclear-Ath-AlaCGC-171750	91	12245	136509
nuclear-Ath-AlaCGC-171752	150	19152	191843
nuclear-Ath-AlaCGC-183744	75	9534	74278
nuclear-Ath-AlaTGC-171747	620	61264	649122
nuclear-Ath-AlaTGC-171751	89	11649	120075
nuclear-Ath-ArgACG-171679	146	1542	8739
nuclear-Ath-ArgACG-171680	988	8700	49696
nuclear-Ath-ArgACG-171681	448	7059	20584
nuclear-Ath-ArgACG-171682	1083	15670	48983
nuclear-Ath-ArgACG-171683	482	5594	39265
nuclear-Ath-ArgACG-171772	327	5049	30669
nuclear-Ath-ArgCCG-171678	3230	48716	109451
nuclear-Ath-ArgCCG-171686	88	2123	8789
nuclear-Ath-ArgCCG-183763	23	626	2381
nuclear-Ath-ArgCCT-171715	15	3522	11132
nuclear-Ath-ArgCCT-171716	385	50004	172665
nuclear-Ath-ArgCCT-171719	440	11051	49808
nuclear-Ath-ArgTCG-171676	2250	59530	181109
nuclear-Ath-ArgTCG-171677	831	33346	79830
nuclear-Ath-ArgTCT-171693	352	5175	32749
nuclear-Ath-ArgTCT-171694	1131	15520	120345
