Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	0	0	0
mitochondrial-Ath-AsnGTT-183766	289	14461	36363
mitochondrial-Ath-AspGTC-171828	257	1341	5686
mitochondrial-Ath-CysGCA-171829	2193	14251	17543
mitochondrial-Ath-GlnTTG-171830	91	536	1541
mitochondrial-Ath-GluTTC-171831	256	5169	18286
mitochondrial-Ath-GlyGCC-171832	276	2193	5677
mitochondrial-Ath-HisGTG-171833	1771	4144	11287
mitochondrial-Ath-IleCAT-171837	386	325	1632
mitochondrial-Ath-LysTTT-171834	87	771	4648
mitochondrial-Ath-ProTGG-171838	20	2094	7055
mitochondrial-Ath-SerGCT-171840	654	1185	2315
mitochondrial-Ath-SerGGA-171839	75	158	526
mitochondrial-Ath-SerTGA-171841	586	990	1865
mitochondrial-Ath-TrpCCA-171842	33	63	315
mitochondrial-Ath-TyrGTA-171843	0	25	115
mitochondrial-Ath-TyrGTA-171844	653	1566	9872
mitochondrial-Ath-eMetCAT-171836	118	790	1109
mitochondrial-Ath-iMetCAT-171835	122	865	1952
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-286836	0	1	27
mitochondrial-Ath-stemloop-309033	2	13	72
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-32129	4	349	762
mitochondrial-Ath-stemloop-358842	0	2	15
mitochondrial-Ath-stemloop-36709	3	400	575
mitochondrial-Ath-stemloop-49221	0	0	1
mitochondrial-Ath-stemloop-c116660	2	26	164
mitochondrial-Ath-stemloop-c1924	0	29	622
mitochondrial-Ath-stemloop-c219906	0	0	2
mitochondrial-Ath-stemloop-c333147	0	34	364
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	341	27419	229217
nuclear-Ath-AlaAGC-171749	420	32719	420867
nuclear-Ath-AlaAGC-183743	27	3164	47129
nuclear-Ath-AlaCGC-171750	75	11158	125465
nuclear-Ath-AlaCGC-171752	137	17568	187155
nuclear-Ath-AlaCGC-183744	60	8055	69851
nuclear-Ath-AlaTGC-171747	614	60173	638232
nuclear-Ath-AlaTGC-171751	89	11649	120015
nuclear-Ath-ArgACG-171679	146	1528	8614
nuclear-Ath-ArgACG-171680	987	8674	49529
nuclear-Ath-ArgACG-171681	442	7037	20526
nuclear-Ath-ArgACG-171682	1080	15655	48950
nuclear-Ath-ArgACG-171683	481	5575	39190
nuclear-Ath-ArgACG-171772	325	5018	30618
nuclear-Ath-ArgCCG-171678	3230	48716	109451
nuclear-Ath-ArgCCG-171686	88	2123	8789
nuclear-Ath-ArgCCG-183763	23	626	2381
nuclear-Ath-ArgCCT-171715	15	3522	11105
nuclear-Ath-ArgCCT-171716	385	49976	172580
nuclear-Ath-ArgCCT-171719	440	11020	49733
nuclear-Ath-ArgTCG-171676	2250	59470	181014
nuclear-Ath-ArgTCG-171677	831	33297	79753
nuclear-Ath-ArgTCT-171693	277	4407	26519
nuclear-Ath-ArgTCT-171694	1059	14710	113876
nuclear-Ath-ArgTCT-171695	496	10051	58614
nuclear-Ath-ArgTCT-171696	169	3186	17906
nuclear-Ath-ArgTCT-171714	293	6953	25150
nuclear-Ath-ArgTCT-171717	359	5161	19743
nuclear-Ath-ArgTCT-183731	0	2	21
nuclear-Ath-AsnGTT-171725	12	1248	7529
nuclear-Ath-AsnGTT-171727	262	16376	93285
nuclear-Ath-AsnGTT-171729	286	16579	127940
nuclear-Ath-AsnGTT-183736	41	2397	10842
nuclear-Ath-AsnGTT-183737	0	3	27
nuclear-Ath-AsnGTT-183738	66	4264	23336
nuclear-Ath-AsnGTT-183739	60	3060	21111
nuclear-Ath-AspGTC-171804	37794	145438	387324
nuclear-Ath-AspGTC-183754	0	0	0
nuclear-Ath-AspGTC-183755	0	0	0
nuclear-Ath-AspGTC-183756	1	8	62
nuclear-Ath-AspGTC-183757	12	27	90
nuclear-Ath-CysGCA-171684	837	3429	5189
nuclear-Ath-CysGCA-171742	196	770	1216
nuclear-Ath-CysGCA-171756	116	531	2399
nuclear-Ath-CysGCA-171757	172	471	1149
nuclear-Ath-CysGCA-171758	1423	5026	9664
nuclear-Ath-CysGCA-171759	441	1146	1689
nuclear-Ath-CysGCA-171762	18	44	246
nuclear-Ath-CysGCA-183716	0	0	85
nuclear-Ath-CysGCA-183742	506	1488	2885
nuclear-Ath-CysGCA-183745	1	2	75
nuclear-Ath-GlnCTG-171763	1036	8565	13712
nuclear-Ath-GlnCTG-171765	299	3098	6689
nuclear-Ath-GlnCTG-171773	825	6709	11338
nuclear-Ath-GlnCTG-171774	722	5845	9357
nuclear-Ath-GlnCTG-171775	5746	55285	83462
nuclear-Ath-GlnTTG-171777	3156	38205	97814
nuclear-Ath-GlnTTG-183749	1400	19647	38744
nuclear-Ath-GluCTC-171821	1018	5555	16730
nuclear-Ath-GluCTC-171824	2455	12943	38369
nuclear-Ath-GluCTC-171825	351	2159	5515
nuclear-Ath-GluCTC-183765	1	7	42
nuclear-Ath-GluTTC-171820	5740	28893	106273
nuclear-Ath-GluTTC-171822	934	4244	14823
nuclear-Ath-GluTTC-171826	295	1519	5597
nuclear-Ath-GluTTC-183764	239	1355	6621
nuclear-Ath-GlyCCC-171713	1422	46651	170307
nuclear-Ath-GlyGCC-171688	175	3228	14414
nuclear-Ath-GlyGCC-171690	180	3478	18284
nuclear-Ath-GlyGCC-171691	4782	104168	543901
nuclear-Ath-GlyGCC-171692	24	605	1194
nuclear-Ath-GlyGCC-183730	0	99	383
nuclear-Ath-GlyTCC-171720	1072	33108	188378
nuclear-Ath-HisGTG-171768	4279	31435	66108
nuclear-Ath-HisGTG-171770	604	4689	7810
nuclear-Ath-HisGTG-183747	1959	13112	20828
nuclear-Ath-HisGTG-183748	685	5987	12120
nuclear-Ath-IleAAT-171735	42692	66522	412255
nuclear-Ath-IleAAT-171736	44919	78184	519285
nuclear-Ath-IleTAT-171721	2082	2908	11590
nuclear-Ath-IleTAT-171764	3923	5334	23093
nuclear-Ath-LeuAAG-171816	70	1500	6211
nuclear-Ath-LeuAAG-171817	88	2185	8007
nuclear-Ath-LeuCAA-171786	693	14336	48372
nuclear-Ath-LeuCAA-171787	511	8030	32519
nuclear-Ath-LeuCAA-171789	864	14201	57450
nuclear-Ath-LeuCAA-171790	717	14888	52829
nuclear-Ath-LeuCAA-183751	55	1376	4705
nuclear-Ath-LeuCAG-171781	1275	23870	94316
nuclear-Ath-LeuTAA-171698	112	2244	6285
nuclear-Ath-LeuTAA-171699	161	2887	9254
nuclear-Ath-LeuTAA-171791	365	6307	17918
nuclear-Ath-LeuTAG-171673	1576	34195	299221
nuclear-Ath-LeuTAG-171675	227	4186	18030
nuclear-Ath-LeuTAG-171685	9	670	4633
nuclear-Ath-LysCTT-171703	333	4603	14125
nuclear-Ath-LysCTT-171704	11259	104801	218815
nuclear-Ath-LysCTT-183733	35	393	769
nuclear-Ath-LysTTT-171707	17	34	127
nuclear-Ath-LysTTT-171712	383	2049	3841
nuclear-Ath-LysTTT-183734	0	17	44
