Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	0	0	0
mitochondrial-Ath-AsnGTT-183766	6985	918	1848
mitochondrial-Ath-AspGTC-171828	2550	779	1324
mitochondrial-Ath-CysGCA-171829	34102	6357	6201
mitochondrial-Ath-GlnTTG-171830	1092	167	305
mitochondrial-Ath-GluTTC-171831	10396	3048	3660
mitochondrial-Ath-GlyGCC-171832	7219	1121	1670
mitochondrial-Ath-HisGTG-171833	6035	951	1269
mitochondrial-Ath-IleCAT-171837	1062	188	556
mitochondrial-Ath-LysTTT-171834	2321	886	3125
mitochondrial-Ath-ProTGG-171838	3829	748	1136
mitochondrial-Ath-SerGCT-171840	1964	625	1457
mitochondrial-Ath-SerGGA-171839	446	183	352
mitochondrial-Ath-SerTGA-171841	2168	452	520
mitochondrial-Ath-TrpCCA-171842	277	56	120
mitochondrial-Ath-TyrGTA-171843	32	0	30
mitochondrial-Ath-TyrGTA-171844	5497	1731	4798
mitochondrial-Ath-eMetCAT-171836	1806	396	347
mitochondrial-Ath-iMetCAT-171835	1180	129	289
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-286836	12	0	0
mitochondrial-Ath-stemloop-309033	19	13	87
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-32129	534	117	122
mitochondrial-Ath-stemloop-358842	5	0	18
mitochondrial-Ath-stemloop-36709	510	45	297
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	82	27	173
mitochondrial-Ath-stemloop-c1924	22	20	481
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c333147	33	6	243
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	84642	45658	159562
nuclear-Ath-AlaAGC-171749	158524	85368	381912
nuclear-Ath-AlaAGC-183743	16788	9147	41184
nuclear-Ath-AlaCGC-171750	36862	15778	60121
nuclear-Ath-AlaCGC-171752	50348	17666	56030
nuclear-Ath-AlaCGC-183744	22645	10450	31422
nuclear-Ath-AlaTGC-171747	272815	154462	546196
nuclear-Ath-AlaTGC-171751	40804	24581	80718
nuclear-Ath-ArgACG-171679	8322	3376	3364
nuclear-Ath-ArgACG-171680	53724	17423	14521
nuclear-Ath-ArgACG-171681	17508	10310	5054
nuclear-Ath-ArgACG-171682	36310	16747	10024
nuclear-Ath-ArgACG-171683	32371	12528	11713
nuclear-Ath-ArgACG-171772	18387	6132	9028
nuclear-Ath-ArgCCG-171678	91323	28192	28515
nuclear-Ath-ArgCCG-171686	4845	1528	3746
nuclear-Ath-ArgCCG-183763	1733	727	907
nuclear-Ath-ArgCCT-171715	5067	1974	2418
nuclear-Ath-ArgCCT-171716	75605	26884	28840
