Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	4660	687	3985
mitochondrial-Ath-AsnGTT-183766	721	95	295
mitochondrial-Ath-AspGTC-171828	1052	401	887
mitochondrial-Ath-CysGCA-171829	3671	812	851
mitochondrial-Ath-GlnTTG-171830	179	34	49
mitochondrial-Ath-GluTTC-171831	1022	273	530
mitochondrial-Ath-GlyGCC-171832	777	96	169
mitochondrial-Ath-HisGTG-171833	628	65	118
mitochondrial-Ath-IleCAT-171837	69	8	48
mitochondrial-Ath-LysTTT-171834	320	118	609
mitochondrial-Ath-ProTGG-171838	300	50	71
mitochondrial-Ath-SerGCT-171840	87	39	85
mitochondrial-Ath-SerGGA-171839	38	11	50
mitochondrial-Ath-SerTGA-171841	249	61	78
mitochondrial-Ath-TrpCCA-171842	4001	944	1099
mitochondrial-Ath-TyrGTA-171843	8	1	9
mitochondrial-Ath-TyrGTA-171844	269	93	319
mitochondrial-Ath-eMetCAT-171836	112	6	22
mitochondrial-Ath-iMetCAT-171835	37	7	18
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-309033	6	0	11
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	5	2	10
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	7489	4190	21543
nuclear-Ath-AlaAGC-171749	24647	15045	77581
nuclear-Ath-AlaAGC-183743	7059	4263	16836
nuclear-Ath-AlaCGC-171750	3846	1942	10324
nuclear-Ath-AlaCGC-171752	7976	3843	17462
nuclear-Ath-AlaCGC-183744	4553	2509	9386
nuclear-Ath-AlaTGC-171747	24948	14945	67676
nuclear-Ath-AlaTGC-171751	3109	1618	6906
nuclear-Ath-ArgACG-171679	549	245	316
nuclear-Ath-ArgACG-171680	3115	1011	1145
nuclear-Ath-ArgACG-171681	1189	917	463
nuclear-Ath-ArgACG-171682	2690	1493	975
nuclear-Ath-ArgACG-171683	1700	807	1009
nuclear-Ath-ArgACG-171772	2017	717	1672
nuclear-Ath-ArgCCG-171678	10192	3804	4576
nuclear-Ath-ArgCCG-171686	573	161	495
nuclear-Ath-ArgCCG-183763	462	182	251
nuclear-Ath-ArgCCT-171715	338	178	245
nuclear-Ath-ArgCCT-171716	5230	2218	2950
nuclear-Ath-ArgCCT-171719	1440	757	1497
nuclear-Ath-ArgTCG-171676	6820	3933	4561
nuclear-Ath-ArgTCG-171677	8728	4869	4898
nuclear-Ath-ArgTCT-171693	1304	221	954
nuclear-Ath-ArgTCT-171694	4703	701	3661
nuclear-Ath-ArgTCT-171695	3139	485	2010
nuclear-Ath-ArgTCT-171696	1059	159	672
nuclear-Ath-ArgTCT-171714	2338	381	759
nuclear-Ath-ArgTCT-171717	1118	223	418
nuclear-Ath-ArgTCT-183731	0	0	2
nuclear-Ath-AsnGTT-171725	311	139	325
nuclear-Ath-AsnGTT-171727	7819	3024	7570
nuclear-Ath-AsnGTT-171729	5237	1896	4322
nuclear-Ath-AsnGTT-183736	891	311	696
nuclear-Ath-AsnGTT-183737	1	1	5
nuclear-Ath-AsnGTT-183738	1973	721	1936
nuclear-Ath-AsnGTT-183739	1003	313	818
nuclear-Ath-AspGTC-171804	32521	17801	14895
nuclear-Ath-AspGTC-183754	2	0	1
nuclear-Ath-AspGTC-183755	0	0	0
nuclear-Ath-AspGTC-183756	2	1	759
nuclear-Ath-AspGTC-183757	17	3	94
nuclear-Ath-CysGCA-171684	797	115	108
nuclear-Ath-CysGCA-171742	150	39	58
nuclear-Ath-CysGCA-171756	316	79	123
nuclear-Ath-CysGCA-171757	91	32	43
nuclear-Ath-CysGCA-171758	1465	269	414
nuclear-Ath-CysGCA-171759	276	68	93
nuclear-Ath-CysGCA-171762	50	13	16
nuclear-Ath-CysGCA-183716	0	0	4
nuclear-Ath-CysGCA-183742	304	98	88
nuclear-Ath-CysGCA-183745	9	1	3
nuclear-Ath-GlnCTG-171763	1614	250	327
nuclear-Ath-GlnCTG-171765	379	84	90
nuclear-Ath-GlnCTG-171773	1068	258	219
nuclear-Ath-GlnCTG-171774	922	204	248
nuclear-Ath-GlnCTG-171775	14620	2828	3226
nuclear-Ath-GlnTTG-171777	8888	3231	3663
nuclear-Ath-GlnTTG-183749	1872	435	520
nuclear-Ath-GluCTC-171821	2012	314	649
nuclear-Ath-GluCTC-171824	5553	933	1832
nuclear-Ath-GluCTC-171825	793	111	225
nuclear-Ath-GluCTC-183765	5	1	16
nuclear-Ath-GluTTC-171820	13935	2416	4295
nuclear-Ath-GluTTC-171822	2356	335	633
nuclear-Ath-GluTTC-171826	489	93	190
nuclear-Ath-GluTTC-183764	489	100	241
nuclear-Ath-GlyCCC-171713	10437	3593	6760
nuclear-Ath-GlyGCC-171688	906	213	490
nuclear-Ath-GlyGCC-171690	1163	258	830
nuclear-Ath-GlyGCC-171691	31449	7822	21212
nuclear-Ath-GlyGCC-171692	78	26	96
nuclear-Ath-GlyGCC-183730	20	6	14
nuclear-Ath-GlyTCC-171720	14186	5539	7399
nuclear-Ath-HisGTG-171768	3288	1171	4034
nuclear-Ath-HisGTG-171770	423	183	506
nuclear-Ath-HisGTG-183747	721	214	631
nuclear-Ath-HisGTG-183748	295	157	241
nuclear-Ath-IleAAT-171735	4429	1768	8964
nuclear-Ath-IleAAT-171736	4388	2066	11534
nuclear-Ath-IleTAT-171721	553	331	492
nuclear-Ath-IleTAT-171764	590	236	858
nuclear-Ath-LeuAAG-171816	13323	4672	25112
nuclear-Ath-LeuAAG-171817	13923	4846	25855
nuclear-Ath-LeuCAA-171786	2551	1026	2146
nuclear-Ath-LeuCAA-171787	2450	730	2262
nuclear-Ath-LeuCAA-171789	3405	841	2508
nuclear-Ath-LeuCAA-171790	2624	683	1787
nuclear-Ath-LeuCAA-183751	296	107	250
nuclear-Ath-LeuCAG-171781	3728	1480	4181
nuclear-Ath-LeuTAA-171698	1883	725	2113
nuclear-Ath-LeuTAA-171699	2121	793	2463
nuclear-Ath-LeuTAA-171791	1026	474	683
nuclear-Ath-LeuTAG-171673	7735	3135	10469
nuclear-Ath-LeuTAG-171675	8973	3829	9188
nuclear-Ath-LeuTAG-171685	5966	2552	7145
nuclear-Ath-LysCTT-171703	1793	680	853
nuclear-Ath-LysCTT-171704	34141	9859	8886
nuclear-Ath-LysCTT-183733	22	28	28
nuclear-Ath-LysTTT-171707	1262	233	305
nuclear-Ath-LysTTT-171712	198	49	50
nuclear-Ath-LysTTT-183734	1267	238	248
nuclear-Ath-LysTTT-183735	0	0	4
nuclear-Ath-PheGAA-171718	7848	5225	8969
nuclear-Ath-ProAGG-171737	6766	868	2182
nuclear-Ath-ProAGG-171738	1817	203	498
nuclear-Ath-ProAGG-171743	6679	907	1647
nuclear-Ath-ProCGG-171739	29	5	21
nuclear-Ath-ProCGG-171760	3116	475	1677
nuclear-Ath-ProCGG-171761	5014	742	2827
nuclear-Ath-ProTGG-171741	4093	529	1695
nuclear-Ath-ProTGG-171744	14192	2044	4675
nuclear-Ath-ProTGG-183741	4	0	15
nuclear-Ath-SerAGA-171812	325	242	2450
nuclear-Ath-SerAGA-171813	1641	1197	11995
nuclear-Ath-SerAGA-171814	9	7	23
nuclear-Ath-SerAGA-171815	22	10	124
nuclear-Ath-SerAGA-183750	226	119	239
nuclear-Ath-SerAGA-183759	213	179	1540
nuclear-Ath-SerAGA-183760	0	0	0
nuclear-Ath-SerAGA-183761	0	0	0
nuclear-Ath-SerAGA-183762	16	13	110
nuclear-Ath-SerCGA-171782	291	220	547
nuclear-Ath-SerCGA-171785	1276	1007	2187
nuclear-Ath-SerCGA-171794	1035	786	1379
nuclear-Ath-SerGCT-171796	897	363	531
nuclear-Ath-SerGCT-171797	2492	925	1158
nuclear-Ath-SerGCT-171798	4114	1719	2576
nuclear-Ath-SerGCT-171800	1327	540	771
nuclear-Ath-SerGCT-183728	1153	491	827
nuclear-Ath-SerGCT-183752	735	264	463
nuclear-Ath-SerGCT-183753	0	0	1
nuclear-Ath-SerTGA-171783	395	451	508
nuclear-Ath-SerTGA-171784	314	332	664
