Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	4660	687	3985
mitochondrial-Ath-AsnGTT-183766	720	94	196
mitochondrial-Ath-AspGTC-171828	839	326	711
mitochondrial-Ath-CysGCA-171829	3671	812	851
mitochondrial-Ath-GlnTTG-171830	179	34	49
mitochondrial-Ath-GluTTC-171831	1022	273	530
mitochondrial-Ath-GlyGCC-171832	777	96	169
mitochondrial-Ath-HisGTG-171833	628	65	118
mitochondrial-Ath-IleCAT-171837	69	8	48
mitochondrial-Ath-LysTTT-171834	320	118	609
mitochondrial-Ath-ProTGG-171838	300	50	71
mitochondrial-Ath-SerGCT-171840	87	39	85
mitochondrial-Ath-SerGGA-171839	36	11	48
mitochondrial-Ath-SerTGA-171841	249	61	78
mitochondrial-Ath-TrpCCA-171842	40	10	20
mitochondrial-Ath-TyrGTA-171843	8	1	9
mitochondrial-Ath-TyrGTA-171844	269	93	319
mitochondrial-Ath-eMetCAT-171836	112	6	22
mitochondrial-Ath-iMetCAT-171835	37	7	18
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-309033	6	0	11
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	5	2	10
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	7483	4185	21514
nuclear-Ath-AlaAGC-171749	19952	11864	67900
nuclear-Ath-AlaAGC-183743	2089	1125	7248
nuclear-Ath-AlaCGC-171750	3841	1933	10313
nuclear-Ath-AlaCGC-171752	7904	3821	17407
nuclear-Ath-AlaCGC-183744	4452	2479	9337
nuclear-Ath-AlaTGC-171747	24942	14941	67666
nuclear-Ath-AlaTGC-171751	3109	1618	6906
nuclear-Ath-ArgACG-171679	548	245	310
nuclear-Ath-ArgACG-171680	3107	1008	1128
nuclear-Ath-ArgACG-171681	1186	916	460
nuclear-Ath-ArgACG-171682	2686	1493	973
nuclear-Ath-ArgACG-171683	1699	805	1006
