Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	127	8114	39393
mitochondrial-Ath-AsnGTT-183766	3480	1044	2547
mitochondrial-Ath-AspGTC-171828	2283	1850	4751
mitochondrial-Ath-CysGCA-171829	1318	1922	2881
mitochondrial-Ath-GlnTTG-171830	111	51	132
mitochondrial-Ath-GluTTC-171831	589	686	2395
mitochondrial-Ath-GlyGCC-171832	570	327	906
mitochondrial-Ath-HisGTG-171833	1073	714	1570
mitochondrial-Ath-IleCAT-171837	63	41	186
mitochondrial-Ath-LysTTT-171834	155	137	1190
mitochondrial-Ath-ProTGG-171838	337	171	280
mitochondrial-Ath-SerGCT-171840	223	74	265
mitochondrial-Ath-SerGGA-171839	47	30	131
mitochondrial-Ath-SerTGA-171841	279	108	297
mitochondrial-Ath-TrpCCA-171842	4102	4465	8566
mitochondrial-Ath-TyrGTA-171843	2	8	23
mitochondrial-Ath-TyrGTA-171844	223	183	1130
mitochondrial-Ath-eMetCAT-171836	164	97	131
mitochondrial-Ath-iMetCAT-171835	85	34	63
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-309033	0	10	9
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	1	3	17
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	2597	4443	33255
nuclear-Ath-AlaAGC-171749	7811	13688	108893
nuclear-Ath-AlaAGC-183743	3034	4937	31090
nuclear-Ath-AlaCGC-171750	1561	2571	25248
nuclear-Ath-AlaCGC-171752	3318	5446	46428
nuclear-Ath-AlaCGC-183744	1281	1979	14456
nuclear-Ath-AlaTGC-171747	8568	14729	118655
nuclear-Ath-AlaTGC-171751	1474	2141	15213
nuclear-Ath-ArgACG-171679	346	556	1168
nuclear-Ath-ArgACG-171680	2308	2942	7278
nuclear-Ath-ArgACG-171681	1144	1567	2654
nuclear-Ath-ArgACG-171682	2433	3357	6118
nuclear-Ath-ArgACG-171683	1420	1965	7058
nuclear-Ath-ArgACG-171772	1141	1598	5724
nuclear-Ath-ArgCCG-171678	8434	7860	15135
nuclear-Ath-ArgCCG-171686	424	409	1650
nuclear-Ath-ArgCCG-183763	211	192	487
nuclear-Ath-ArgCCT-171715	497	710	1775
nuclear-Ath-ArgCCT-171716	5757	8808	23857
nuclear-Ath-ArgCCT-171719	1153	1940	6978
nuclear-Ath-ArgTCG-171676	4114	9059	21414
nuclear-Ath-ArgTCG-171677	4931	9639	20049
nuclear-Ath-ArgTCT-171693	1090	890	5502
nuclear-Ath-ArgTCT-171694	3762	2537	20226
nuclear-Ath-ArgTCT-171695	3409	2053	14341
nuclear-Ath-ArgTCT-171696	1038	672	4608
nuclear-Ath-ArgTCT-171714	2261	1298	4813
nuclear-Ath-ArgTCT-171717	841	567	2160
nuclear-Ath-ArgTCT-183731	2	4	36
nuclear-Ath-AsnGTT-171725	282	382	1236
nuclear-Ath-AsnGTT-171727	4258	4735	19112
nuclear-Ath-AsnGTT-171729	4493	5463	24934
nuclear-Ath-AsnGTT-183736	627	554	1956
nuclear-Ath-AsnGTT-183737	1	0	4
nuclear-Ath-AsnGTT-183738	907	1072	4165
nuclear-Ath-AsnGTT-183739	755	940	4062
nuclear-Ath-AspGTC-171804	32850	49374	73962
nuclear-Ath-AspGTC-183754	9	7	14
nuclear-Ath-AspGTC-183755	1	1	1
nuclear-Ath-AspGTC-183756	4	12	4799
nuclear-Ath-AspGTC-183757	11	21	208
nuclear-Ath-CysGCA-171684	469	560	669
nuclear-Ath-CysGCA-171742	90	114	192
nuclear-Ath-CysGCA-171756	188	216	464
nuclear-Ath-CysGCA-171757	81	81	156
nuclear-Ath-CysGCA-171758	868	947	1758
nuclear-Ath-CysGCA-171759	174	197	284
nuclear-Ath-CysGCA-171762	71	59	85
nuclear-Ath-CysGCA-183716	0	0	24
nuclear-Ath-CysGCA-183742	232	331	373
nuclear-Ath-CysGCA-183745	30	43	60
nuclear-Ath-GlnCTG-171763	1296	1209	2320
nuclear-Ath-GlnCTG-171765	496	663	1186
nuclear-Ath-GlnCTG-171773	1004	1469	2478
nuclear-Ath-GlnCTG-171774	790	1131	1817
nuclear-Ath-GlnCTG-171775	11959	15817	22329
nuclear-Ath-GlnTTG-171777	5507	13054	32312
nuclear-Ath-GlnTTG-183749	1860	3888	7644
nuclear-Ath-GluCTC-171821	3319	1753	4504
nuclear-Ath-GluCTC-171824	8866	4665	11229
nuclear-Ath-GluCTC-171825	1428	713	1640
nuclear-Ath-GluCTC-183765	45	14	89
nuclear-Ath-GluTTC-171820	9748	7142	18084
