Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	127	8114	39393
mitochondrial-Ath-AsnGTT-183766	3458	1037	2428
mitochondrial-Ath-AspGTC-171828	753	652	2012
mitochondrial-Ath-CysGCA-171829	1318	1922	2881
mitochondrial-Ath-GlnTTG-171830	111	51	132
mitochondrial-Ath-GluTTC-171831	589	686	2395
mitochondrial-Ath-GlyGCC-171832	570	327	906
mitochondrial-Ath-HisGTG-171833	1073	714	1570
mitochondrial-Ath-IleCAT-171837	63	41	186
mitochondrial-Ath-LysTTT-171834	155	137	1190
mitochondrial-Ath-ProTGG-171838	337	171	280
mitochondrial-Ath-SerGCT-171840	223	74	265
mitochondrial-Ath-SerGGA-171839	40	28	130
mitochondrial-Ath-SerTGA-171841	279	108	297
mitochondrial-Ath-TrpCCA-171842	35	29	93
mitochondrial-Ath-TyrGTA-171843	2	8	23
mitochondrial-Ath-TyrGTA-171844	223	183	1130
mitochondrial-Ath-eMetCAT-171836	154	96	131
mitochondrial-Ath-iMetCAT-171835	85	34	63
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-309033	0	10	9
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	1	3	17
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	2590	4442	33200
nuclear-Ath-AlaAGC-171749	5482	9742	88270
nuclear-Ath-AlaAGC-183743	574	1059	10164
nuclear-Ath-AlaCGC-171750	1465	2375	23905
nuclear-Ath-AlaCGC-171752	3246	5408	46216
nuclear-Ath-AlaCGC-183744	1204	1925	14256
nuclear-Ath-AlaTGC-171747	8489	14521	117407
nuclear-Ath-AlaTGC-171751	1474	2141	15209
nuclear-Ath-ArgACG-171679	346	551	1157
nuclear-Ath-ArgACG-171680	2300	2938	7255
nuclear-Ath-ArgACG-171681	1139	1563	2647
nuclear-Ath-ArgACG-171682	2430	3355	6115
nuclear-Ath-ArgACG-171683	1411	1963	7039
nuclear-Ath-ArgACG-171772	1135	1589	5710
nuclear-Ath-ArgCCG-171678	8434	7860	15135
nuclear-Ath-ArgCCG-171686	424	409	1650
nuclear-Ath-ArgCCG-183763	211	192	487
nuclear-Ath-ArgCCT-171715	497	710	1774
nuclear-Ath-ArgCCT-171716	5752	8806	23773
nuclear-Ath-ArgCCT-171719	1149	1934	6905
nuclear-Ath-ArgTCG-171676	4109	9055	21400
nuclear-Ath-ArgTCG-171677	4926	9632	20035
nuclear-Ath-ArgTCT-171693	891	766	4512
nuclear-Ath-ArgTCT-171694	3585	2424	19264
nuclear-Ath-ArgTCT-171695	3330	2009	14093
nuclear-Ath-ArgTCT-171696	971	643	4344
nuclear-Ath-ArgTCT-171714	2256	1293	4792
nuclear-Ath-ArgTCT-171717	841	567	2160
nuclear-Ath-ArgTCT-183731	0	0	4
nuclear-Ath-AsnGTT-171725	271	369	1200
nuclear-Ath-AsnGTT-171727	4203	4653	18831
nuclear-Ath-AsnGTT-171729	4493	5463	24908
nuclear-Ath-AsnGTT-183736	619	548	1934
nuclear-Ath-AsnGTT-183737	1	0	4
nuclear-Ath-AsnGTT-183738	854	992	3874
nuclear-Ath-AsnGTT-183739	754	940	4046
nuclear-Ath-AspGTC-171804	32836	49366	69375
nuclear-Ath-AspGTC-183754	0	0	0
nuclear-Ath-AspGTC-183755	0	0	0
