Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	5146	797	3887
mitochondrial-Ath-AsnGTT-183766	1269	152	558
mitochondrial-Ath-AspGTC-171828	1506	567	1494
mitochondrial-Ath-CysGCA-171829	5015	1061	1122
mitochondrial-Ath-GlnTTG-171830	171	35	61
mitochondrial-Ath-GluTTC-171831	1927	408	1053
mitochondrial-Ath-GlyGCC-171832	1020	168	280
mitochondrial-Ath-HisGTG-171833	865	118	175
mitochondrial-Ath-IleCAT-171837	111	9	84
mitochondrial-Ath-LysTTT-171834	415	134	795
mitochondrial-Ath-ProTGG-171838	613	75	178
mitochondrial-Ath-SerGCT-171840	85	41	120
mitochondrial-Ath-SerGGA-171839	29	14	63
mitochondrial-Ath-SerTGA-171841	356	92	117
mitochondrial-Ath-TrpCCA-171842	6987	1534	1975
mitochondrial-Ath-TyrGTA-171843	17	4	12
mitochondrial-Ath-TyrGTA-171844	414	115	502
mitochondrial-Ath-eMetCAT-171836	186	28	28
mitochondrial-Ath-iMetCAT-171835	98	7	47
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-309033	7	1	11
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	7	5	12
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	10553	6044	33629
nuclear-Ath-AlaAGC-171749	34813	21477	118819
nuclear-Ath-AlaAGC-183743	9347	6044	24551
nuclear-Ath-AlaCGC-171750	4999	2665	15056
nuclear-Ath-AlaCGC-171752	10863	5178	22962
nuclear-Ath-AlaCGC-183744	5671	3111	12849
nuclear-Ath-AlaTGC-171747	33592	20546	97945
nuclear-Ath-AlaTGC-171751	4448	2303	10329
nuclear-Ath-ArgACG-171679	889	381	517
nuclear-Ath-ArgACG-171680	4933	1859	1977
nuclear-Ath-ArgACG-171681	1961	1398	728
nuclear-Ath-ArgACG-171682	4339	2382	1761
nuclear-Ath-ArgACG-171683	2964	1172	1756
nuclear-Ath-ArgACG-171772	2999	1153	2456
nuclear-Ath-ArgCCG-171678	15114	5373	7398
nuclear-Ath-ArgCCG-171686	937	291	734
nuclear-Ath-ArgCCG-183763	570	211	396
nuclear-Ath-ArgCCT-171715	514	269	428
nuclear-Ath-ArgCCT-171716	7694	3671	5405
nuclear-Ath-ArgCCT-171719	2081	1186	2458
nuclear-Ath-ArgTCG-171676	10317	6266	7979
nuclear-Ath-ArgTCG-171677	12689	7395	8123
nuclear-Ath-ArgTCT-171693	2262	425	1893
nuclear-Ath-ArgTCT-171694	7772	1211	6951
nuclear-Ath-ArgTCT-171695	5175	761	3752
nuclear-Ath-ArgTCT-171696	1752	255	1309
nuclear-Ath-ArgTCT-171714	3598	587	1520
nuclear-Ath-ArgTCT-171717	1689	310	873
nuclear-Ath-ArgTCT-183731	5	0	8
nuclear-Ath-AsnGTT-171725	537	275	702
nuclear-Ath-AsnGTT-171727	11393	4833	14338
nuclear-Ath-AsnGTT-171729	8064	3126	8929
nuclear-Ath-AsnGTT-183736	1512	590	1387
nuclear-Ath-AsnGTT-183737	1	0	5
nuclear-Ath-AsnGTT-183738	3189	1390	4020
nuclear-Ath-AsnGTT-183739	1553	580	1535
nuclear-Ath-AspGTC-171804	45597	25795	23238
nuclear-Ath-AspGTC-183754	0	0	1
nuclear-Ath-AspGTC-183755	1	0	4
nuclear-Ath-AspGTC-183756	5	3	1113
nuclear-Ath-AspGTC-183757	13	10	131
nuclear-Ath-CysGCA-171684	1136	115	174
nuclear-Ath-CysGCA-171742	191	62	95
nuclear-Ath-CysGCA-171756	485	121	159
nuclear-Ath-CysGCA-171757	142	39	34
nuclear-Ath-CysGCA-171758	2086	405	694
nuclear-Ath-CysGCA-171759	400	86	122
nuclear-Ath-CysGCA-171762	81	31	37
nuclear-Ath-CysGCA-183716	0	0	1
nuclear-Ath-CysGCA-183742	469	134	106
nuclear-Ath-CysGCA-183745	19	5	6
nuclear-Ath-GlnCTG-171763	1935	330	351
nuclear-Ath-GlnCTG-171765	651	101	127
nuclear-Ath-GlnCTG-171773	1914	313	366
nuclear-Ath-GlnCTG-171774	979	251	266
nuclear-Ath-GlnCTG-171775	20761	3654	4533
nuclear-Ath-GlnTTG-171777	13625	4633	5938
nuclear-Ath-GlnTTG-183749	3422	836	1148
nuclear-Ath-GluCTC-171821	3226	474	1157
nuclear-Ath-GluCTC-171824	8668	1460	3281
nuclear-Ath-GluCTC-171825	1407	214	501
nuclear-Ath-GluCTC-183765	3	0	30
nuclear-Ath-GluTTC-171820	19139	3326	6685
nuclear-Ath-GluTTC-171822	3534	441	991
nuclear-Ath-GluTTC-171826	687	88	298
nuclear-Ath-GluTTC-183764	715	143	375
nuclear-Ath-GlyCCC-171713	16594	5743	12234
nuclear-Ath-GlyGCC-171688	1385	331	761
nuclear-Ath-GlyGCC-171690	1679	426	1214
nuclear-Ath-GlyGCC-171691	48760	12520	34679
nuclear-Ath-GlyGCC-171692	89	39	148
nuclear-Ath-GlyGCC-183730	30	7	32
nuclear-Ath-GlyTCC-171720	21854	8574	12376
nuclear-Ath-HisGTG-171768	4403	1379	5365
nuclear-Ath-HisGTG-171770	608	167	683
nuclear-Ath-HisGTG-183747	1092	321	898
nuclear-Ath-HisGTG-183748	473	229	408
nuclear-Ath-IleAAT-171735	8254	3270	19702
nuclear-Ath-IleAAT-171736	8575	4066	26203
nuclear-Ath-IleTAT-171721	1014	528	898
nuclear-Ath-IleTAT-171764	937	442	1597
nuclear-Ath-LeuAAG-171816	21256	7057	37596
nuclear-Ath-LeuAAG-171817	21861	7326	38400
nuclear-Ath-LeuCAA-171786	4424	1760	3861
nuclear-Ath-LeuCAA-171787	3909	1294	3525
nuclear-Ath-LeuCAA-171789	5214	1450	4178
nuclear-Ath-LeuCAA-171790	4157	981	2761
nuclear-Ath-LeuCAA-183751	532	181	479
nuclear-Ath-LeuCAG-171781	5843	2274	6494
nuclear-Ath-LeuTAA-171698	3204	1149	3466
nuclear-Ath-LeuTAA-171699	3566	1278	3966
nuclear-Ath-LeuTAA-171791	1814	790	1201
nuclear-Ath-LeuTAG-171673	12758	4991	16454
nuclear-Ath-LeuTAG-171675	15029	6230	14929
nuclear-Ath-LeuTAG-171685	9841	3943	11552
nuclear-Ath-LysCTT-171703	2829	1030	1493
nuclear-Ath-LysCTT-171704	58685	17808	17509
nuclear-Ath-LysCTT-183733	31	37	38
nuclear-Ath-LysTTT-171707	2126	365	698
nuclear-Ath-LysTTT-171712	320	86	144
nuclear-Ath-LysTTT-183734	2174	436	592
nuclear-Ath-LysTTT-183735	3	1	10
nuclear-Ath-PheGAA-171718	13410	8670	15205
nuclear-Ath-ProAGG-171737	8642	1100	3112
nuclear-Ath-ProAGG-171738	2384	283	740
nuclear-Ath-ProAGG-171743	9374	1273	2573
nuclear-Ath-ProCGG-171739	38	4	18
nuclear-Ath-ProCGG-171760	3553	493	2185
nuclear-Ath-ProCGG-171761	6161	973	3652
nuclear-Ath-ProTGG-171741	5113	689	2246
nuclear-Ath-ProTGG-171744	17864	2570	6515
nuclear-Ath-ProTGG-183741	3	1	16
nuclear-Ath-SerAGA-171812	401	345	3506
nuclear-Ath-SerAGA-171813	2441	1712	17940
nuclear-Ath-SerAGA-171814	8	9	38
nuclear-Ath-SerAGA-171815	42	22	183
nuclear-Ath-SerAGA-183750	359	160	339
nuclear-Ath-SerAGA-183759	317	254	2122
nuclear-Ath-SerAGA-183760	0	0	0
nuclear-Ath-SerAGA-183761	0	0	0
nuclear-Ath-SerAGA-183762	30	20	159
nuclear-Ath-SerCGA-171782	383	357	758
nuclear-Ath-SerCGA-171785	2019	1529	3202
nuclear-Ath-SerCGA-171794	1562	1172	2133
nuclear-Ath-SerGCT-171796	1329	552	1066
nuclear-Ath-SerGCT-171797	3194	1219	1865
nuclear-Ath-SerGCT-171798	6081	2607	4683
nuclear-Ath-SerGCT-171800	1826	744	1363
nuclear-Ath-SerGCT-183728	1684	771	1603
nuclear-Ath-SerGCT-183752	920	433	777
nuclear-Ath-SerGCT-183753	1	0	3
nuclear-Ath-SerTGA-171783	667	575	822
nuclear-Ath-SerTGA-171784	498	453	886
nuclear-Ath-SerTGA-171792	1287	1230	2628
nuclear-Ath-SerTGA-171793	725	639	1234
nuclear-Ath-ThrAGT-171722	2696	1257	2174
nuclear-Ath-ThrAGT-171723	3476	1251	1685
nuclear-Ath-ThrAGT-171731	3770	1333	1649
nuclear-Ath-ThrCGT-171709	7892	2777	1836
nuclear-Ath-ThrCGT-171710	2596	645	622
nuclear-Ath-ThrCGT-171711	1049	408	339
nuclear-Ath-ThrTGT-171700	15688	6821	13911
nuclear-Ath-ThrTGT-171705	1934	807	2168
nuclear-Ath-ThrTGT-183732	244	120	267
nuclear-Ath-TrpCCA-171732	63282	18952	69004
nuclear-Ath-TrpCCA-171734	50400	15575	50843
nuclear-Ath-TrpCCA-183740	13	5	20
nuclear-Ath-TyrGTA-171663	23105	3682	9075
nuclear-Ath-TyrGTA-171666	8	0	3
nuclear-Ath-TyrGTA-171668	0	0	0
nuclear-Ath-TyrGTA-183718	0	0	0
nuclear-Ath-TyrGTA-183719	2977	490	1006
nuclear-Ath-TyrGTA-183720	0	0	16
nuclear-Ath-TyrGTA-183721	0	0	0
nuclear-Ath-TyrGTA-183722	0	0	0
nuclear-Ath-TyrGTA-183723	0	0	0
nuclear-Ath-TyrGTA-183724	0	0	3
nuclear-Ath-TyrGTA-183725	0	0	1
nuclear-Ath-TyrGTA-183726	0	0	0
nuclear-Ath-TyrGTA-183727	0	0	0
nuclear-Ath-ValAAC-171778	1	4	823
nuclear-Ath-ValAAC-171779	6681	4696	32424
nuclear-Ath-ValCAC-171807	1267	663	2195
nuclear-Ath-ValCAC-183758	732	451	1518
nuclear-Ath-ValTAC-171767	3896	1896	18238
nuclear-Ath-ValTAC-183729	221	183	867
nuclear-Ath-ValTAC-183746	147	49	599
nuclear-Ath-eMetCAT-171754	13936	6386	21966
nuclear-Ath-iMetCAT-171655	57	13	96
nuclear-Ath-iMetCAT-171658	80	22	118
nuclear-Ath-iMetCAT-171659	500	178	840
nuclear-Ath-iMetCAT-183717	0	0	5
plastid-Ath-AlaTGC-171845	47162	22506	92958
plastid-Ath-ArgACG-171847	20412	6415	15430
plastid-Ath-ArgTCT-171846	5316	1052	1307
plastid-Ath-AsnGTT-171848	52035	6771	15636
plastid-Ath-AspGTC-171849	37362	15148	38999
plastid-Ath-CysGCA-171850	8166	1186	1650
plastid-Ath-GlnTTG-171851	12256	2934	6996
plastid-Ath-GluTTC-171852	136589	21210	49979
plastid-Ath-GlyGCC-171853	26186	2076	3645
plastid-Ath-GlyTCC-171854	10574	795	1300
plastid-Ath-HisGTG-171855	27099	2629	4510
plastid-Ath-IleCAT-171856	3152	932	7957
plastid-Ath-IleGAT-171857	17596	6540	34366
plastid-Ath-LeuCAA-171859	9225	2744	6181
plastid-Ath-LeuTAA-171860	4580	1682	12256
plastid-Ath-LeuTAG-171858	15014	5402	6813
plastid-Ath-LysTTT-171861	3570	1032	3228
plastid-Ath-PheGAA-171864	8739	4426	10584
plastid-Ath-ProTGG-171865	6974	1535	1853
plastid-Ath-SerGCT-171868	1594	285	1085
