Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	8612	1086	5696
mitochondrial-Ath-AsnGTT-183766	1532	145	348
mitochondrial-Ath-AspGTC-171828	1001	333	733
mitochondrial-Ath-CysGCA-171829	6312	1275	1208
mitochondrial-Ath-GlnTTG-171830	307	39	83
mitochondrial-Ath-GluTTC-171831	1371	329	618
mitochondrial-Ath-GlyGCC-171832	1615	173	342
mitochondrial-Ath-HisGTG-171833	1148	110	224
mitochondrial-Ath-IleCAT-171837	117	10	59
mitochondrial-Ath-LysTTT-171834	501	152	849
mitochondrial-Ath-ProTGG-171838	632	78	131
mitochondrial-Ath-SerGCT-171840	133	43	131
mitochondrial-Ath-SerGGA-171839	50	22	60
mitochondrial-Ath-SerTGA-171841	501	83	121
mitochondrial-Ath-TrpCCA-171842	86	17	35
mitochondrial-Ath-TyrGTA-171843	13	3	1
mitochondrial-Ath-TyrGTA-171844	604	160	557
mitochondrial-Ath-eMetCAT-171836	191	20	43
mitochondrial-Ath-iMetCAT-171835	83	8	54
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-309033	6	0	16
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	9	3	17
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	14526	6596	38960
nuclear-Ath-AlaAGC-171749	37735	19046	124710
nuclear-Ath-AlaAGC-183743	3828	1796	12553
nuclear-Ath-AlaCGC-171750	6623	2719	16367
nuclear-Ath-AlaCGC-171752	13074	5798	27586
nuclear-Ath-AlaCGC-183744	6893	3582	15827
nuclear-Ath-AlaTGC-171747	43245	22589	115834
nuclear-Ath-AlaTGC-171751	5678	2785	13057
nuclear-Ath-ArgACG-171679	1189	433	469
nuclear-Ath-ArgACG-171680	6936	1719	1858
nuclear-Ath-ArgACG-171681	2699	1406	771
nuclear-Ath-ArgACG-171682	6433	2937	1791
nuclear-Ath-ArgACG-171683	4280	1300	1598
nuclear-Ath-ArgACG-171772	3621	1337	2367
nuclear-Ath-ArgCCG-171678	20510	5601	7207
nuclear-Ath-ArgCCG-171686	1139	295	856
nuclear-Ath-ArgCCG-183763	654	244	405
nuclear-Ath-ArgCCT-171715	726	255	342
nuclear-Ath-ArgCCT-171716	10295	3220	4337
nuclear-Ath-ArgCCT-171719	2747	1228	2290
nuclear-Ath-ArgTCG-171676	16239	6242	7550
nuclear-Ath-ArgTCG-171677	18946	7711	8060
nuclear-Ath-ArgTCT-171693	2675	360	1513
nuclear-Ath-ArgTCT-171694	9038	1025	5678
nuclear-Ath-ArgTCT-171695	6818	865	3745
nuclear-Ath-ArgTCT-171696	2194	263	1363
nuclear-Ath-ArgTCT-171714	4064	547	1291
nuclear-Ath-ArgTCT-171717	1940	269	765
nuclear-Ath-ArgTCT-183731	0	0	0
nuclear-Ath-AsnGTT-171725	768	268	580
nuclear-Ath-AsnGTT-171727	16281	4942	13617
nuclear-Ath-AsnGTT-171729	12286	3170	8117
nuclear-Ath-AsnGTT-183736	2118	601	1397
nuclear-Ath-AsnGTT-183737	0	0	4
nuclear-Ath-AsnGTT-183738	4638	1534	3892
nuclear-Ath-AsnGTT-183739	2233	590	1521
nuclear-Ath-AspGTC-171804	72532	26151	22298
nuclear-Ath-AspGTC-183754	0	0	0
nuclear-Ath-AspGTC-183755	0	0	0
nuclear-Ath-AspGTC-183756	9	1	6
nuclear-Ath-AspGTC-183757	18	5	9
nuclear-Ath-CysGCA-171684	1477	128	160
nuclear-Ath-CysGCA-171742	296	86	118
nuclear-Ath-CysGCA-171756	674	156	209
nuclear-Ath-CysGCA-171757	267	42	82
nuclear-Ath-CysGCA-171758	2814	406	745
nuclear-Ath-CysGCA-171759	546	95	141
nuclear-Ath-CysGCA-171762	65	23	35
nuclear-Ath-CysGCA-183716	0	0	6
nuclear-Ath-CysGCA-183742	691	131	142
nuclear-Ath-CysGCA-183745	4	0	3
nuclear-Ath-GlnCTG-171763	3236	411	525
nuclear-Ath-GlnCTG-171765	1078	147	167
nuclear-Ath-GlnCTG-171773	2141	290	352
nuclear-Ath-GlnCTG-171774	1533	254	333
nuclear-Ath-GlnCTG-171775	25540	3567	4248
nuclear-Ath-GlnTTG-171777	14483	3983	4777
nuclear-Ath-GlnTTG-183749	3355	595	715
