Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	116	12019	28605
mitochondrial-Ath-AsnGTT-183766	3269	760	1911
mitochondrial-Ath-AspGTC-171828	1763	1212	3324
mitochondrial-Ath-CysGCA-171829	1296	1772	2069
mitochondrial-Ath-GlnTTG-171830	80	39	79
mitochondrial-Ath-GluTTC-171831	384	552	1605
mitochondrial-Ath-GlyGCC-171832	512	254	808
mitochondrial-Ath-HisGTG-171833	922	658	1291
mitochondrial-Ath-IleCAT-171837	38	26	115
mitochondrial-Ath-LysTTT-171834	121	107	728
mitochondrial-Ath-ProTGG-171838	259	121	264
mitochondrial-Ath-SerGCT-171840	200	72	271
mitochondrial-Ath-SerGGA-171839	38	19	83
mitochondrial-Ath-SerTGA-171841	287	99	241
mitochondrial-Ath-TrpCCA-171842	4412	3134	6528
mitochondrial-Ath-TyrGTA-171843	1	20	36
mitochondrial-Ath-TyrGTA-171844	204	134	783
mitochondrial-Ath-eMetCAT-171836	143	80	100
mitochondrial-Ath-iMetCAT-171835	109	19	70
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	1	0
mitochondrial-Ath-stemloop-309033	0	4	6
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	2	11	20
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	3253	4105	32804
nuclear-Ath-AlaAGC-171749	9208	12371	106841
nuclear-Ath-AlaAGC-183743	3236	4226	29005
nuclear-Ath-AlaCGC-171750	1639	1817	19809
nuclear-Ath-AlaCGC-171752	3139	4206	34807
nuclear-Ath-AlaCGC-183744	1362	1703	12684
nuclear-Ath-AlaTGC-171747	8788	11901	108279
nuclear-Ath-AlaTGC-171751	1404	1750	14985
nuclear-Ath-ArgACG-171679	509	364	907
nuclear-Ath-ArgACG-171680	2949	2135	5238
nuclear-Ath-ArgACG-171681	1344	1080	1881
nuclear-Ath-ArgACG-171682	3291	2491	4731
nuclear-Ath-ArgACG-171683	1615	1481	4742
nuclear-Ath-ArgACG-171772	1133	1246	4307
nuclear-Ath-ArgCCG-171678	8700	5831	11482
nuclear-Ath-ArgCCG-171686	357	310	1334
nuclear-Ath-ArgCCG-183763	184	162	485
nuclear-Ath-ArgCCT-171715	483	508	1113
nuclear-Ath-ArgCCT-171716	6070	5519	14476
nuclear-Ath-ArgCCT-171719	1149	1391	4660
nuclear-Ath-ArgTCG-171676	5365	6367	15270
nuclear-Ath-ArgTCG-171677	5474	6162	12916
nuclear-Ath-ArgTCT-171693	1023	625	3711
nuclear-Ath-ArgTCT-171694	3519	1799	13259
nuclear-Ath-ArgTCT-171695	2916	1345	8217
nuclear-Ath-ArgTCT-171696	884	429	2811
nuclear-Ath-ArgTCT-171714	1918	927	2906
nuclear-Ath-ArgTCT-171717	850	459	1627
nuclear-Ath-ArgTCT-183731	5	3	12
nuclear-Ath-AsnGTT-171725	360	305	1067
nuclear-Ath-AsnGTT-171727	4652	3535	13464
nuclear-Ath-AsnGTT-171729	5522	3923	16297
nuclear-Ath-AsnGTT-183736	737	509	1546
nuclear-Ath-AsnGTT-183737	0	0	0
nuclear-Ath-AsnGTT-183738	1178	940	3334
nuclear-Ath-AsnGTT-183739	902	587	2721
nuclear-Ath-AspGTC-171804	37759	30003	53650
nuclear-Ath-AspGTC-183754	11	6	4
nuclear-Ath-AspGTC-183755	1	1	2
nuclear-Ath-AspGTC-183756	13	6	5347
nuclear-Ath-AspGTC-183757	15	8	181
nuclear-Ath-CysGCA-171684	512	366	480
nuclear-Ath-CysGCA-171742	130	116	190
nuclear-Ath-CysGCA-171756	203	143	436
nuclear-Ath-CysGCA-171757	116	57	148
nuclear-Ath-CysGCA-171758	849	683	1339
nuclear-Ath-CysGCA-171759	205	160	235
nuclear-Ath-CysGCA-171762	70	37	105
nuclear-Ath-CysGCA-183716	0	0	17
nuclear-Ath-CysGCA-183742	281	216	328
nuclear-Ath-CysGCA-183745	49	23	51
nuclear-Ath-GlnCTG-171763	1322	921	1733
nuclear-Ath-GlnCTG-171765	547	457	926
nuclear-Ath-GlnCTG-171773	989	910	1635
nuclear-Ath-GlnCTG-171774	741	732	1242
nuclear-Ath-GlnCTG-171775	7974	7054	11135
nuclear-Ath-GlnTTG-171777	4942	7026	17858
nuclear-Ath-GlnTTG-183749	1816	2254	4693
nuclear-Ath-GluCTC-171821	2499	892	2284
nuclear-Ath-GluCTC-171824	6188	2483	5659
nuclear-Ath-GluCTC-171825	1027	366	834
nuclear-Ath-GluCTC-183765	34	6	32
nuclear-Ath-GluTTC-171820	9341	4347	12735
nuclear-Ath-GluTTC-171822	1683	724	2046
nuclear-Ath-GluTTC-171826	516	270	876
nuclear-Ath-GluTTC-183764	440	203	901
nuclear-Ath-GlyCCC-171713	7694	6798	23196
nuclear-Ath-GlyGCC-171688	892	578	1809
nuclear-Ath-GlyGCC-171690	3397	1567	6221
nuclear-Ath-GlyGCC-171691	25929	15380	58794
nuclear-Ath-GlyGCC-171692	116	89	224
nuclear-Ath-GlyGCC-183730	7	29	80
nuclear-Ath-GlyTCC-171720	5578	6405	28370
nuclear-Ath-HisGTG-171768	2324	2819	9210
nuclear-Ath-HisGTG-171770	484	570	1471
nuclear-Ath-HisGTG-183747	1008	1105	3028
nuclear-Ath-HisGTG-183748	601	664	2118
nuclear-Ath-IleAAT-171735	6500	6035	35416
nuclear-Ath-IleAAT-171736	6682	7168	43866
nuclear-Ath-IleTAT-171721	262	281	1122
nuclear-Ath-IleTAT-171764	453	443	1583
nuclear-Ath-LeuAAG-171816	9705	7589	35287
nuclear-Ath-LeuAAG-171817	9816	7816	35238
nuclear-Ath-LeuCAA-171786	2276	1863	5940
nuclear-Ath-LeuCAA-171787	1707	1165	4601
nuclear-Ath-LeuCAA-171789	2721	1714	7078
nuclear-Ath-LeuCAA-171790	2727	1638	6203
nuclear-Ath-LeuCAA-183751	261	224	654
nuclear-Ath-LeuCAG-171781	3652	2691	9174
nuclear-Ath-LeuTAA-171698	1834	1438	4164
nuclear-Ath-LeuTAA-171699	1973	1482	4570
nuclear-Ath-LeuTAA-171791	1009	972	2218
nuclear-Ath-LeuTAG-171673	5194	5383	34766
nuclear-Ath-LeuTAG-171675	5900	6679	33020
nuclear-Ath-LeuTAG-171685	4789	5136	29223
nuclear-Ath-LysCTT-171703	2626	1767	4107
nuclear-Ath-LysCTT-171704	30932	20257	35525
nuclear-Ath-LysCTT-183733	1093	655	941
nuclear-Ath-LysTTT-171707	1171	465	1110
nuclear-Ath-LysTTT-171712	160	78	153
nuclear-Ath-LysTTT-183734	1238	529	1140
nuclear-Ath-LysTTT-183735	0	2	7
nuclear-Ath-PheGAA-171718	4768	5938	19133
nuclear-Ath-ProAGG-171737	5130	2104	6423
nuclear-Ath-ProAGG-171738	1473	488	1344
nuclear-Ath-ProAGG-171743	4595	1896	4777
nuclear-Ath-ProCGG-171739	32	15	87
nuclear-Ath-ProCGG-171760	1909	1051	6570
nuclear-Ath-ProCGG-171761	2802	1510	9527
nuclear-Ath-ProTGG-171741	2751	1423	6336
nuclear-Ath-ProTGG-171744	7429	4022	14185
nuclear-Ath-ProTGG-183741	22	3	158
nuclear-Ath-SerAGA-171812	468	550	7614
nuclear-Ath-SerAGA-171813	2383	2307	24529
nuclear-Ath-SerAGA-171814	2	4	51
nuclear-Ath-SerAGA-171815	42	43	267
nuclear-Ath-SerAGA-183750	731	474	1363
nuclear-Ath-SerAGA-183759	637	705	6168
nuclear-Ath-SerAGA-183760	0	0	0
nuclear-Ath-SerAGA-183761	0	0	2
nuclear-Ath-SerAGA-183762	188	140	979
nuclear-Ath-SerCGA-171782	234	334	1376
nuclear-Ath-SerCGA-171785	1044	1172	4076
nuclear-Ath-SerCGA-171794	770	905	2731
nuclear-Ath-SerGCT-171796	947	689	1510
nuclear-Ath-SerGCT-171797	3370	2671	6450
nuclear-Ath-SerGCT-171798	4673	3275	6823
nuclear-Ath-SerGCT-171800	1003	707	1494
nuclear-Ath-SerGCT-183728	809	492	1333
nuclear-Ath-SerGCT-183752	661	486	1106
nuclear-Ath-SerGCT-183753	11	4	8
nuclear-Ath-SerTGA-171783	382	542	1424
nuclear-Ath-SerTGA-171784	201	256	1011
nuclear-Ath-SerTGA-171792	888	1587	5029
nuclear-Ath-SerTGA-171793	365	535	1590
nuclear-Ath-ThrAGT-171722	1228	1133	3405
nuclear-Ath-ThrAGT-171723	2087	1453	4408
nuclear-Ath-ThrAGT-171731	2055	1516	5483
nuclear-Ath-ThrCGT-171709	6877	7479	5861
nuclear-Ath-ThrCGT-171710	2189	2044	2288
nuclear-Ath-ThrCGT-171711	666	808	682
nuclear-Ath-ThrTGT-171700	8078	6563	15605
nuclear-Ath-ThrTGT-171705	975	779	2370
nuclear-Ath-ThrTGT-183732	379	323	809
nuclear-Ath-TrpCCA-171732	15694	23191	132927
nuclear-Ath-TrpCCA-171734	13402	20221	111508
nuclear-Ath-TrpCCA-183740	157	142	605
nuclear-Ath-TyrGTA-171663	26666	9765	27932
nuclear-Ath-TyrGTA-171666	10	18	56
nuclear-Ath-TyrGTA-171668	0	0	38
nuclear-Ath-TyrGTA-183718	0	0	0
nuclear-Ath-TyrGTA-183719	3748	1318	3458
nuclear-Ath-TyrGTA-183720	0	0	69
nuclear-Ath-TyrGTA-183721	0	0	0
nuclear-Ath-TyrGTA-183722	0	0	1
nuclear-Ath-TyrGTA-183723	0	0	23
nuclear-Ath-TyrGTA-183724	2	0	29
nuclear-Ath-TyrGTA-183725	0	0	25
nuclear-Ath-TyrGTA-183726	0	0	1
nuclear-Ath-TyrGTA-183727	0	0	1
nuclear-Ath-ValAAC-171778	158	161	4219
nuclear-Ath-ValAAC-171779	2547	3157	25182
nuclear-Ath-ValCAC-171807	850	873	4071
nuclear-Ath-ValCAC-183758	644	656	2850
nuclear-Ath-ValTAC-171767	3678	2953	29416
nuclear-Ath-ValTAC-183729	204	216	1064
nuclear-Ath-ValTAC-183746	226	158	2082
nuclear-Ath-eMetCAT-171754	6045	6142	45584
nuclear-Ath-iMetCAT-171655	114	110	380
nuclear-Ath-iMetCAT-171658	31	24	130
nuclear-Ath-iMetCAT-171659	429	445	1931
nuclear-Ath-iMetCAT-183717	0	0	3
plastid-Ath-AlaTGC-171845	17200	18694	93468
plastid-Ath-ArgACG-171847	11673	10452	37563
plastid-Ath-ArgTCT-171846	3593	1815	4311
plastid-Ath-AsnGTT-171848	20556	5133	11992
plastid-Ath-AspGTC-171849	11777	10609	34310
plastid-Ath-CysGCA-171850	6015	2318	5142
plastid-Ath-GlnTTG-171851	9182	4011	14367
plastid-Ath-GluTTC-171852	36718	14830	46790
plastid-Ath-GlyGCC-171853	5027	1764	8325
plastid-Ath-GlyTCC-171854	6542	2485	5951
plastid-Ath-HisGTG-171855	28498	17006	26848
plastid-Ath-IleCAT-171856	3019	2157	32098
plastid-Ath-IleGAT-171857	12906	12250	44696
plastid-Ath-LeuCAA-171859	6024	3851	11400
plastid-Ath-LeuTAA-171860	3829	2533	18527
plastid-Ath-LeuTAG-171858	10670	4764	8535
plastid-Ath-LysTTT-171861	1666	1303	4362
