Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	116	12019	28605
mitochondrial-Ath-AsnGTT-183766	3250	756	1777
mitochondrial-Ath-AspGTC-171828	540	420	1414
mitochondrial-Ath-CysGCA-171829	1296	1772	2069
mitochondrial-Ath-GlnTTG-171830	80	39	79
mitochondrial-Ath-GluTTC-171831	384	552	1605
mitochondrial-Ath-GlyGCC-171832	512	254	808
mitochondrial-Ath-HisGTG-171833	922	658	1291
mitochondrial-Ath-IleCAT-171837	38	26	115
mitochondrial-Ath-LysTTT-171834	121	107	728
mitochondrial-Ath-ProTGG-171838	259	121	264
mitochondrial-Ath-SerGCT-171840	200	72	271
mitochondrial-Ath-SerGGA-171839	34	17	77
mitochondrial-Ath-SerTGA-171841	287	99	241
mitochondrial-Ath-TrpCCA-171842	26	16	61
mitochondrial-Ath-TyrGTA-171843	1	20	36
mitochondrial-Ath-TyrGTA-171844	204	134	783
mitochondrial-Ath-eMetCAT-171836	138	78	99
mitochondrial-Ath-iMetCAT-171835	109	19	70
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	1	0
mitochondrial-Ath-stemloop-309033	0	4	6
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	2	11	20
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	3246	4102	32747
nuclear-Ath-AlaAGC-171749	6632	8934	87594
nuclear-Ath-AlaAGC-183743	691	786	9385
nuclear-Ath-AlaCGC-171750	1541	1693	18673
nuclear-Ath-AlaCGC-171752	3083	4165	34636
nuclear-Ath-AlaCGC-183744	1293	1662	12535
nuclear-Ath-AlaTGC-171747	8707	11762	107109
nuclear-Ath-AlaTGC-171751	1404	1750	14974
nuclear-Ath-ArgACG-171679	508	363	899
nuclear-Ath-ArgACG-171680	2946	2133	5227
nuclear-Ath-ArgACG-171681	1338	1077	1876
nuclear-Ath-ArgACG-171682	3287	2490	4726
nuclear-Ath-ArgACG-171683	1615	1478	4732
nuclear-Ath-ArgACG-171772	1129	1238	4298
nuclear-Ath-ArgCCG-171678	8700	5831	11482
nuclear-Ath-ArgCCG-171686	357	310	1334
nuclear-Ath-ArgCCG-183763	184	162	485
nuclear-Ath-ArgCCT-171715	483	508	1109
nuclear-Ath-ArgCCT-171716	6068	5511	14402
nuclear-Ath-ArgCCT-171719	1145	1387	4592
nuclear-Ath-ArgTCG-171676	5353	6362	15262
nuclear-Ath-ArgTCG-171677	5467	6154	12905
nuclear-Ath-ArgTCT-171693	852	542	3079
nuclear-Ath-ArgTCT-171694	3352	1718	12560
nuclear-Ath-ArgTCT-171695	2860	1320	8072
nuclear-Ath-ArgTCT-171696	844	399	2646
nuclear-Ath-ArgTCT-171714	1912	926	2893
nuclear-Ath-ArgTCT-171717	850	459	1627
nuclear-Ath-ArgTCT-183731	2	2	2
nuclear-Ath-AsnGTT-171725	341	295	1030
nuclear-Ath-AsnGTT-171727	4591	3481	13294
nuclear-Ath-AsnGTT-171729	5522	3922	16266
nuclear-Ath-AsnGTT-183736	728	507	1526
nuclear-Ath-AsnGTT-183737	0	0	0
nuclear-Ath-AsnGTT-183738	1117	886	3149
nuclear-Ath-AsnGTT-183739	902	586	2692
nuclear-Ath-AspGTC-171804	37737	29997	48854
nuclear-Ath-AspGTC-183754	1	0	0
nuclear-Ath-AspGTC-183755	0	0	1
nuclear-Ath-AspGTC-183756	6	5	18
nuclear-Ath-AspGTC-183757	11	6	10
nuclear-Ath-CysGCA-171684	512	366	478
nuclear-Ath-CysGCA-171742	128	115	185
nuclear-Ath-CysGCA-171756	156	111	379
nuclear-Ath-CysGCA-171757	116	57	147
nuclear-Ath-CysGCA-171758	849	682	1332
nuclear-Ath-CysGCA-171759	205	160	234
nuclear-Ath-CysGCA-171762	25	14	57
nuclear-Ath-CysGCA-183716	0	0	12
nuclear-Ath-CysGCA-183742	281	216	326
nuclear-Ath-CysGCA-183745	0	2	2
nuclear-Ath-GlnCTG-171763	1319	915	1719
nuclear-Ath-GlnCTG-171765	545	455	913
nuclear-Ath-GlnCTG-171773	989	908	1635
nuclear-Ath-GlnCTG-171774	736	729	1235
nuclear-Ath-GlnCTG-171775	7969	7051	11131
nuclear-Ath-GlnTTG-171777	4942	7025	17858
nuclear-Ath-GlnTTG-183749	1816	2254	4692
nuclear-Ath-GluCTC-171821	2490	891	2278
nuclear-Ath-GluCTC-171824	6038	2441	5532
nuclear-Ath-GluCTC-171825	881	321	753
nuclear-Ath-GluCTC-183765	5	0	4
nuclear-Ath-GluTTC-171820	9329	4342	12725
nuclear-Ath-GluTTC-171822	1677	720	2041
nuclear-Ath-GluTTC-171826	505	262	852
nuclear-Ath-GluTTC-183764	436	203	892
nuclear-Ath-GlyCCC-171713	7694	6798	23196
nuclear-Ath-GlyGCC-171688	838	540	1680
nuclear-Ath-GlyGCC-171690	931	494	1784
nuclear-Ath-GlyGCC-171691	23384	14282	54436
nuclear-Ath-GlyGCC-171692	51	30	81
nuclear-Ath-GlyGCC-183730	7	29	61
nuclear-Ath-GlyTCC-171720	5578	6405	28370
nuclear-Ath-HisGTG-171768	2197	2684	8989
nuclear-Ath-HisGTG-171770	364	449	1235
nuclear-Ath-HisGTG-183747	1008	1104	3026
nuclear-Ath-HisGTG-183748	601	664	2118
nuclear-Ath-IleAAT-171735	6500	6035	35415
nuclear-Ath-IleAAT-171736	6682	7168	43862
nuclear-Ath-IleTAT-171721	262	280	1122
nuclear-Ath-IleTAT-171764	453	443	1579
nuclear-Ath-LeuAAG-171816	351	297	1212
nuclear-Ath-LeuAAG-171817	476	438	1474
nuclear-Ath-LeuCAA-171786	2274	1862	5921
nuclear-Ath-LeuCAA-171787	1701	1164	4588
nuclear-Ath-LeuCAA-171789	2717	1712	7058
nuclear-Ath-LeuCAA-171790	2724	1638	6195
nuclear-Ath-LeuCAA-183751	260	222	645
nuclear-Ath-LeuCAG-171781	3649	2690	9161
nuclear-Ath-LeuTAA-171698	507	505	1010
nuclear-Ath-LeuTAA-171699	690	554	1504
nuclear-Ath-LeuTAA-171791	1009	972	2218
nuclear-Ath-LeuTAG-171673	5189	5378	34751
nuclear-Ath-LeuTAG-171675	1404	1729	5311
nuclear-Ath-LeuTAG-171685	197	273	1413
nuclear-Ath-LysCTT-171703	1178	787	1934
nuclear-Ath-LysCTT-171704	28595	18671	32582
nuclear-Ath-LysCTT-183733	145	97	141
nuclear-Ath-LysTTT-171707	12	5	28
nuclear-Ath-LysTTT-171712	160	78	152
nuclear-Ath-LysTTT-183734	7	2	8
nuclear-Ath-LysTTT-183735	0	1	4
nuclear-Ath-PheGAA-171718	4768	5938	19133
nuclear-Ath-ProAGG-171737	5024	2069	6264
nuclear-Ath-ProAGG-171738	1470	488	1327
nuclear-Ath-ProAGG-171743	4497	1850	4548
nuclear-Ath-ProCGG-171739	29	11	67
nuclear-Ath-ProCGG-171760	1908	1051	6569
nuclear-Ath-ProCGG-171761	2784	1507	9502
nuclear-Ath-ProTGG-171741	2656	1384	6018
nuclear-Ath-ProTGG-171744	7330	3964	13932
nuclear-Ath-ProTGG-183741	0	0	0
nuclear-Ath-SerAGA-171812	465	547	7474
nuclear-Ath-SerAGA-171813	1706	1561	18067
nuclear-Ath-SerAGA-171814	1	3	15
nuclear-Ath-SerAGA-171815	41	43	248
nuclear-Ath-SerAGA-183750	731	473	1356
nuclear-Ath-SerAGA-183759	4	0	6
nuclear-Ath-SerAGA-183760	0	0	0
nuclear-Ath-SerAGA-183761	0	0	0
nuclear-Ath-SerAGA-183762	27	22	151
nuclear-Ath-SerCGA-171782	234	334	1375
nuclear-Ath-SerCGA-171785	1042	1172	4058
nuclear-Ath-SerCGA-171794	770	904	2717
nuclear-Ath-SerGCT-171796	939	683	1501
nuclear-Ath-SerGCT-171797	3370	2671	6450
nuclear-Ath-SerGCT-171798	4641	3247	6781
nuclear-Ath-SerGCT-171800	979	691	1467
nuclear-Ath-SerGCT-183728	809	492	1329
nuclear-Ath-SerGCT-183752	652	481	1102
nuclear-Ath-SerGCT-183753	0	0	0
nuclear-Ath-SerTGA-171783	381	541	1416
nuclear-Ath-SerTGA-171784	198	256	999
nuclear-Ath-SerTGA-171792	884	1586	5022
nuclear-Ath-SerTGA-171793	357	533	1575
nuclear-Ath-ThrAGT-171722	1222	1131	3350
nuclear-Ath-ThrAGT-171723	2087	1452	4362
nuclear-Ath-ThrAGT-171731	2048	1512	5477
nuclear-Ath-ThrCGT-171709	6872	7475	5845
nuclear-Ath-ThrCGT-171710	2189	2044	2286
nuclear-Ath-ThrCGT-171711	662	803	673
nuclear-Ath-ThrTGT-171700	7646	6220	14788
nuclear-Ath-ThrTGT-171705	930	753	2328
nuclear-Ath-ThrTGT-183732	9	7	26
nuclear-Ath-TrpCCA-171732	2193	3284	24011
nuclear-Ath-TrpCCA-171734	102	122	853
nuclear-Ath-TrpCCA-183740	92	75	314
nuclear-Ath-TyrGTA-171663	24142	8899	25802
nuclear-Ath-TyrGTA-171666	8	17	29
nuclear-Ath-TyrGTA-171668	0	0	0
nuclear-Ath-TyrGTA-183718	0	0	0
nuclear-Ath-TyrGTA-183719	1183	420	1245
nuclear-Ath-TyrGTA-183720	0	0	2
nuclear-Ath-TyrGTA-183721	0	0	0
nuclear-Ath-TyrGTA-183722	0	0	0
nuclear-Ath-TyrGTA-183723	0	0	0
nuclear-Ath-TyrGTA-183724	0	0	0
nuclear-Ath-TyrGTA-183725	0	0	0
nuclear-Ath-TyrGTA-183726	0	0	0
nuclear-Ath-TyrGTA-183727	0	0	0
nuclear-Ath-ValAAC-171778	114	112	442
nuclear-Ath-ValAAC-171779	2508	3108	21461
nuclear-Ath-ValCAC-171807	306	312	1635
nuclear-Ath-ValCAC-183758	96	99	441
nuclear-Ath-ValTAC-171767	3559	2855	28283
