BioRep,Genome,Isodecoder,CCA,CC
1,Mitochondrial,AsnGTT,10181,2859
1,Mitochondrial,AspGTC,775,423
1,Mitochondrial,CysGCA,8269,5779
1,Mitochondrial,GlnTTG,252,149
1,Mitochondrial,GluTTC,1033,1042
1,Mitochondrial,GlyGCC,2740,1257
1,Mitochondrial,HisGTG,2262,1378
1,Mitochondrial,IleCAT,170,168
1,Mitochondrial,LysTTT,276,257
1,Mitochondrial,Met(e)CAT,205,146
1,Mitochondrial,Met(i)CAT,224,71
1,Mitochondrial,ProTGG,569,178
1,Mitochondrial,SerGCT,903,295
1,Mitochondrial,SerGGA,49,12
1,Mitochondrial,SerTGA,774,297
1,Mitochondrial,TrpCCA,32,19
1,Mitochondrial,TyrGTA,975,750
1,Nuclear,AlaAGC,76441,92718
1,Nuclear,AlaCGC,21412,22964
1,Nuclear,AlaTGC,43149,51024
1,Nuclear,ArgACG,39522,32256
1,Nuclear,ArgCCG,53378,29546
1,Nuclear,ArgCCT,47615,39159
1,Nuclear,ArgTCG,63598,61717
1,Nuclear,ArgTCT,35819,18563
1,Nuclear,AsnGTT,39089,27391
1,Nuclear,AspGTC,126139,79411
1,Nuclear,CysGCA,11450,6058
1,Nuclear,GlnCTG,19371,13872
1,Nuclear,GlnTTG,15027,14464
1,Nuclear,GluCTC,13788,5288
1,Nuclear,GluTTC,27991,13229
1,Nuclear,GlyCCC,34844,32080
1,Nuclear,GlyGCC,106570,68454
1,Nuclear,GlyTCC,9938,10845
1,Nuclear,HisGTG,17122,19800
1,Nuclear,IleAAT,54473,66467
1,Nuclear,IleTAT,3047,2796
1,Nuclear,LeuAAG,57463,41005
1,Nuclear,LeuCAA,22559,17036
1,Nuclear,LeuCAG,15388,12647
1,Nuclear,LeuTAA,13069,9779
1,Nuclear,LeuTAG,44276,48739
1,Nuclear,LysCTT,85604,41542
1,Nuclear,LysTTT,73204,29040
1,Nuclear,Met(e)CAT,23172,25485
1,Nuclear,Met(i)CAT,1061,899
1,Nuclear,PheGAA,48715,47659
1,Nuclear,ProAGG,11207,4552
1,Nuclear,ProCGG,8116,4355
1,Nuclear,ProTGG,11950,6442
1,Nuclear,SerAGA,20464,16090
1,Nuclear,SerCGA,8026,8371
1,Nuclear,SerGCT,35749,23604
1,Nuclear,SerTGA,6603,8687
1,Nuclear,ThrAGT,10099,8034
1,Nuclear,ThrCGT,19675,17463
1,Nuclear,ThrTGT,33368,26804
1,Nuclear,TrpCCA,133862,206953
1,Nuclear,TyrGTA,145031,54951
1,Nuclear,ValAAC,7473,9955
1,Nuclear,ValCAC,5848,7182
1,Nuclear,ValTAC,13481,13392
1,Plastid,AlaTGC,26332,23132
1,Plastid,ArgACG,52997,48923
1,Plastid,ArgTCT,12343,8925
1,Plastid,AsnGTT,78684,24145
1,Plastid,AspGTC,12755,7780
1,Plastid,CysGCA,18795,6347
1,Plastid,GlnTTG,53985,24139
1,Plastid,GluTTC,52488,23536
1,Plastid,GlyGCC,4099,1179
1,Plastid,GlyTCC,12613,4561
1,Plastid,HisGTG,58672,30493
1,Plastid,IleCAT,11655,11444
1,Plastid,IleGAT,12147,13312
1,Plastid,LeuCAA,12736,8492
1,Plastid,LeuTAA,3248,2332
1,Plastid,LeuTAG,25170,10324
1,Plastid,LysTTT,6185,5381
1,Plastid,Met(e)CAT,5181,3992
1,Plastid,Met(i)CAT,2304,921
1,Plastid,PheGAA,30781,16348
1,Plastid,ProTGG,3442,2565
1,Plastid,SerGCT,6642,2133
1,Plastid,SerGGA,6557,2688
1,Plastid,SerTGA,8306,3232
1,Plastid,ThrGGT,16313,7680
1,Plastid,ThrTGT,12954,5350
1,Plastid,TrpCCA,2422,1814
1,Plastid,TyrGTA,71492,41979
1,Plastid,ValGAC,3340,1872
1,Plastid,ValTAC,8511,5917
2,Mitochondrial,AsnGTT,46235,13996
2,Mitochondrial,AspGTC,6164,4352
2,Mitochondrial,CysGCA,25872,17896
2,Mitochondrial,GlnTTG,1561,714
2,Mitochondrial,GluTTC,4443,5962
2,Mitochondrial,GlyGCC,9246,4375
2,Mitochondrial,HisGTG,13970,8126
2,Mitochondrial,IleCAT,951,574
2,Mitochondrial,LysTTT,1601,1371
2,Mitochondrial,Met(e)CAT,1672,1051
2,Mitochondrial,Met(i)CAT,909,200
2,Mitochondrial,ProTGG,2105,779
2,Mitochondrial,SerGCT,4294,1356
2,Mitochondrial,SerGGA,231,196
2,Mitochondrial,SerTGA,5369,1915
2,Mitochondrial,TrpCCA,67486,47747
2,Mitochondrial,TyrGTA,5934,3753
2,Nuclear,AlaAGC,217449,282764
2,Nuclear,AlaCGC,78867,93331
2,Nuclear,AlaTGC,137931,178861
2,Nuclear,ArgACG,159230,137334
2,Nuclear,ArgCCG,173713,104249
2,Nuclear,ArgCCT,162383,148288
2,Nuclear,ArgTCG,184330,200897
2,Nuclear,ArgTCT,164606,80558
2,Nuclear,AsnGTT,190991,149957
2,Nuclear,AspGTC,705312,488418
2,Nuclear,CysGCA,47359,25919
2,Nuclear,GlnCTG,174854,125512
2,Nuclear,GlnTTG,98656,112405
2,Nuclear,GluCTC,122935,48100
2,Nuclear,GluTTC,187327,98604
2,Nuclear,GlyCCC,105685,95051
2,Nuclear,GlyGCC,521138,315221
2,Nuclear,GlyTCC,74571,88781
2,Nuclear,HisGTG,64183,72897
2,Nuclear,IleAAT,214134,269822
2,Nuclear,IleTAT,14397,14425
2,Nuclear,LeuAAG,247493,184360
2,Nuclear,LeuCAA,118086,96415
2,Nuclear,LeuCAG,54674,44869
2,Nuclear,LeuTAA,58686,48003
2,Nuclear,LeuTAG,200013,239870
2,Nuclear,LysCTT,437184,272096
2,Nuclear,LysTTT,144427,64378
2,Nuclear,Met(e)CAT,95924,107417
2,Nuclear,Met(i)CAT,5020,4258
2,Nuclear,PheGAA,128726,131869
2,Nuclear,ProAGG,124785,46683
2,Nuclear,ProCGG,59109,29240
2,Nuclear,ProTGG,116335,56975
2,Nuclear,SerAGA,62420,62027
2,Nuclear,SerCGA,29117,34308
2,Nuclear,SerGCT,141048,105322
2,Nuclear,SerTGA,24172,37756
2,Nuclear,ThrAGT,65331,59450
2,Nuclear,ThrCGT,139388,133866
2,Nuclear,ThrTGT,158631,138363
2,Nuclear,TrpCCA,377733,636792
2,Nuclear,TyrGTA,494217,191180
2,Nuclear,ValAAC,36069,51354
2,Nuclear,ValCAC,26405,31959
2,Nuclear,ValTAC,53113,52247
2,Plastid,AlaTGC,203492,189598
2,Plastid,ArgACG,173346,169770
2,Plastid,ArgTCT,65053,39501
2,Plastid,AsnGTT,308720,95233
2,Plastid,AspGTC,123415,89237
2,Plastid,CysGCA,117084,38417
2,Plastid,GlnTTG,137805,60024
2,Plastid,GluTTC,420972,186917
2,Plastid,GlyGCC,63190,18030
2,Plastid,GlyTCC,85857,33737
2,Plastid,HisGTG,411185,208339
2,Plastid,IleCAT,57520,49626
2,Plastid,IleGAT,155898,170382
2,Plastid,LeuCAA,86438,61055
2,Plastid,LeuTAA,54454,36824
2,Plastid,LeuTAG,155991,68438
2,Plastid,LysTTT,28200,23851
2,Plastid,Met(e)CAT,40984,28656
2,Plastid,Met(i)CAT,13645,5959
2,Plastid,PheGAA,101864,51467
2,Plastid,ProTGG,32216,19260
2,Plastid,SerGCT,49110,14530
2,Plastid,SerGGA,61188,24763
2,Plastid,SerTGA,102049,33906
2,Plastid,ThrGGT,127980,59814
2,Plastid,ThrTGT,79593,32974
2,Plastid,TrpCCA,14059,10241
2,Plastid,TyrGTA,290267,161696
2,Plastid,ValGAC,11580,5282
2,Plastid,ValTAC,31683,20627
3,Mitochondrial,AsnGTT,28074,9629
3,Mitochondrial,AspGTC,4163,4640
3,Mitochondrial,CysGCA,11886,11546
3,Mitochondrial,GlnTTG,993,568
3,Mitochondrial,GluTTC,3167,5585
3,Mitochondrial,GlyGCC,3381,2515
3,Mitochondrial,HisGTG,7624,5792
3,Mitochondrial,IleCAT,432,347
3,Mitochondrial,LysTTT,1045,1050
3,Mitochondrial,Met(e)CAT,1121,714
3,Mitochondrial,Met(i)CAT,578,189
3,Mitochondrial,ProTGG,1136,430
3,Mitochondrial,SerGCT,2174,770
3,Mitochondrial,SerGGA,483,203
3,Mitochondrial,SerTGA,2830,1194
3,Mitochondrial,TrpCCA,155,120
3,Mitochondrial,TyrGTA,3003,2328
3,Nuclear,AlaAGC,99512,181452
3,Nuclear,AlaCGC,41309,71560
3,Nuclear,AlaTGC,67601,126990
3,Nuclear,ArgACG,66698,89247
3,Nuclear,ArgCCG,68531,66739
3,Nuclear,ArgCCT,62910,97526
3,Nuclear,ArgTCG,70781,131477
3,Nuclear,ArgTCT,88112,55514
3,Nuclear,AsnGTT,73166,86216
3,Nuclear,AspGTC,290487,363346
3,Nuclear,CysGCA,22304,18309
3,Nuclear,GlnCTG,110674,113519
3,Nuclear,GlnTTG,49685,96001
3,Nuclear,GluCTC,113731,60110
3,Nuclear,GluTTC,111495,78014
3,Nuclear,GlyCCC,51937,62918
