Ref_tRNA,Genome,Count_Type,Trt,Acid_Phenol,Trizol
nuclear-Ath-ValTAC-183746,Nuclear,CCA,Control,0.648126186,0.74898374
nuclear-Ath-ValTAC-183746,Nuclear,CCA,Periodate Oxidation,0.467901791,0.564698849
nuclear-Ath-ValTAC-183746,Nuclear,Non-CC/CCA,Control,0.759688598,0.755547294
nuclear-Ath-ValTAC-183746,Nuclear,Non-CC/CCA,Periodate Oxidation,0.849561987,0.846463852
nuclear-Ath-ValTAC-183729,Nuclear,CCA,Control,0.572297746,0.611827681
nuclear-Ath-ValTAC-183729,Nuclear,CCA,Periodate Oxidation,0.428976848,0.436190476
nuclear-Ath-ValTAC-183729,Nuclear,Non-CC/CCA,Control,0.664380656,0.669477744
nuclear-Ath-ValTAC-183729,Nuclear,Non-CC/CCA,Periodate Oxidation,0.748350285,0.741927511
nuclear-Ath-ValTAC-171767,Nuclear,CCA,Control,0.678987527,0.698054362
nuclear-Ath-ValTAC-171767,Nuclear,CCA,Periodate Oxidation,0.458338834,0.528190109
nuclear-Ath-ValTAC-171767,Nuclear,Non-CC/CCA,Control,0.73926128,0.74786452
nuclear-Ath-ValTAC-171767,Nuclear,Non-CC/CCA,Periodate Oxidation,0.831852319,0.823843336
nuclear-Ath-ValCAC-183758,Nuclear,CCA,Control,0.607440147,0.639863504
nuclear-Ath-ValCAC-183758,Nuclear,CCA,Periodate Oxidation,0.368808831,0.45411661
nuclear-Ath-ValCAC-183758,Nuclear,Non-CC/CCA,Control,0.533512684,0.543068438
nuclear-Ath-ValCAC-183758,Nuclear,Non-CC/CCA,Periodate Oxidation,0.71566407,0.698892274
nuclear-Ath-ValCAC-171807,Nuclear,CCA,Control,0.631037355,0.664906459
nuclear-Ath-ValCAC-171807,Nuclear,CCA,Periodate Oxidation,0.387788674,0.461475012
nuclear-Ath-ValCAC-171807,Nuclear,Non-CC/CCA,Control,0.507124093,0.525931089
nuclear-Ath-ValCAC-171807,Nuclear,Non-CC/CCA,Periodate Oxidation,0.711866957,0.706457116
nuclear-Ath-ValAAC-171779,Nuclear,CCA,Control,0.570783128,0.612632957
nuclear-Ath-ValAAC-171779,Nuclear,CCA,Periodate Oxidation,0.370314614,0.413901743
nuclear-Ath-ValAAC-171779,Nuclear,Non-CC/CCA,Control,0.717712752,0.727048423
nuclear-Ath-ValAAC-171779,Nuclear,Non-CC/CCA,Periodate Oxidation,0.825778766,0.825462785
nuclear-Ath-TyrGTA-183719,Nuclear,CCA,Control,0.857330192,0.882773813
nuclear-Ath-TyrGTA-183719,Nuclear,CCA,Periodate Oxidation,0.693905215,0.705124707
nuclear-Ath-TyrGTA-183719,Nuclear,Non-CC/CCA,Control,0.213501551,0.191022731
nuclear-Ath-TyrGTA-183719,Nuclear,Non-CC/CCA,Periodate Oxidation,0.439034652,0.429002729
nuclear-Ath-TyrGTA-171663,Nuclear,CCA,Control,0.855261536,0.88082773
nuclear-Ath-TyrGTA-171663,Nuclear,CCA,Periodate Oxidation,0.67712501,0.697244674
nuclear-Ath-TyrGTA-171663,Nuclear,Non-CC/CCA,Control,0.243710018,0.217748297
nuclear-Ath-TyrGTA-171663,Nuclear,Non-CC/CCA,Periodate Oxidation,0.473854627,0.460871892
nuclear-Ath-TrpCCA-171734,Nuclear,CCA,Control,0.748102953,0.753531822
nuclear-Ath-TrpCCA-171734,Nuclear,CCA,Periodate Oxidation,0.378185632,0.417249092
nuclear-Ath-TrpCCA-171734,Nuclear,Non-CC/CCA,Control,0.430336925,0.451455967
nuclear-Ath-TrpCCA-171734,Nuclear,Non-CC/CCA,Periodate Oxidation,0.769203267,0.765136049
nuclear-Ath-TrpCCA-171732,Nuclear,CCA,Control,0.751689647,0.758154406
nuclear-Ath-TrpCCA-171732,Nuclear,CCA,Periodate Oxidation,0.376930547,0.426542122
nuclear-Ath-TrpCCA-171732,Nuclear,Non-CC/CCA,Control,0.442908317,0.468718927
nuclear-Ath-TrpCCA-171732,Nuclear,Non-CC/CCA,Periodate Oxidation,0.776839138,0.773988286
nuclear-Ath-ThrTGT-183732,Nuclear,CCA,Control,0.698492435,0.701649849
nuclear-Ath-ThrTGT-183732,Nuclear,CCA,Periodate Oxidation,0.533295943,0.542717347
nuclear-Ath-ThrTGT-183732,Nuclear,Non-CC/CCA,Control,0.38725304,0.418437948
nuclear-Ath-ThrTGT-183732,Nuclear,Non-CC/CCA,Periodate Oxidation,0.515940145,0.546751998
nuclear-Ath-ThrTGT-171705,Nuclear,CCA,Control,0.7053131,0.71742999
nuclear-Ath-ThrTGT-171705,Nuclear,CCA,Periodate Oxidation,0.53490917,0.565188515
nuclear-Ath-ThrTGT-171705,Nuclear,Non-CC/CCA,Control,0.419553876,0.440564127
nuclear-Ath-ThrTGT-171705,Nuclear,Non-CC/CCA,Periodate Oxidation,0.5719416,0.581673653
nuclear-Ath-ThrTGT-171700,Nuclear,CCA,Control,0.690716114,0.704934375
nuclear-Ath-ThrTGT-171700,Nuclear,CCA,Periodate Oxidation,0.51769728,0.546290266
nuclear-Ath-ThrTGT-171700,Nuclear,Non-CC/CCA,Control,0.358960399,0.373735657
nuclear-Ath-ThrTGT-171700,Nuclear,Non-CC/CCA,Periodate Oxidation,0.518292585,0.530091287
nuclear-Ath-ThrCGT-171711,Nuclear,CCA,Control,0.751222228,0.751677668
nuclear-Ath-ThrCGT-171711,Nuclear,CCA,Periodate Oxidation,0.390044729,0.425956994
nuclear-Ath-ThrCGT-171711,Nuclear,Non-CC/CCA,Control,0.15815479,0.187125637
