File	Type	IsoDecoder	SprinzlPos	TPM
MSR_At1c.start_pos.txt	Control	AsnGTT	1	8408.6593796506
MSR_At1c.start_pos.txt	Control	AsnGTT	2	25.6585072613576
MSR_At1c.start_pos.txt	Control	AsnGTT	3	32.9895093360311
MSR_At1c.start_pos.txt	Control	AsnGTT	4	18.327505186684
MSR_At1c.start_pos.txt	Control	AsnGTT	5	10.9965031120104
MSR_At1c.start_pos.txt	Control	AsnGTT	8	7.33100207467359
MSR_At1c.start_pos.txt	Control	AsnGTT	10	18.327505186684
MSR_At1c.start_pos.txt	Control	AsnGTT	11	3.66550103733679
MSR_At1c.start_pos.txt	Control	AsnGTT	14	10.9965031120104
MSR_At1c.start_pos.txt	Control	AsnGTT	15	7.33100207467359
MSR_At1c.start_pos.txt	Control	AsnGTT	18	43.9860124480415
MSR_At1c.start_pos.txt	Control	AsnGTT	19	10.9965031120104
MSR_At1c.start_pos.txt	Control	AsnGTT	20	21.9930062240208
MSR_At1c.start_pos.txt	Control	AsnGTT	21	29.3240082986943
MSR_At1c.start_pos.txt	Control	AsnGTT	22	25.6585072613576
MSR_At1c.start_pos.txt	Control	AsnGTT	23	21.9930062240208
MSR_At1c.start_pos.txt	Control	AsnGTT	26	619.469675309918
MSR_At1c.start_pos.txt	Control	AsnGTT	27	9915.18030599603
MSR_At1c.start_pos.txt	Control	AsnGTT	28	120.961534232114
MSR_At1c.start_pos.txt	Control	AsnGTT	29	32.9895093360311
MSR_At1c.start_pos.txt	Control	AsnGTT	30	62.3135176347255
MSR_At1c.start_pos.txt	Control	AsnGTT	31	113.630532157441
MSR_At1c.start_pos.txt	Control	AsnGTT	32	7.33100207467359
MSR_At1c.start_pos.txt	Control	AsnGTT	33	43.9860124480415
MSR_At1c.start_pos.txt	Control	AsnGTT	34	32.9895093360311
MSR_At1c.start_pos.txt	Control	AsnGTT	36	25.6585072613576
MSR_At1c.start_pos.txt	Control	AsnGTT	37	10.9965031120104
MSR_At1c.start_pos.txt	Control	AsnGTT	38	7.33100207467359
MSR_At1c.start_pos.txt	Control	AsnGTT	40	3.66550103733679
MSR_At1c.start_pos.txt	Control	AsnGTT	45	3.66550103733679
MSR_At1c.start_pos.txt	Control	CysGCA	1	158811.497943654
MSR_At1c.start_pos.txt	Control	CysGCA	2	773.420718878063
MSR_At1c.start_pos.txt	Control	CysGCA	3	439.860124480415
MSR_At1c.start_pos.txt	Control	CysGCA	4	131.958037344125
MSR_At1c.start_pos.txt	Control	CysGCA	5	54.9825155600519
MSR_At1c.start_pos.txt	Control	CysGCA	6	113.630532157441
MSR_At1c.start_pos.txt	Control	CysGCA	7	395.874112032374
MSR_At1c.start_pos.txt	Control	CysGCA	8	117.296033194777
MSR_At1c.start_pos.txt	Control	CysGCA	9	43.9860124480415
MSR_At1c.start_pos.txt	Control	CysGCA	10	161.282045642819
MSR_At1c.start_pos.txt	Control	CysGCA	11	32.9895093360311
MSR_At1c.start_pos.txt	Control	CysGCA	12	311.567588173627
MSR_At1c.start_pos.txt	Control	CysGCA	13	51.3170145227151
MSR_At1c.start_pos.txt	Control	CysGCA	14	238.257567426892
MSR_At1c.start_pos.txt	Control	CysGCA	15	29.3240082986943
MSR_At1c.start_pos.txt	Control	CysGCA	16	80.6410228214095
MSR_At1c.start_pos.txt	Control	CysGCA	18	289.574581949607
MSR_At1c.start_pos.txt	Control	CysGCA	19	245.588569501565
MSR_At1c.start_pos.txt	Control	CysGCA	20	113.630532157441
MSR_At1c.start_pos.txt	Control	CysGCA	21	43.9860124480415
MSR_At1c.start_pos.txt	Control	CysGCA	22	21.9930062240208
MSR_At1c.start_pos.txt	Control	CysGCA	23	29.3240082986943
MSR_At1c.start_pos.txt	Control	CysGCA	24	216.264561202871
MSR_At1c.start_pos.txt	Control	CysGCA	25	36.6550103733679
MSR_At1c.start_pos.txt	Control	CysGCA	26	7.33100207467359
MSR_At1c.start_pos.txt	Control	CysGCA	27	21.9930062240208
MSR_At1c.start_pos.txt	Control	CysGCA	28	7.33100207467359
MSR_At1c.start_pos.txt	Control	CysGCA	29	18.327505186684
MSR_At1c.start_pos.txt	Control	CysGCA	33	21.9930062240208
MSR_At1c.start_pos.txt	Control	CysGCA	34	91.6375259334198
MSR_At1c.start_pos.txt	Control	CysGCA	35	58.6480165973887
MSR_At1c.start_pos.txt	Control	CysGCA	36	87.972024896083
MSR_At1c.start_pos.txt	Control	CysGCA	37	84.3065238587462
MSR_At1c.start_pos.txt	Control	CysGCA	38	2477.87870123967
MSR_At1c.start_pos.txt	Control	CysGCA	39	131.958037344125
MSR_At1c.start_pos.txt	Control	CysGCA	40	14.6620041493472
MSR_At1c.start_pos.txt	Control	CysGCA	44	3.66550103733679
MSR_At1c.start_pos.txt	Control	GlnTTG	1	1455.20391182271
MSR_At1c.start_pos.txt	Control	GlnTTG	2	10.9965031120104
MSR_At1c.start_pos.txt	Control	GlnTTG	3	18.327505186684
MSR_At1c.start_pos.txt	Control	GlnTTG	5	7.33100207467359
MSR_At1c.start_pos.txt	Control	GlnTTG	10	7.33100207467359
MSR_At1c.start_pos.txt	Control	GlnTTG	11	10.9965031120104
MSR_At1c.start_pos.txt	Control	GlnTTG	18	43.9860124480415
MSR_At1c.start_pos.txt	Control	GlnTTG	19	7.33100207467359
MSR_At1c.start_pos.txt	Control	GlnTTG	22	3.66550103733679
MSR_At1c.start_pos.txt	Control	GlnTTG	24	18.327505186684
MSR_At1c.start_pos.txt	Control	GlnTTG	27	14.6620041493472
MSR_At1c.start_pos.txt	Control	GlnTTG	29	10.9965031120104
MSR_At1c.start_pos.txt	Control	GlnTTG	33	10.9965031120104
MSR_At1c.start_pos.txt	Control	GlnTTG	34	14.6620041493472
MSR_At1c.start_pos.txt	Control	GlnTTG	35	95.3030269707566
MSR_At1c.start_pos.txt	Control	GlnTTG	36	14.6620041493472
MSR_At1c.start_pos.txt	Control	GlnTTG	37	36.6550103733679
MSR_At1c.start_pos.txt	Control	GlnTTG	38	14.6620041493472
MSR_At1c.start_pos.txt	Control	GlnTTG	39	3.66550103733679
MSR_At1c.start_pos.txt	Control	GluTTC	1	12389.3935061984
MSR_At1c.start_pos.txt	Control	GluTTC	2	172.278548754829
MSR_At1c.start_pos.txt	Control	GluTTC	3	62.3135176347255
MSR_At1c.start_pos.txt	Control	GluTTC	4	18.327505186684
MSR_At1c.start_pos.txt	Control	GluTTC	6	14.6620041493472
MSR_At1c.start_pos.txt	Control	GluTTC	7	7.33100207467359
MSR_At1c.start_pos.txt	Control	GluTTC	8	18.327505186684
MSR_At1c.start_pos.txt	Control	GluTTC	9	29.3240082986943
MSR_At1c.start_pos.txt	Control	GluTTC	10	3.66550103733679
MSR_At1c.start_pos.txt	Control	GluTTC	12	14.6620041493472
MSR_At1c.start_pos.txt	Control	GluTTC	13	14.6620041493472
MSR_At1c.start_pos.txt	Control	GluTTC	14	14.6620041493472
MSR_At1c.start_pos.txt	Control	GluTTC	16	14.6620041493472
MSR_At1c.start_pos.txt	Control	GluTTC	18	21.9930062240208
MSR_At1c.start_pos.txt	Control	GluTTC	19	84.3065238587462
MSR_At1c.start_pos.txt	Control	GluTTC	20	84.3065238587462
MSR_At1c.start_pos.txt	Control	GluTTC	21	3.66550103733679
MSR_At1c.start_pos.txt	Control	GluTTC	22	14.6620041493472
MSR_At1c.start_pos.txt	Control	GluTTC	23	18.327505186684
MSR_At1c.start_pos.txt	Control	GluTTC	24	3.66550103733679
MSR_At1c.start_pos.txt	Control	GluTTC	28	3.66550103733679
MSR_At1c.start_pos.txt	Control	GluTTC	29	7.33100207467359
MSR_At1c.start_pos.txt	Control	GluTTC	30	7.33100207467359
MSR_At1c.start_pos.txt	Control	GluTTC	31	18.327505186684
MSR_At1c.start_pos.txt	Control	GluTTC	32	10.9965031120104
MSR_At1c.start_pos.txt	Control	GluTTC	33	18.327505186684
MSR_At1c.start_pos.txt	Control	GluTTC	34	95.3030269707566
MSR_At1c.start_pos.txt	Control	GluTTC	35	267.581575725586
MSR_At1c.start_pos.txt	Control	GluTTC	36	10.9965031120104
MSR_At1c.start_pos.txt	Control	GluTTC	37	29.3240082986943
MSR_At1c.start_pos.txt	Control	GluTTC	38	3.66550103733679
MSR_At1c.start_pos.txt	Control	GlyGCC	1	26864.4571026414
MSR_At1c.start_pos.txt	Control	GlyGCC	2	95.3030269707566
MSR_At1c.start_pos.txt	Control	GlyGCC	3	32.9895093360311
MSR_At1c.start_pos.txt	Control	GlyGCC	4	109.965031120104
MSR_At1c.start_pos.txt	Control	GlyGCC	5	29.3240082986943
MSR_At1c.start_pos.txt	Control	GlyGCC	6	18.327505186684
MSR_At1c.start_pos.txt	Control	GlyGCC	8	32.9895093360311
MSR_At1c.start_pos.txt	Control	GlyGCC	9	47.6515134853783
MSR_At1c.start_pos.txt	Control	GlyGCC	10	73.3100207467359
MSR_At1c.start_pos.txt	Control	GlyGCC	11	36.6550103733679
MSR_At1c.start_pos.txt	Control	GlyGCC	12	18.327505186684
MSR_At1c.start_pos.txt	Control	GlyGCC	13	47.6515134853783
MSR_At1c.start_pos.txt	Control	GlyGCC	14	25.6585072613576
MSR_At1c.start_pos.txt	Control	GlyGCC	15	18.327505186684
MSR_At1c.start_pos.txt	Control	GlyGCC	16	25.6585072613576
MSR_At1c.start_pos.txt	Control	GlyGCC	18	102.63402904543
MSR_At1c.start_pos.txt	Control	GlyGCC	19	238.257567426892
MSR_At1c.start_pos.txt	Control	GlyGCC	20	65.9790186720623
MSR_At1c.start_pos.txt	Control	GlyGCC	22	14.6620041493472
MSR_At1c.start_pos.txt	Control	GlyGCC	23	69.6445197093991
MSR_At1c.start_pos.txt	Control	GlyGCC	24	14.6620041493472
MSR_At1c.start_pos.txt	Control	GlyGCC	25	29.3240082986943
MSR_At1c.start_pos.txt	Control	GlyGCC	26	21.9930062240208
MSR_At1c.start_pos.txt	Control	GlyGCC	27	7.33100207467359
MSR_At1c.start_pos.txt	Control	GlyGCC	28	25.6585072613576
MSR_At1c.start_pos.txt	Control	GlyGCC	29	54.9825155600519
MSR_At1c.start_pos.txt	Control	GlyGCC	30	21.9930062240208
MSR_At1c.start_pos.txt	Control	GlyGCC	31	58.6480165973887
MSR_At1c.start_pos.txt	Control	GlyGCC	32	40.3205114107047
MSR_At1c.start_pos.txt	Control	GlyGCC	33	69.6445197093991
MSR_At1c.start_pos.txt	Control	GlyGCC	34	355.553600621669
MSR_At1c.start_pos.txt	Control	GlyGCC	35	172.278548754829
MSR_At1c.start_pos.txt	Control	GlyGCC	36	32.9895093360311
MSR_At1c.start_pos.txt	Control	GlyGCC	37	3.66550103733679
MSR_At1c.start_pos.txt	Control	GlyGCC	38	21.9930062240208
MSR_At1c.start_pos.txt	Control	GlyGCC	40	3.66550103733679
MSR_At1c.start_pos.txt	Control	HisGTG	0	18921.3163547325
MSR_At1c.start_pos.txt	Control	HisGTG	1	164.947546680156
MSR_At1c.start_pos.txt	Control	HisGTG	2	58.6480165973887
MSR_At1c.start_pos.txt	Control	HisGTG	3	43.9860124480415
MSR_At1c.start_pos.txt	Control	HisGTG	4	14.6620041493472
MSR_At1c.start_pos.txt	Control	HisGTG	5	10.9965031120104
MSR_At1c.start_pos.txt	Control	HisGTG	8	10.9965031120104
MSR_At1c.start_pos.txt	Control	HisGTG	9	36.6550103733679
MSR_At1c.start_pos.txt	Control	HisGTG	10	18.327505186684
MSR_At1c.start_pos.txt	Control	HisGTG	11	40.3205114107047
MSR_At1c.start_pos.txt	Control	HisGTG	12	10.9965031120104
MSR_At1c.start_pos.txt	Control	HisGTG	13	25.6585072613576
MSR_At1c.start_pos.txt	Control	HisGTG	15	7.33100207467359
