GeneName	Position	Left_Other	Left_tDR	Left_C	Left_CC	Left_CCA	Right_Other	Right_tDR	Right_C	Right_CC	Right_CCA	Left_Total	Right_Total
nuclear-Ath-ProTGG-171741	1	3478	478	1285	858	1757	0	0	0	0	0	7856	0
nuclear-Ath-ProTGG-171741	2	21	3	4	3	11	0	0	0	0	0	42	0
nuclear-Ath-ProTGG-171741	3	13	1	6	5	10	0	0	0	0	0	35	0
nuclear-Ath-ProTGG-171741	4	4	3	11	7	15	0	0	0	0	0	40	0
nuclear-Ath-ProTGG-171741	5	12	0	2	5	6	0	0	0	0	0	25	0
nuclear-Ath-ProTGG-171741	6	5	0	5	4	4	0	0	0	0	0	18	0
nuclear-Ath-ProTGG-171741	7	7	1	5	1	2	0	0	0	0	0	16	0
nuclear-Ath-ProTGG-171741	8	11	3	2	0	4	0	0	0	0	0	20	0
nuclear-Ath-ProTGG-171741	9	71	9	25	19	42	0	0	0	0	0	166	0
nuclear-Ath-ProTGG-171741	10	787	12	394	179	436	0	0	0	0	0	1808	0
nuclear-Ath-ProTGG-171741	11	97	3	71	22	70	0	0	0	0	0	263	0
nuclear-Ath-ProTGG-171741	12	410	8	186	147	231	0	0	0	0	0	982	0
nuclear-Ath-ProTGG-171741	13	234	1	84	59	86	0	0	0	0	0	464	0
nuclear-Ath-ProTGG-171741	14	36	11	7	8	18	0	0	0	0	0	80	0
nuclear-Ath-ProTGG-171741	15	48	8	22	11	31	0	0	0	0	0	120	0
nuclear-Ath-ProTGG-171741	16	190	0	94	56	98	0	0	0	0	0	438	0
nuclear-Ath-ProTGG-171741	17	177	8	74	49	93	0	0	0	0	0	401	0
nuclear-Ath-ProTGG-171741	18	255	4	102	46	125	0	0	0	0	0	532	0
nuclear-Ath-ProTGG-171741	19	87	1	42	15	44	0	0	0	0	0	189	0
nuclear-Ath-ProTGG-171741	20	30	4	12	5	16	0	0	0	0	0	67	0
nuclear-Ath-ProTGG-171741	21	18	0	7	4	12	0	0	0	0	0	41	0
nuclear-Ath-ProTGG-171741	22	38	1	13	2	13	0	0	0	0	0	67	0
nuclear-Ath-ProTGG-171741	23	61	1	32	29	61	0	0	0	0	0	184	0
nuclear-Ath-ProTGG-171741	24	0	0	1	1	2	0	0	0	0	0	4	0
nuclear-Ath-ProTGG-171741	25	12	0	6	0	7	0	0	0	0	0	25	0
nuclear-Ath-ProTGG-171741	26	1	0	0	1	2	0	0	0	0	0	4	0
nuclear-Ath-ProTGG-171741	27	4	0	0	0	3	0	0	0	0	0	7	0
nuclear-Ath-ProTGG-171741	28	6	0	0	0	5	0	0	0	0	0	11	0
nuclear-Ath-ProTGG-171741	29	7	0	3	4	5	0	0	0	0	0	19	0
nuclear-Ath-ProTGG-171741	30	21	0	17	0	5	0	0	0	0	0	43	0
nuclear-Ath-ProTGG-171741	31	20	0	7	5	5	0	0	0	0	0	37	0
nuclear-Ath-ProTGG-171741	32	20	0	7	0	9	0	12	0	0	0	36	12
nuclear-Ath-ProTGG-171741	33	15	0	5	11	11	0	26	0	0	0	42	26
nuclear-Ath-ProTGG-171741	34	9	0	4	5	17	0	35	0	0	0	35	35
nuclear-Ath-ProTGG-171741	35	34	0	9	8	20	0	29	0	0	0	71	29
nuclear-Ath-ProTGG-171741	36	352	0	175	117	189	0	3	0	0	0	833	3
nuclear-Ath-ProTGG-171741	37	9	0	15	8	18	0	3	0	0	0	50	3
nuclear-Ath-ProTGG-171741	38	10	0	0	2	1	0	0	0	0	0	13	0
nuclear-Ath-ProTGG-171741	39	4	0	0	0	2	0	1	0	0	0	6	1
nuclear-Ath-ProTGG-171741	40	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ProTGG-171741	41	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ProTGG-171741	42	0	0	0	0	0	0	2	0	0	0	0	2
nuclear-Ath-ProTGG-171741	43	0	0	0	0	0	0	1	0	0	0	0	1
nuclear-Ath-ProTGG-171741	44	0	0	0	0	0	0	16	0	0	0	0	16
nuclear-Ath-ProTGG-171741	45	0	0	0	0	0	0	3	0	0	0	0	3
nuclear-Ath-ProTGG-171741	46	0	0	0	0	0	0	13	0	0	0	0	13
nuclear-Ath-ProTGG-171741	47	0	0	0	0	0	0	5	0	0	0	0	5
nuclear-Ath-ProTGG-171741	48	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ProTGG-171741	49	0	0	0	0	0	0	10	0	0	0	0	10
nuclear-Ath-ProTGG-171741	50	0	0	0	0	0	0	29	0	0	0	0	29
nuclear-Ath-ProTGG-171741	51	0	0	0	0	0	0	14	0	0	0	0	14
nuclear-Ath-ProTGG-171741	52	0	0	0	0	0	0	114	0	0	0	0	114
nuclear-Ath-ProTGG-171741	53	0	0	0	0	0	0	105	0	0	0	0	105
nuclear-Ath-ProTGG-171741	54	0	0	0	0	0	0	22	0	0	0	0	22
nuclear-Ath-ProTGG-171741	55	0	0	0	0	0	0	31	0	0	0	0	31
nuclear-Ath-ProTGG-171741	56	0	0	0	0	0	0	24	0	0	0	0	24
nuclear-Ath-ProTGG-171741	57	0	0	0	0	0	0	3	0	0	0	0	3
nuclear-Ath-ProTGG-171741	58	0	0	0	0	0	0	6	0	0	0	0	6
nuclear-Ath-ProTGG-171741	59	0	0	0	0	0	0	9	0	0	0	0	9
nuclear-Ath-ProTGG-171741	60	0	0	0	0	0	0	11	0	0	0	0	11
nuclear-Ath-ProTGG-171741	61	0	0	0	0	0	0	2	0	0	0	0	2
nuclear-Ath-ProTGG-171741	62	0	0	0	0	0	0	12	0	0	0	0	12
nuclear-Ath-ProTGG-171741	63	0	0	0	0	0	0	1	0	0	0	0	1
nuclear-Ath-ProTGG-171741	64	0	0	0	0	0	0	15	0	0	0	0	15
nuclear-Ath-ProTGG-171741	65	0	0	0	0	0	0	2	0	0	0	0	2
nuclear-Ath-ProTGG-171741	66	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ProTGG-171741	67	0	0	0	0	0	0	1	0	0	0	0	1
nuclear-Ath-ProTGG-171741	68	0	0	0	0	0	11	0	0	0	0	0	11
nuclear-Ath-ProTGG-171741	69	0	0	0	0	0	14	0	0	0	0	0	14
nuclear-Ath-ProTGG-171741	70	0	0	0	0	0	80	0	0	0	0	0	80
nuclear-Ath-ProTGG-171741	71	0	0	0	0	0	1731	0	0	0	0	0	1731
nuclear-Ath-ProTGG-171741	72	0	0	0	0	0	4107	0	0	0	0	0	4107
nuclear-Ath-ProTGG-171741	73	0	0	0	0	0	91	0	2734	0	0	0	2825
nuclear-Ath-ProTGG-171741	74	0	0	0	0	0	251	0	0	1696	0	0	1947
nuclear-Ath-ProTGG-171741	75	0	0	0	0	0	329	0	0	0	3486	0	3815
nuclear-Ath-ArgCCT-171716	1	1106	101	2624	1692	2203	0	0	0	0	0	7726	0
nuclear-Ath-ArgCCT-171716	2	3	1	14	18	25	0	0	0	0	0	61	0
nuclear-Ath-ArgCCT-171716	3	8	0	13	6	4	0	0	0	0	0	31	0
nuclear-Ath-ArgCCT-171716	4	3	0	6	5	5	0	0	0	0	0	19	0
nuclear-Ath-ArgCCT-171716	5	0	0	1	2	3	0	0	0	0	0	6	0
nuclear-Ath-ArgCCT-171716	6	0	0	9	5	3	0	0	0	0	0	17	0
nuclear-Ath-ArgCCT-171716	7	3	0	3	3	6	0	0	0	0	0	15	0
nuclear-Ath-ArgCCT-171716	8	30	0	65	26	42	0	0	0	0	0	163	0
nuclear-Ath-ArgCCT-171716	9	1	0	1	1	4	0	0	0	0	0	7	0
nuclear-Ath-ArgCCT-171716	10	8	0	11	9	8	0	0	0	0	0	36	0
nuclear-Ath-ArgCCT-171716	11	89	0	300	125	139	0	0	0	0	0	653	0
nuclear-Ath-ArgCCT-171716	12	6	0	30	19	15	0	0	0	0	0	70	0
nuclear-Ath-ArgCCT-171716	13	8	0	22	23	21	0	0	0	0	0	74	0
nuclear-Ath-ArgCCT-171716	14	2	0	19	7	32	0	0	0	0	0	60	0
nuclear-Ath-ArgCCT-171716	15	24	0	47	18	45	0	0	0	0	0	134	0
nuclear-Ath-ArgCCT-171716	16	129	1	403	171	235	0	0	0	0	0	939	0
nuclear-Ath-ArgCCT-171716	17	77	0	255	80	167	0	0	0	0	0	579	0
nuclear-Ath-ArgCCT-171716	18	270	1	854	397	520	0	0	0	0	0	2042	0
nuclear-Ath-ArgCCT-171716	19	355	0	977	503	675	0	0	0	0	0	2510	0
nuclear-Ath-ArgCCT-171716	20	68	0	171	67	140	0	0	0	0	0	446	0
nuclear-Ath-ArgCCT-171716	21	3769	1	9203	4551	6429	0	0	0	0	0	23953	0
nuclear-Ath-ArgCCT-171716	22	95	1	198	91	141	0	0	0	0	0	526	0
nuclear-Ath-ArgCCT-171716	23	24	0	47	28	43	0	0	0	0	0	142	0
nuclear-Ath-ArgCCT-171716	24	28	0	112	56	84	0	0	0	0	0	280	0
nuclear-Ath-ArgCCT-171716	25	43	0	114	45	64	0	0	0	0	0	266	0
nuclear-Ath-ArgCCT-171716	26	116	0	350	161	193	0	0	0	0	0	820	0
nuclear-Ath-ArgCCT-171716	27	14883	1	49001	20189	24101	0	0	0	0	0	108175	0
nuclear-Ath-ArgCCT-171716	28	180	0	609	272	343	0	0	0	0	0	1404	0
nuclear-Ath-ArgCCT-171716	29	74	0	268	130	157	0	0	0	0	0	629	0
nuclear-Ath-ArgCCT-171716	30	68	0	197	59	113	0	0	0	0	0	437	0
nuclear-Ath-ArgCCT-171716	31	74	0	257	108	167	0	0	0	0	0	606	0
nuclear-Ath-ArgCCT-171716	32	27	0	93	45	80	0	0	0	0	0	245	0
nuclear-Ath-ArgCCT-171716	33	43	0	108	69	89	0	0	0	0	0	309	0
nuclear-Ath-ArgCCT-171716	34	59	0	205	118	214	0	1	0	0	0	596	1
nuclear-Ath-ArgCCT-171716	35	20	0	55	51	58	0	16	0	0	0	184	16
nuclear-Ath-ArgCCT-171716	36	15	0	60	56	80	0	4	0	0	0	211	4
nuclear-Ath-ArgCCT-171716	37	20	0	54	68	194	0	0	0	0	0	336	0
nuclear-Ath-ArgCCT-171716	38	7	0	17	7	35	0	4	0	0	0	66	4
nuclear-Ath-ArgCCT-171716	39	5	0	1	17	19	0	4	0	0	0	42	4
nuclear-Ath-ArgCCT-171716	40	5	0	0	3	71	0	2	0	0	0	79	2
nuclear-Ath-ArgCCT-171716	41	0	0	0	0	1	0	0	0	0	0	1	0
nuclear-Ath-ArgCCT-171716	42	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ArgCCT-171716	43	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ArgCCT-171716	44	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ArgCCT-171716	45	0	0	0	0	0	0	20	0	0	0	0	20
nuclear-Ath-ArgCCT-171716	46	0	0	0	0	0	0	6	0	0	0	0	6
nuclear-Ath-ArgCCT-171716	47	0	0	0	0	0	0	1	0	0	0	0	1
nuclear-Ath-ArgCCT-171716	48	0	0	0	0	0	0	5	0	0	0	0	5
nuclear-Ath-ArgCCT-171716	49	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ArgCCT-171716	50	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ArgCCT-171716	51	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ArgCCT-171716	52	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ArgCCT-171716	53	0	0	0	0	0	0	2	0	0	0	0	2
nuclear-Ath-ArgCCT-171716	54	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ArgCCT-171716	55	0	0	0	0	0	0	2	0	0	0	0	2
nuclear-Ath-ArgCCT-171716	56	0	0	0	0	0	0	15	0	0	0	0	15
nuclear-Ath-ArgCCT-171716	57	0	0	0	0	0	0	19	0	0	0	0	19
nuclear-Ath-ArgCCT-171716	58	0	0	0	0	0	0	1	0	0	0	0	1
nuclear-Ath-ArgCCT-171716	59	0	0	0	0	0	0	1	0	0	0	0	1
nuclear-Ath-ArgCCT-171716	60	0	0	0	0	0	0	1	0	0	0	0	1
nuclear-Ath-ArgCCT-171716	61	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ArgCCT-171716	62	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ArgCCT-171716	63	0	0	0	0	0	0	0	0	0	0	0	0
