GeneName	Position	Left_Other	Left_tDR	Left_C	Left_CC	Left_CCA	Right_Other	Right_tDR	Right_C	Right_CC	Right_CCA	Left_Total	Right_Total
nuclear-Ath-ProTGG-171741	1	25217	1127	10934	7811	18175	0	0	0	0	0	63264	0
nuclear-Ath-ProTGG-171741	2	78	2	39	36	98	0	0	0	0	0	253	0
nuclear-Ath-ProTGG-171741	3	46	2	13	9	54	0	0	0	0	0	124	0
nuclear-Ath-ProTGG-171741	4	73	1	82	55	98	0	0	0	0	0	309	0
nuclear-Ath-ProTGG-171741	5	17	5	16	10	17	0	0	0	0	0	65	0
nuclear-Ath-ProTGG-171741	6	19	4	13	0	37	0	0	0	0	0	73	0
nuclear-Ath-ProTGG-171741	7	36	1	6	19	10	0	0	0	0	0	72	0
nuclear-Ath-ProTGG-171741	8	25	0	12	24	48	0	0	0	0	0	109	0
nuclear-Ath-ProTGG-171741	9	188	7	97	103	156	0	0	0	0	0	551	0
nuclear-Ath-ProTGG-171741	10	3730	41	1935	1239	2950	0	0	0	0	0	9895	0
nuclear-Ath-ProTGG-171741	11	532	5	293	242	383	0	0	0	0	0	1455	0
nuclear-Ath-ProTGG-171741	12	1863	11	874	580	1276	0	0	0	0	0	4604	0
nuclear-Ath-ProTGG-171741	13	908	10	353	242	623	0	0	0	0	0	2136	0
nuclear-Ath-ProTGG-171741	14	124	10	69	51	84	0	0	0	0	0	338	0
nuclear-Ath-ProTGG-171741	15	149	10	61	92	117	0	0	0	0	0	429	0
nuclear-Ath-ProTGG-171741	16	684	14	392	199	422	0	0	0	0	0	1711	0
nuclear-Ath-ProTGG-171741	17	811	27	366	242	653	0	0	0	0	0	2099	0
nuclear-Ath-ProTGG-171741	18	815	15	392	344	705	0	0	0	0	0	2271	0
nuclear-Ath-ProTGG-171741	19	360	4	176	100	261	0	0	0	0	0	901	0
nuclear-Ath-ProTGG-171741	20	121	5	34	38	75	0	0	0	0	0	273	0
nuclear-Ath-ProTGG-171741	21	40	0	13	21	21	0	0	0	0	0	95	0
nuclear-Ath-ProTGG-171741	22	55	3	27	31	44	0	0	0	0	0	160	0
nuclear-Ath-ProTGG-171741	23	277	1	151	113	323	0	0	0	0	0	865	0
nuclear-Ath-ProTGG-171741	24	19	0	6	2	13	0	0	0	0	0	40	0
nuclear-Ath-ProTGG-171741	25	11	0	14	7	17	0	0	0	0	0	49	0
nuclear-Ath-ProTGG-171741	26	10	0	0	0	17	0	0	0	0	0	27	0
nuclear-Ath-ProTGG-171741	27	4	0	10	1	2	0	0	0	0	0	17	0
nuclear-Ath-ProTGG-171741	28	11	0	0	0	5	0	0	0	0	0	16	0
nuclear-Ath-ProTGG-171741	29	16	0	11	3	19	0	0	0	0	0	49	0
nuclear-Ath-ProTGG-171741	30	80	0	29	10	19	0	0	0	0	0	138	0
nuclear-Ath-ProTGG-171741	31	35	0	6	0	30	0	0	0	0	0	71	0
nuclear-Ath-ProTGG-171741	32	36	0	24	8	17	0	44	0	0	0	85	44
nuclear-Ath-ProTGG-171741	33	34	0	14	17	24	0	24	0	0	0	89	24
nuclear-Ath-ProTGG-171741	34	33	0	12	15	40	0	45	0	0	0	100	45
nuclear-Ath-ProTGG-171741	35	79	0	23	13	34	0	38	0	0	0	149	38
nuclear-Ath-ProTGG-171741	36	1018	0	576	301	709	0	4	0	0	0	2604	4
nuclear-Ath-ProTGG-171741	37	10	0	34	36	58	0	6	0	0	0	138	6
nuclear-Ath-ProTGG-171741	38	5	0	0	9	2	0	5	0	0	0	16	5
nuclear-Ath-ProTGG-171741	39	1	0	0	0	3	0	5	0	0	0	4	5
nuclear-Ath-ProTGG-171741	40	0	0	0	0	0	0	2	0	0	0	0	2
nuclear-Ath-ProTGG-171741	41	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ProTGG-171741	42	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ProTGG-171741	43	0	0	0	0	0	0	24	0	0	0	0	24
nuclear-Ath-ProTGG-171741	44	0	0	0	0	0	0	62	0	0	0	0	62
nuclear-Ath-ProTGG-171741	45	0	0	0	0	0	0	4	0	0	0	0	4
nuclear-Ath-ProTGG-171741	46	0	0	0	0	0	0	26	0	0	0	0	26
nuclear-Ath-ProTGG-171741	47	0	0	0	0	0	0	8	0	0	0	0	8
nuclear-Ath-ProTGG-171741	48	0	0	0	0	0	0	4	0	0	0	0	4
nuclear-Ath-ProTGG-171741	49	0	0	0	0	0	0	28	0	0	0	0	28
nuclear-Ath-ProTGG-171741	50	0	0	0	0	0	0	51	0	0	0	0	51
nuclear-Ath-ProTGG-171741	51	0	0	0	0	0	0	41	0	0	0	0	41
