Gene	Position	SprinzlPosition	StartPosCount
mitochondrial-Ath-AsnGTT-183766	1	1	23174
mitochondrial-Ath-AsnGTT-183766	2	2	187
mitochondrial-Ath-AsnGTT-183766	3	3	63
mitochondrial-Ath-AsnGTT-183766	4	4	28
mitochondrial-Ath-AsnGTT-183766	5	5	34
mitochondrial-Ath-AsnGTT-183766	6	6	40
mitochondrial-Ath-AsnGTT-183766	7	7	53
mitochondrial-Ath-AsnGTT-183766	8	8	449
mitochondrial-Ath-AsnGTT-183766	9	9	33
mitochondrial-Ath-AsnGTT-183766	10	10	118
mitochondrial-Ath-AsnGTT-183766	11	11	38
mitochondrial-Ath-AsnGTT-183766	12	12	47
mitochondrial-Ath-AsnGTT-183766	13	13	54
mitochondrial-Ath-AsnGTT-183766	14	14	24
mitochondrial-Ath-AsnGTT-183766	15	15	69
mitochondrial-Ath-AsnGTT-183766	16	16	495
mitochondrial-Ath-AsnGTT-183766	17	18	153
mitochondrial-Ath-AsnGTT-183766	18	19	202
mitochondrial-Ath-AsnGTT-183766	19	20	385
mitochondrial-Ath-AsnGTT-183766	20	21	148
mitochondrial-Ath-AsnGTT-183766	21	22	110
mitochondrial-Ath-AsnGTT-183766	22	23	358
mitochondrial-Ath-AsnGTT-183766	23	24	41
mitochondrial-Ath-AsnGTT-183766	24	25	141
mitochondrial-Ath-AsnGTT-183766	25	26	4362
mitochondrial-Ath-AsnGTT-183766	26	27	39518
mitochondrial-Ath-AsnGTT-183766	27	28	2601
mitochondrial-Ath-AsnGTT-183766	28	29	416
mitochondrial-Ath-AsnGTT-183766	29	30	358
mitochondrial-Ath-AsnGTT-183766	30	31	547
mitochondrial-Ath-AsnGTT-183766	31	32	317
mitochondrial-Ath-AsnGTT-183766	32	33	259
mitochondrial-Ath-AsnGTT-183766	33	34	301
mitochondrial-Ath-AsnGTT-183766	34	35	62
mitochondrial-Ath-AsnGTT-183766	35	36	106
mitochondrial-Ath-AsnGTT-183766	36	37	55
mitochondrial-Ath-AsnGTT-183766	37	38	57
mitochondrial-Ath-AsnGTT-183766	38	39	35
mitochondrial-Ath-AsnGTT-183766	39	40	1
mitochondrial-Ath-AspGTC-171828	1	1	27928
mitochondrial-Ath-AspGTC-171828	2	2	223
mitochondrial-Ath-AspGTC-171828	3	3	43
mitochondrial-Ath-AspGTC-171828	4	4	190
mitochondrial-Ath-AspGTC-171828	5	5	33
mitochondrial-Ath-AspGTC-171828	6	6	43
mitochondrial-Ath-AspGTC-171828	7	7	22
mitochondrial-Ath-AspGTC-171828	8	8	149
mitochondrial-Ath-AspGTC-171828	9	9	79
mitochondrial-Ath-AspGTC-171828	10	10	365
mitochondrial-Ath-AspGTC-171828	11	11	133
mitochondrial-Ath-AspGTC-171828	12	12	124
mitochondrial-Ath-AspGTC-171828	13	13	89
mitochondrial-Ath-AspGTC-171828	14	14	118
mitochondrial-Ath-AspGTC-171828	15	15	35
mitochondrial-Ath-AspGTC-171828	16	16	51
mitochondrial-Ath-AspGTC-171828	17	17	104
mitochondrial-Ath-AspGTC-171828	18	18	884
mitochondrial-Ath-AspGTC-171828	19	19	3109
mitochondrial-Ath-AspGTC-171828	20	20	4287
mitochondrial-Ath-AspGTC-171828	21	20x	311
mitochondrial-Ath-AspGTC-171828	22	21	275
mitochondrial-Ath-AspGTC-171828	23	22	402
mitochondrial-Ath-AspGTC-171828	24	23	10997
mitochondrial-Ath-AspGTC-171828	25	24	422
mitochondrial-Ath-AspGTC-171828	26	25	484
mitochondrial-Ath-AspGTC-171828	27	26	351
mitochondrial-Ath-AspGTC-171828	28	27	82
mitochondrial-Ath-AspGTC-171828	29	28	47
mitochondrial-Ath-AspGTC-171828	30	29	128
mitochondrial-Ath-AspGTC-171828	31	30	57
mitochondrial-Ath-AspGTC-171828	32	31	54
mitochondrial-Ath-AspGTC-171828	33	32	24
mitochondrial-Ath-AspGTC-171828	34	33	146
mitochondrial-Ath-AspGTC-171828	35	34	476
mitochondrial-Ath-AspGTC-171828	36	35	1780
mitochondrial-Ath-AspGTC-171828	37	36	20
mitochondrial-Ath-AspGTC-171828	38	37	23
mitochondrial-Ath-AspGTC-171828	39	38	29
mitochondrial-Ath-AspGTC-171828	40	39	7
mitochondrial-Ath-AspGTC-171828	41	40	2
mitochondrial-Ath-AspGTC-171828	43	42	1
mitochondrial-Ath-CysGCA-171829	1	1	41273
mitochondrial-Ath-CysGCA-171829	2	2	457
mitochondrial-Ath-CysGCA-171829	3	3	190
mitochondrial-Ath-CysGCA-171829	4	4	661
mitochondrial-Ath-CysGCA-171829	5	5	169
mitochondrial-Ath-CysGCA-171829	6	6	83
mitochondrial-Ath-CysGCA-171829	7	7	181
mitochondrial-Ath-CysGCA-171829	8	8	151
mitochondrial-Ath-CysGCA-171829	9	9	63
mitochondrial-Ath-CysGCA-171829	10	10	163
mitochondrial-Ath-CysGCA-171829	11	11	19
mitochondrial-Ath-CysGCA-171829	12	12	193
mitochondrial-Ath-CysGCA-171829	13	13	127
mitochondrial-Ath-CysGCA-171829	14	14	92
mitochondrial-Ath-CysGCA-171829	15	15	65
mitochondrial-Ath-CysGCA-171829	16	16	57
mitochondrial-Ath-CysGCA-171829	17	18	141
mitochondrial-Ath-CysGCA-171829	18	19	347
mitochondrial-Ath-CysGCA-171829	19	20	67
mitochondrial-Ath-CysGCA-171829	20	21	60
mitochondrial-Ath-CysGCA-171829	21	22	57
mitochondrial-Ath-CysGCA-171829	22	23	42
mitochondrial-Ath-CysGCA-171829	23	24	137
mitochondrial-Ath-CysGCA-171829	24	25	352
mitochondrial-Ath-CysGCA-171829	25	26	35
