Gene,CCA_1,CCA_2,Other_1,Other_2,Total_Reads,Comparison,Biorep,Genome,Isodecoder,ID
mitochondrial-Ath-AsnGTT-183766,78.07759738,1.114913918,45.42391214,74.4376251,99477,Periodate vs Deacylated,Bio Rep1,Mitochondrial,AsnGTT,183766
mitochondrial-Ath-AspGTC-171828,69.97892201,10.50717034,48.5793915,73.58989044,67044,Periodate vs Deacylated,Bio Rep1,Mitochondrial,AspGTC,171828
mitochondrial-Ath-CysGCA-171829,58.86247153,9.721252734,44.54444971,53.3162434,71363,Periodate vs Deacylated,Bio Rep1,Mitochondrial,CysGCA,171829
mitochondrial-Ath-GlnTTG-171830,62.84289277,9.587888982,53.53418308,69.22081284,4726,Periodate vs Deacylated,Bio Rep1,Mitochondrial,GlnTTG,171830
mitochondrial-Ath-GluTTC-171831,49.78313253,3.184155816,67.45608532,80.00743787,52088,Periodate vs Deacylated,Bio Rep1,Mitochondrial,GluTTC,171831
mitochondrial-Ath-GlyGCC-171832,68.55141356,7.692307692,51.3510224,69.35889378,20944,Periodate vs Deacylated,Bio Rep1,Mitochondrial,GlyGCC,171832
mitochondrial-Ath-HisGTG-171833,62.14285714,24.82632541,53.09278351,63.7279931,37921,Periodate vs Deacylated,Bio Rep1,Mitochondrial,HisGTG,171833
mitochondrial-Ath-IleCAT-171837,50.29585799,45.55873926,72.93835068,76.97889182,4281,Periodate vs Deacylated,Bio Rep1,Mitochondrial,IleCAT,171837
mitochondrial-Ath-LysTTT-171834,51.78236398,8.804581246,76.21597501,88.74385626,14652,Periodate vs Deacylated,Bio Rep1,Mitochondrial,LysTTT,171834
mitochondrial-Ath-ProTGG-171838,76.17135207,0.267094017,49.2182189,86.40424141,15240,Periodate vs Deacylated,Bio Rep1,Mitochondrial,ProTGG,171838
mitochondrial-Ath-SerGCT-171840,75.37562604,30.27916965,54.94546822,58.960047,9467,Periodate vs Deacylated,Bio Rep1,Mitochondrial,SerGCT,171840
mitochondrial-Ath-SerGGA-171839,77.46478873,28.51405622,43.65079365,73.07137707,3026,Periodate vs Deacylated,Bio Rep1,Mitochondrial,SerGGA,171839
mitochondrial-Ath-SerTGA-171841,72.26890756,30.69970845,38.05668016,52.64393207,8972,Periodate vs Deacylated,Bio Rep1,Mitochondrial,SerTGA,171841
mitochondrial-Ath-TrpCCA-171842,60.21816656,15.64216206,52.93525265,69.91259898,257620,Periodate vs Deacylated,Bio Rep1,Mitochondrial,TrpCCA,171842
mitochondrial-Ath-TyrGTA-171844,56.98421975,22.52010724,69.73823842,84.5874845,27435,Periodate vs Deacylated,Bio Rep1,Mitochondrial,TyrGTA,171844
mitochondrial-Ath-eMetCAT-171836,59.47368421,9.873793615,38.21138211,58.4515731,3857,Periodate vs Deacylated,Bio Rep1,Mitochondrial,eMetCAT,171836
mitochondrial-Ath-iMetCAT-171835,75.93220339,10.09268795,35.30701754,69.81659932,3673,Periodate vs Deacylated,Bio Rep1,Mitochondrial,iMetCAT,171835
nuclear-Ath-AlaAGC-171748,46.8877362,0.665729289,78.56198619,91.25780799,574887,Periodate vs Deacylated,Bio Rep1,Nuclear,AlaAGC,171748
nuclear-Ath-AlaAGC-171749,45.0191022,0.732415709,80.94518784,92.31176245,1469589,Periodate vs Deacylated,Bio Rep1,Nuclear,AlaAGC,171749
nuclear-Ath-AlaAGC-183743,44.13920568,0.923000373,76.23319057,89.85727768,596628,Periodate vs Deacylated,Bio Rep1,Nuclear,AlaAGC,183743
nuclear-Ath-AlaCGC-171750,46.577592,0.59457884,81.70308659,92.85363171,313272,Periodate vs Deacylated,Bio Rep1,Nuclear,AlaCGC,171750
nuclear-Ath-AlaCGC-171752,48.36981956,0.635770993,79.51053719,91.76797518,470266,Periodate vs Deacylated,Bio Rep1,Nuclear,AlaCGC,171752
nuclear-Ath-AlaCGC-183744,49.96595165,0.617771712,75.49845666,90.05635755,187947,Periodate vs Deacylated,Bio Rep1,Nuclear,AlaCGC,183744
nuclear-Ath-AlaTGC-171747,46.19906926,0.719085784,80.90524943,92.6757113,1583231,Periodate vs Deacylated,Bio Rep1,Nuclear,AlaTGC,171747
