Gene	Position	SprinzlPosition	EndPosCount
mitochondrial-Ath-AsnGTT-183766	34	35	1
mitochondrial-Ath-AsnGTT-183766	35	36	2
mitochondrial-Ath-AsnGTT-183766	36	37	37
mitochondrial-Ath-AsnGTT-183766	37	38	36
mitochondrial-Ath-AsnGTT-183766	38	39	316
mitochondrial-Ath-AsnGTT-183766	39	40	19
mitochondrial-Ath-AsnGTT-183766	40	41	722
mitochondrial-Ath-AsnGTT-183766	41	42	1
mitochondrial-Ath-AsnGTT-183766	42	43	2
mitochondrial-Ath-AsnGTT-183766	51	52	2
mitochondrial-Ath-AsnGTT-183766	54	55	1
mitochondrial-Ath-AsnGTT-183766	55	56	2
mitochondrial-Ath-AsnGTT-183766	60	61	5
mitochondrial-Ath-AsnGTT-183766	62	63	41
mitochondrial-Ath-AsnGTT-183766	64	65	1
mitochondrial-Ath-AsnGTT-183766	70	71	10
mitochondrial-Ath-AsnGTT-183766	71	72	29
mitochondrial-Ath-AsnGTT-183766	72	73	52
mitochondrial-Ath-AsnGTT-183766	73	74	499
mitochondrial-Ath-AsnGTT-183766	74	75	399
mitochondrial-Ath-AsnGTT-183766	75	76	3933
mitochondrial-Ath-AspGTC-171828	37	36	11
mitochondrial-Ath-AspGTC-171828	40	39	1
mitochondrial-Ath-AspGTC-171828	42	41	1
mitochondrial-Ath-AspGTC-171828	50	49	1
mitochondrial-Ath-AspGTC-171828	54	53	4
mitochondrial-Ath-AspGTC-171828	61	60	1
mitochondrial-Ath-AspGTC-171828	62	61	1
mitochondrial-Ath-AspGTC-171828	63	62	5
mitochondrial-Ath-AspGTC-171828	64	63	2
mitochondrial-Ath-AspGTC-171828	71	70	1
mitochondrial-Ath-AspGTC-171828	73	72	10
mitochondrial-Ath-AspGTC-171828	74	73	6
mitochondrial-Ath-AspGTC-171828	75	74	111
mitochondrial-Ath-AspGTC-171828	76	75	149
mitochondrial-Ath-AspGTC-171828	77	76	635
mitochondrial-Ath-CysGCA-171829	34	35	6
mitochondrial-Ath-CysGCA-171829	35	36	2
mitochondrial-Ath-CysGCA-171829	40	41	3
mitochondrial-Ath-CysGCA-171829	43	44	17
mitochondrial-Ath-CysGCA-171829	44	45	2
mitochondrial-Ath-CysGCA-171829	46	48	1
mitochondrial-Ath-CysGCA-171829	47	49	2
mitochondrial-Ath-CysGCA-171829	48	50	1
mitochondrial-Ath-CysGCA-171829	49	51	1
mitochondrial-Ath-CysGCA-171829	53	55	1
mitochondrial-Ath-CysGCA-171829	56	58	1
mitochondrial-Ath-CysGCA-171829	58	60	5
mitochondrial-Ath-CysGCA-171829	59	61	2
mitochondrial-Ath-CysGCA-171829	62	64	3
mitochondrial-Ath-CysGCA-171829	63	65	2
mitochondrial-Ath-CysGCA-171829	69	71	52
mitochondrial-Ath-CysGCA-171829	70	72	271
mitochondrial-Ath-CysGCA-171829	71	73	792
mitochondrial-Ath-CysGCA-171829	72	74	2860
mitochondrial-Ath-CysGCA-171829	73	75	4949
mitochondrial-Ath-CysGCA-171829	74	76	32615
mitochondrial-Ath-GlnTTG-171830	34	35	1
mitochondrial-Ath-GlnTTG-171830	37	38	2
mitochondrial-Ath-GlnTTG-171830	51	52	1
mitochondrial-Ath-GlnTTG-171830	70	71	3
mitochondrial-Ath-GlnTTG-171830	72	73	4
mitochondrial-Ath-GlnTTG-171830	73	74	26
