Gene	Position	SprinzlPosition	EndPosCount
mitochondrial-Ath-AsnGTT-183766	33	34	2
mitochondrial-Ath-AsnGTT-183766	34	35	15
mitochondrial-Ath-AsnGTT-183766	35	36	27
mitochondrial-Ath-AsnGTT-183766	36	37	74
mitochondrial-Ath-AsnGTT-183766	37	38	344
mitochondrial-Ath-AsnGTT-183766	38	39	3198
mitochondrial-Ath-AsnGTT-183766	39	40	119
mitochondrial-Ath-AsnGTT-183766	40	41	125
mitochondrial-Ath-AsnGTT-183766	41	42	14
mitochondrial-Ath-AsnGTT-183766	42	43	6
mitochondrial-Ath-AsnGTT-183766	43	44	5
mitochondrial-Ath-AsnGTT-183766	44	45	13
mitochondrial-Ath-AsnGTT-183766	45	46	2
mitochondrial-Ath-AsnGTT-183766	46	47	3
mitochondrial-Ath-AsnGTT-183766	47	48	1
mitochondrial-Ath-AsnGTT-183766	49	50	2
mitochondrial-Ath-AsnGTT-183766	50	51	7
mitochondrial-Ath-AsnGTT-183766	51	52	3
mitochondrial-Ath-AsnGTT-183766	52	53	6
mitochondrial-Ath-AsnGTT-183766	53	54	36
mitochondrial-Ath-AsnGTT-183766	54	55	21
mitochondrial-Ath-AsnGTT-183766	55	56	70
mitochondrial-Ath-AsnGTT-183766	56	57	4
mitochondrial-Ath-AsnGTT-183766	57	58	1
mitochondrial-Ath-AsnGTT-183766	58	59	1
mitochondrial-Ath-AsnGTT-183766	59	60	3
mitochondrial-Ath-AsnGTT-183766	60	61	1
mitochondrial-Ath-AsnGTT-183766	62	63	137
mitochondrial-Ath-AsnGTT-183766	64	65	64
mitochondrial-Ath-AsnGTT-183766	65	66	14
mitochondrial-Ath-AsnGTT-183766	66	67	2
mitochondrial-Ath-AsnGTT-183766	67	68	3
mitochondrial-Ath-AsnGTT-183766	68	69	8
mitochondrial-Ath-AsnGTT-183766	69	70	22
mitochondrial-Ath-AsnGTT-183766	70	71	426
mitochondrial-Ath-AsnGTT-183766	71	72	1622
mitochondrial-Ath-AsnGTT-183766	72	73	6918
mitochondrial-Ath-AsnGTT-183766	73	74	24683
mitochondrial-Ath-AsnGTT-183766	74	75	15423
mitochondrial-Ath-AsnGTT-183766	75	76	51428
mitochondrial-Ath-AspGTC-171828	33	32	6
mitochondrial-Ath-AspGTC-171828	34	33	8
mitochondrial-Ath-AspGTC-171828	35	34	13
mitochondrial-Ath-AspGTC-171828	36	35	21
mitochondrial-Ath-AspGTC-171828	37	36	43
mitochondrial-Ath-AspGTC-171828	38	37	3
mitochondrial-Ath-AspGTC-171828	39	38	6
mitochondrial-Ath-AspGTC-171828	40	39	1
mitochondrial-Ath-AspGTC-171828	41	40	5
mitochondrial-Ath-AspGTC-171828	42	41	3
mitochondrial-Ath-AspGTC-171828	47	46	1
mitochondrial-Ath-AspGTC-171828	49	48	1
mitochondrial-Ath-AspGTC-171828	50	49	2
