GeneName	Position	Left_Other	Left_tDR	Left_C	Left_CC	Left_CCA	Right_Other	Right_tDR	Right_C	Right_CC	Right_CCA	Left_Total	Right_Total
nuclear-Ath-ProTGG-171741	1	1794	244	757	570	10	0	0	0	0	0	3375	0
nuclear-Ath-ProTGG-171741	2	14	0	4	11	0	0	0	0	0	0	29	0
nuclear-Ath-ProTGG-171741	3	15	0	4	2	0	0	0	0	0	0	21	0
nuclear-Ath-ProTGG-171741	4	24	1	13	8	0	0	0	0	0	0	46	0
nuclear-Ath-ProTGG-171741	5	1	0	1	3	0	0	0	0	0	0	5	0
nuclear-Ath-ProTGG-171741	6	0	5	1	1	0	0	0	0	0	0	7	0
nuclear-Ath-ProTGG-171741	7	4	0	2	3	0	0	0	0	0	0	9	0
nuclear-Ath-ProTGG-171741	8	8	0	2	4	0	0	0	0	0	0	14	0
nuclear-Ath-ProTGG-171741	9	50	2	18	13	0	0	0	0	0	0	83	0
nuclear-Ath-ProTGG-171741	10	1045	7	395	311	3	0	0	0	0	0	1761	0
nuclear-Ath-ProTGG-171741	11	185	4	58	44	0	0	0	0	0	0	291	0
nuclear-Ath-ProTGG-171741	12	420	6	149	161	2	0	0	0	0	0	738	0
nuclear-Ath-ProTGG-171741	13	241	3	85	61	0	0	0	0	0	0	390	0
nuclear-Ath-ProTGG-171741	14	26	2	11	6	0	0	0	0	0	0	45	0
nuclear-Ath-ProTGG-171741	15	76	5	25	21	0	0	0	0	0	0	127	0
nuclear-Ath-ProTGG-171741	16	199	2	70	82	1	0	0	0	0	0	354	0
nuclear-Ath-ProTGG-171741	17	277	3	123	103	0	0	0	0	0	0	506	0
nuclear-Ath-ProTGG-171741	18	256	4	94	97	1	0	0	0	0	0	452	0
nuclear-Ath-ProTGG-171741	19	107	0	17	35	0	0	0	0	0	0	159	0
nuclear-Ath-ProTGG-171741	20	33	2	6	12	0	0	0	0	0	0	53	0
nuclear-Ath-ProTGG-171741	21	11	2	2	6	0	0	0	0	0	0	21	0
nuclear-Ath-ProTGG-171741	22	27	0	4	5	0	0	0	0	0	0	36	0
nuclear-Ath-ProTGG-171741	23	126	1	46	55	0	0	0	0	0	0	228	0
nuclear-Ath-ProTGG-171741	24	2	0	8	3	0	0	0	0	0	0	13	0
nuclear-Ath-ProTGG-171741	25	2	0	2	6	0	0	0	0	0	0	10	0
nuclear-Ath-ProTGG-171741	26	2	0	0	0	0	0	0	0	0	0	2	0
nuclear-Ath-ProTGG-171741	27	3	0	3	0	0	0	0	0	0	0	6	0
nuclear-Ath-ProTGG-171741	28	0	0	2	0	0	0	0	0	0	0	2	0
nuclear-Ath-ProTGG-171741	29	14	0	1	3	0	0	0	0	0	0	18	0
nuclear-Ath-ProTGG-171741	30	21	0	6	8	0	0	0	0	0	0	35	0
nuclear-Ath-ProTGG-171741	31	20	0	0	8	0	0	0	0	0	0	28	0
nuclear-Ath-ProTGG-171741	32	10	0	5	8	0	0	13	0	0	0	23	13
nuclear-Ath-ProTGG-171741	33	15	0	11	2	0	0	6	0	0	0	28	6
nuclear-Ath-ProTGG-171741	34	16	0	5	15	0	0	9	0	0	0	36	9
nuclear-Ath-ProTGG-171741	35	76	0	10	27	0	0	14	0	0	0	113	14
nuclear-Ath-ProTGG-171741	36	347	0	239	153	2	0	0	0	0	0	741	0
nuclear-Ath-ProTGG-171741	37	3	0	20	19	0	0	3	0	0	0	42	3
nuclear-Ath-ProTGG-171741	38	2	0	0	1	0	0	0	0	0	0	3	0
nuclear-Ath-ProTGG-171741	39	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ProTGG-171741	40	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ProTGG-171741	41	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ProTGG-171741	42	0	0	0	0	0	0	1	0	0	0	0	1
nuclear-Ath-ProTGG-171741	43	0	0	0	0	0	0	1	0	0	0	0	1
nuclear-Ath-ProTGG-171741	44	0	0	0	0	0	0	19	0	0	0	0	19
nuclear-Ath-ProTGG-171741	45	0	0	0	0	0	0	1	0	0	0	0	1
nuclear-Ath-ProTGG-171741	46	0	0	0	0	0	0	5	0	0	0	0	5
nuclear-Ath-ProTGG-171741	47	0	0	0	0	0	0	2	0	0	0	0	2
nuclear-Ath-ProTGG-171741	48	0	0	0	0	0	0	2	0	0	0	0	2
nuclear-Ath-ProTGG-171741	49	0	0	0	0	0	0	1	0	0	0	0	1
nuclear-Ath-ProTGG-171741	50	0	0	0	0	0	0	18	0	0	0	0	18
nuclear-Ath-ProTGG-171741	51	0	0	0	0	0	0	7	0	0	0	0	7
nuclear-Ath-ProTGG-171741	52	0	0	0	0	0	0	54	0	0	0	0	54
nuclear-Ath-ProTGG-171741	53	0	0	0	0	0	0	47	0	0	0	0	47
nuclear-Ath-ProTGG-171741	54	0	0	0	0	0	0	11	0	0	0	0	11
nuclear-Ath-ProTGG-171741	55	0	0	0	0	0	0	14	0	0	0	0	14
nuclear-Ath-ProTGG-171741	56	0	0	0	0	0	0	24	0	0	0	0	24
nuclear-Ath-ProTGG-171741	57	0	0	0	0	0	0	2	0	0	0	0	2
nuclear-Ath-ProTGG-171741	58	0	0	0	0	0	0	3	0	0	0	0	3
nuclear-Ath-ProTGG-171741	59	0	0	0	0	0	0	2	0	0	0	0	2
nuclear-Ath-ProTGG-171741	60	0	0	0	0	0	0	6	0	0	0	0	6
nuclear-Ath-ProTGG-171741	61	0	0	0	0	0	0	1	0	0	0	0	1
nuclear-Ath-ProTGG-171741	62	0	0	0	0	0	0	5	0	0	0	0	5
nuclear-Ath-ProTGG-171741	63	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ProTGG-171741	64	0	0	0	0	0	0	12	0	0	0	0	12
nuclear-Ath-ProTGG-171741	65	0	0	0	0	0	0	8	0	0	0	0	8
nuclear-Ath-ProTGG-171741	66	0	0	0	0	0	0	1	0	0	0	0	1
nuclear-Ath-ProTGG-171741	67	0	0	0	0	0	0	1	0	0	0	0	1
nuclear-Ath-ProTGG-171741	68	0	0	0	0	0	1	0	0	0	0	0	1
nuclear-Ath-ProTGG-171741	69	0	0	0	0	0	18	0	0	0	0	0	18
nuclear-Ath-ProTGG-171741	70	0	0	0	0	0	117	0	0	0	0	0	117
nuclear-Ath-ProTGG-171741	71	0	0	0	0	0	1678	0	0	0	0	0	1678
nuclear-Ath-ProTGG-171741	72	0	0	0	0	0	3465	0	0	0	0	0	3465
nuclear-Ath-ProTGG-171741	73	0	0	0	0	0	58	0	2199	0	0	0	2257
nuclear-Ath-ProTGG-171741	74	0	0	0	0	0	71	0	0	1867	0	0	1938
nuclear-Ath-ProTGG-171741	75	0	0	0	0	0	64	0	0	0	19	0	83
nuclear-Ath-ArgCCT-171716	1	365	45	993	718	14	0	0	0	0	0	2135	0
nuclear-Ath-ArgCCT-171716	2	0	0	6	4	0	0	0	0	0	0	10	0
nuclear-Ath-ArgCCT-171716	3	0	1	3	5	0	0	0	0	0	0	9	0
nuclear-Ath-ArgCCT-171716	4	0	0	0	1	0	0	0	0	0	0	1	0
nuclear-Ath-ArgCCT-171716	5	0	0	1	5	0	0	0	0	0	0	6	0
nuclear-Ath-ArgCCT-171716	6	1	0	0	0	0	0	0	0	0	0	1	0
nuclear-Ath-ArgCCT-171716	7	1	0	1	1	0	0	0	0	0	0	3	0
nuclear-Ath-ArgCCT-171716	8	8	0	47	15	0	0	0	0	0	0	70	0
nuclear-Ath-ArgCCT-171716	9	0	0	4	1	0	0	0	0	0	0	5	0
nuclear-Ath-ArgCCT-171716	10	9	0	11	8	0	0	0	0	0	0	28	0
nuclear-Ath-ArgCCT-171716	11	48	0	149	56	1	0	0	0	0	0	254	0
nuclear-Ath-ArgCCT-171716	12	1	0	10	1	0	0	0	0	0	0	12	0
nuclear-Ath-ArgCCT-171716	13	5	0	9	11	0	0	0	0	0	0	25	0
nuclear-Ath-ArgCCT-171716	14	1	0	18	5	0	0	0	0	0	0	24	0
nuclear-Ath-ArgCCT-171716	15	5	0	14	20	0	0	0	0	0	0	39	0
nuclear-Ath-ArgCCT-171716	16	89	0	278	75	0	0	0	0	0	0	442	0
nuclear-Ath-ArgCCT-171716	17	53	0	143	71	0	0	0	0	0	0	267	0
nuclear-Ath-ArgCCT-171716	18	156	1	586	194	1	0	0	0	0	0	938	0
nuclear-Ath-ArgCCT-171716	19	166	0	543	258	3	0	0	0	0	0	970	0
nuclear-Ath-ArgCCT-171716	20	35	0	114	75	0	0	0	0	0	0	224	0
nuclear-Ath-ArgCCT-171716	21	3041	3	7903	3894	47	0	0	0	0	0	14888	0
nuclear-Ath-ArgCCT-171716	22	40	0	143	86	1	0	0	0	0	0	270	0
nuclear-Ath-ArgCCT-171716	23	6	0	57	33	1	0	0	0	0	0	97	0
nuclear-Ath-ArgCCT-171716	24	23	0	85	45	0	0	0	0	0	0	153	0
nuclear-Ath-ArgCCT-171716	25	18	0	42	45	0	0	0	0	0	0	105	0
nuclear-Ath-ArgCCT-171716	26	88	0	348	141	0	0	0	0	0	0	577	0
nuclear-Ath-ArgCCT-171716	27	12491	0	45845	20038	162	0	0	0	0	0	78536	0
nuclear-Ath-ArgCCT-171716	28	144	0	551	243	2	0	0	0	0	0	940	0
nuclear-Ath-ArgCCT-171716	29	69	0	227	112	0	0	0	0	0	0	408	0
nuclear-Ath-ArgCCT-171716	30	50	0	155	69	0	0	0	0	0	0	274	0
nuclear-Ath-ArgCCT-171716	31	43	0	187	98	2	0	0	0	0	0	330	0
nuclear-Ath-ArgCCT-171716	32	20	0	80	49	0	0	0	0	0	0	149	0
nuclear-Ath-ArgCCT-171716	33	27	0	87	77	0	0	0	0	0	0	191	0
nuclear-Ath-ArgCCT-171716	34	55	0	161	135	0	0	1	0	0	0	351	1
nuclear-Ath-ArgCCT-171716	35	13	0	72	30	1	0	8	0	0	0	116	8
nuclear-Ath-ArgCCT-171716	36	7	0	33	40	0	0	2	0	0	0	80	2
nuclear-Ath-ArgCCT-171716	37	24	0	84	97	0	0	1	0	0	0	205	1
nuclear-Ath-ArgCCT-171716	38	3	0	21	11	0	0	1	0	0	0	35	1
nuclear-Ath-ArgCCT-171716	39	0	0	0	10	0	0	1	0	0	0	10	1
nuclear-Ath-ArgCCT-171716	40	0	0	1	3	4	0	2	0	0	0	8	2
nuclear-Ath-ArgCCT-171716	41	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ArgCCT-171716	42	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ArgCCT-171716	43	0	0	0	0	0	0	0	0	0	0	0	0
