GeneName	Position	Left_Other	Left_tDR	Left_C	Left_CC	Left_CCA	Right_Other	Right_tDR	Right_C	Right_CC	Right_CCA	Left_Total	Right_Total
nuclear-Ath-ProTGG-171741	1	715	0	142	411	2871	0	0	0	0	0	4139	0
nuclear-Ath-ProTGG-171741	2	3	0	0	3	13	0	0	0	0	0	19	0
nuclear-Ath-ProTGG-171741	3	0	0	0	0	15	0	0	0	0	0	15	0
nuclear-Ath-ProTGG-171741	4	0	0	0	0	6	0	0	0	0	0	6	0
nuclear-Ath-ProTGG-171741	5	2	0	0	0	0	0	0	0	0	0	2	0
nuclear-Ath-ProTGG-171741	6	1	0	0	0	0	0	0	0	0	0	1	0
nuclear-Ath-ProTGG-171741	7	0	0	0	0	1	0	0	0	0	0	1	0
nuclear-Ath-ProTGG-171741	8	0	0	0	0	3	0	0	0	0	0	3	0
nuclear-Ath-ProTGG-171741	9	0	0	0	0	5	0	0	0	0	0	5	0
nuclear-Ath-ProTGG-171741	10	25	0	6	7	82	0	0	0	0	0	120	0
nuclear-Ath-ProTGG-171741	11	2	0	2	4	3	0	0	0	0	0	11	0
nuclear-Ath-ProTGG-171741	12	0	0	1	0	8	0	0	0	0	0	9	0
nuclear-Ath-ProTGG-171741	13	0	0	0	0	7	0	0	0	0	0	7	0
nuclear-Ath-ProTGG-171741	14	0	0	0	0	2	0	0	0	0	0	2	0
nuclear-Ath-ProTGG-171741	15	5	0	0	2	4	0	0	0	0	0	11	0
nuclear-Ath-ProTGG-171741	16	1	0	3	1	3	0	0	0	0	0	8	0
nuclear-Ath-ProTGG-171741	17	5	0	0	5	18	0	0	0	0	0	28	0
nuclear-Ath-ProTGG-171741	18	3	0	2	4	44	0	0	0	0	0	53	0
nuclear-Ath-ProTGG-171741	19	0	0	0	0	1	0	0	0	0	0	1	0
nuclear-Ath-ProTGG-171741	20	10	0	0	0	3	0	0	0	0	0	13	0
nuclear-Ath-ProTGG-171741	21	2	0	0	0	4	0	0	0	0	0	6	0
nuclear-Ath-ProTGG-171741	22	1	0	0	1	10	0	0	0	0	0	12	0
nuclear-Ath-ProTGG-171741	23	0	0	0	1	1	0	0	0	0	0	2	0
nuclear-Ath-ProTGG-171741	24	0	0	1	0	0	0	0	0	0	0	1	0
nuclear-Ath-ProTGG-171741	25	2	0	0	0	7	0	0	0	0	0	9	0
nuclear-Ath-ProTGG-171741	26	0	0	0	0	1	0	0	0	0	0	1	0
nuclear-Ath-ProTGG-171741	27	0	0	0	0	1	0	0	0	0	0	1	0
nuclear-Ath-ProTGG-171741	28	3	0	0	0	1	0	0	0	0	0	4	0
nuclear-Ath-ProTGG-171741	29	0	0	0	3	2	0	0	0	0	0	5	0
nuclear-Ath-ProTGG-171741	30	0	0	0	0	1	0	0	0	0	0	1	0
nuclear-Ath-ProTGG-171741	31	0	0	0	2	2	0	0	0	0	0	4	0
nuclear-Ath-ProTGG-171741	32	0	0	0	0	1	0	0	0	0	0	1	0
nuclear-Ath-ProTGG-171741	33	0	0	0	0	3	0	0	0	0	0	3	0
nuclear-Ath-ProTGG-171741	34	3	0	0	0	10	0	0	0	0	0	13	0
nuclear-Ath-ProTGG-171741	35	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ProTGG-171741	36	0	0	1	2	13	0	0	0	0	0	16	0
nuclear-Ath-ProTGG-171741	37	1	0	3	4	18	0	0	0	0	0	26	0
nuclear-Ath-ProTGG-171741	38	0	0	0	0	0	0	0	0	0	0	0	0
nuclear-Ath-ProTGG-171741	39	0	0	0	0	1	0	0	0	0	0	1	0
