Gene	Position	SprinzlPosition	EndPosCount
mitochondrial-Ath-AsnGTT-183766	33	34	6
mitochondrial-Ath-AsnGTT-183766	34	35	6
mitochondrial-Ath-AsnGTT-183766	35	36	17
mitochondrial-Ath-AsnGTT-183766	36	37	48
mitochondrial-Ath-AsnGTT-183766	37	38	219
mitochondrial-Ath-AsnGTT-183766	38	39	1913
mitochondrial-Ath-AsnGTT-183766	39	40	69
mitochondrial-Ath-AsnGTT-183766	40	41	69
mitochondrial-Ath-AsnGTT-183766	41	42	10
mitochondrial-Ath-AsnGTT-183766	42	43	18
mitochondrial-Ath-AsnGTT-183766	43	44	2
mitochondrial-Ath-AsnGTT-183766	44	45	7
mitochondrial-Ath-AsnGTT-183766	46	47	3
mitochondrial-Ath-AsnGTT-183766	48	49	3
mitochondrial-Ath-AsnGTT-183766	49	50	4
mitochondrial-Ath-AsnGTT-183766	50	51	3
mitochondrial-Ath-AsnGTT-183766	51	52	1
mitochondrial-Ath-AsnGTT-183766	52	53	3
mitochondrial-Ath-AsnGTT-183766	53	54	20
mitochondrial-Ath-AsnGTT-183766	54	55	10
mitochondrial-Ath-AsnGTT-183766	55	56	25
mitochondrial-Ath-AsnGTT-183766	56	57	1
mitochondrial-Ath-AsnGTT-183766	58	59	1
mitochondrial-Ath-AsnGTT-183766	59	60	7
mitochondrial-Ath-AsnGTT-183766	60	61	9
mitochondrial-Ath-AsnGTT-183766	61	62	3
mitochondrial-Ath-AsnGTT-183766	62	63	55
mitochondrial-Ath-AsnGTT-183766	64	65	70
mitochondrial-Ath-AsnGTT-183766	65	66	6
mitochondrial-Ath-AsnGTT-183766	66	67	7
mitochondrial-Ath-AsnGTT-183766	67	68	5
mitochondrial-Ath-AsnGTT-183766	68	69	8
mitochondrial-Ath-AsnGTT-183766	69	70	43
mitochondrial-Ath-AsnGTT-183766	70	71	645
mitochondrial-Ath-AsnGTT-183766	71	72	2577
mitochondrial-Ath-AsnGTT-183766	72	73	11008
mitochondrial-Ath-AsnGTT-183766	73	74	37793
mitochondrial-Ath-AsnGTT-183766	74	75	19791
mitochondrial-Ath-AsnGTT-183766	75	76	954
mitochondrial-Ath-AspGTC-171828	32	31	1
mitochondrial-Ath-AspGTC-171828	33	32	1
mitochondrial-Ath-AspGTC-171828	34	33	1
mitochondrial-Ath-AspGTC-171828	35	34	22
mitochondrial-Ath-AspGTC-171828	36	35	18
mitochondrial-Ath-AspGTC-171828	37	36	21
mitochondrial-Ath-AspGTC-171828	39	38	7
mitochondrial-Ath-AspGTC-171828	41	40	1
mitochondrial-Ath-AspGTC-171828	43	42	4
mitochondrial-Ath-AspGTC-171828	44	43	4
mitochondrial-Ath-AspGTC-171828	50	49	3
mitochondrial-Ath-AspGTC-171828	54	53	12
mitochondrial-Ath-AspGTC-171828	55	54	32
mitochondrial-Ath-AspGTC-171828	56	55	10
mitochondrial-Ath-AspGTC-171828	57	56	8
mitochondrial-Ath-AspGTC-171828	58	57	13
mitochondrial-Ath-AspGTC-171828	59	58	3
mitochondrial-Ath-AspGTC-171828	60	59	27
mitochondrial-Ath-AspGTC-171828	61	60	52
mitochondrial-Ath-AspGTC-171828	62	61	23
mitochondrial-Ath-AspGTC-171828	63	62	49
mitochondrial-Ath-AspGTC-171828	64	63	34
mitochondrial-Ath-AspGTC-171828	65	64	43
mitochondrial-Ath-AspGTC-171828	66	65	10
mitochondrial-Ath-AspGTC-171828	67	66	4
mitochondrial-Ath-AspGTC-171828	68	67	3
mitochondrial-Ath-AspGTC-171828	69	68	16
mitochondrial-Ath-AspGTC-171828	70	69	10
mitochondrial-Ath-AspGTC-171828	71	70	5
mitochondrial-Ath-AspGTC-171828	72	71	314
mitochondrial-Ath-AspGTC-171828	73	72	2390
mitochondrial-Ath-AspGTC-171828	74	73	4146
mitochondrial-Ath-AspGTC-171828	75	74	31898
mitochondrial-Ath-AspGTC-171828	76	75	13174
mitochondrial-Ath-AspGTC-171828	77	76	1768
mitochondrial-Ath-CysGCA-171829	34	35	11
mitochondrial-Ath-CysGCA-171829	35	36	1
mitochondrial-Ath-CysGCA-171829	36	37	3
mitochondrial-Ath-CysGCA-171829	37	38	5
mitochondrial-Ath-CysGCA-171829	38	39	22
mitochondrial-Ath-CysGCA-171829	39	40	43
mitochondrial-Ath-CysGCA-171829	40	41	39
mitochondrial-Ath-CysGCA-171829	41	42	15
mitochondrial-Ath-CysGCA-171829	42	43	21
mitochondrial-Ath-CysGCA-171829	43	44	18
mitochondrial-Ath-CysGCA-171829	44	45	3
mitochondrial-Ath-CysGCA-171829	46	48	6
mitochondrial-Ath-CysGCA-171829	47	49	7
mitochondrial-Ath-CysGCA-171829	48	50	1
mitochondrial-Ath-CysGCA-171829	49	51	4
mitochondrial-Ath-CysGCA-171829	50	52	1
mitochondrial-Ath-CysGCA-171829	52	54	2
mitochondrial-Ath-CysGCA-171829	53	55	8
mitochondrial-Ath-CysGCA-171829	54	56	13
mitochondrial-Ath-CysGCA-171829	56	58	8
mitochondrial-Ath-CysGCA-171829	57	59	22
mitochondrial-Ath-CysGCA-171829	61	63	2
mitochondrial-Ath-CysGCA-171829	63	65	31
mitochondrial-Ath-CysGCA-171829	64	66	17
mitochondrial-Ath-CysGCA-171829	65	67	14
mitochondrial-Ath-CysGCA-171829	66	68	12
mitochondrial-Ath-CysGCA-171829	67	69	5
mitochondrial-Ath-CysGCA-171829	68	70	29
mitochondrial-Ath-CysGCA-171829	69	71	168
mitochondrial-Ath-CysGCA-171829	70	72	2719
mitochondrial-Ath-CysGCA-171829	71	73	8612
mitochondrial-Ath-CysGCA-171829	72	74	11975
mitochondrial-Ath-CysGCA-171829	73	75	19674
mitochondrial-Ath-CysGCA-171829	74	76	2520
mitochondrial-Ath-GlnTTG-171830	35	36	3
mitochondrial-Ath-GlnTTG-171830	37	38	34
mitochondrial-Ath-GlnTTG-171830	38	39	4
mitochondrial-Ath-GlnTTG-171830	50	51	1
mitochondrial-Ath-GlnTTG-171830	51	52	2
mitochondrial-Ath-GlnTTG-171830	52	53	1
mitochondrial-Ath-GlnTTG-171830	53	54	4
mitochondrial-Ath-GlnTTG-171830	56	57	11
mitochondrial-Ath-GlnTTG-171830	57	58	3
mitochondrial-Ath-GlnTTG-171830	61	62	2
mitochondrial-Ath-GlnTTG-171830	63	64	4
mitochondrial-Ath-GlnTTG-171830	64	65	9
mitochondrial-Ath-GlnTTG-171830	68	69	2
mitochondrial-Ath-GlnTTG-171830	70	71	47
mitochondrial-Ath-GlnTTG-171830	71	72	81
mitochondrial-Ath-GlnTTG-171830	72	73	413
mitochondrial-Ath-GlnTTG-171830	73	74	1989
mitochondrial-Ath-GlnTTG-171830	74	75	1105
mitochondrial-Ath-GlnTTG-171830	75	76	148
mitochondrial-Ath-GluTTC-171831	33	33	3
mitochondrial-Ath-GluTTC-171831	34	34	1
mitochondrial-Ath-GluTTC-171831	35	35	16
mitochondrial-Ath-GluTTC-171831	36	36	49
mitochondrial-Ath-GluTTC-171831	37	37	6
mitochondrial-Ath-GluTTC-171831	38	38	301
mitochondrial-Ath-GluTTC-171831	39	39	32
mitochondrial-Ath-GluTTC-171831	40	40	5
mitochondrial-Ath-GluTTC-171831	41	41	8
mitochondrial-Ath-GluTTC-171831	42	42	8
